edge_index,node_id
0,c0_t1450
0,q0_t1449
1,c100_t1152
1,q100_t1151
2,c101_t1149
2,q101_t1148
3,c102_t1146
3,q102_t1145
4,c103_t1143
4,q103_t1142
5,c104_t834
5,q104_t833
6,c10_t1422
6,q10_t1421
7,c11_t1419
7,q11_t1418
8,c12_t1416
8,q12_t1415
9,c13_t1413
9,q13_t1412
10,c14_t1410
10,q14_t1409
11,c15_t1407
11,q15_t1406
12,c16_t1404
12,q16_t1403
13,c17_t1401
13,q17_t1400
14,c18_t1398
14,q18_t1397
15,c19_t1395
15,q19_t1394
16,c1_t1449
16,q1_t1448
17,c20_t1392
17,q20_t1391
18,c21_t1389
18,q21_t1388
19,c22_t1386
19,q22_t1385
20,c23_t1383
20,q23_t1382
21,c24_t1380
21,q24_t1379
22,c25_t1377
22,q25_t1376
23,c26_t1374
23,q26_t1373
24,c27_t1371
24,q27_t1370
25,c28_t1368
25,q28_t1367
26,c29_t1365
26,q29_t1364
27,c2_t1446
27,q2_t1445
28,c30_t1362
28,q30_t1361
29,c31_t1359
29,q31_t1358
30,c32_t1356
30,q32_t1355
31,c33_t1353
31,q33_t1352
32,c34_t1350
32,q34_t1349
33,c35_t1347
33,q35_t1346
34,c36_t1344
34,q36_t1343
35,c37_t1341
35,q37_t1340
36,c38_t1338
36,q38_t1337
37,c39_t1335
37,q39_t1334
38,c3_t1443
38,q3_t1442
39,c40_t1332
39,q40_t1331
40,c41_t1329
40,q41_t1328
41,c42_t1326
41,q42_t1325
42,c43_t1323
42,q43_t1322
43,c44_t1320
43,q44_t1319
44,c45_t1317
44,q45_t1316
45,c46_t1314
45,q46_t1313
46,c47_t1311
46,q47_t1310
47,c48_t1308
47,q48_t1307
48,c49_t1305
48,q49_t1304
49,c4_t1440
49,q4_t1439
50,c50_t1302
50,q50_t1301
51,c51_t1299
51,q51_t1298
52,c52_t1296
52,q52_t1295
53,c53_t1293
53,q53_t1292
54,c54_t1290
54,q54_t1289
55,c55_t1287
55,q55_t1286
56,c56_t1284
56,q56_t1283
57,c57_t1281
57,q57_t1280
58,c58_t1278
58,q58_t1277
59,c59_t1275
59,q59_t1274
60,c5_t1437
60,q5_t1436
61,c60_t1272
61,q60_t1271
62,c61_t1269
62,q61_t1268
63,c62_t1266
63,q62_t1265
64,c63_t1263
64,q63_t1262
65,c64_t1260
65,q64_t1259
66,c65_t1257
66,q65_t1256
67,c66_t1254
67,q66_t1253
68,c67_t1251
68,q67_t1250
69,c68_t1248
69,q68_t1247
70,c69_t1245
70,q69_t1244
71,c6_t1434
71,q6_t1433
72,c70_t1242
72,q70_t1241
73,c71_t1239
73,q71_t1238
74,c72_t1236
74,q72_t1235
75,c73_t1233
75,q73_t1232
76,c74_t1230
76,q74_t1229
77,c75_t1227
77,q75_t1226
78,c76_t1224
78,q76_t1223
79,c77_t1221
79,q77_t1220
80,c78_t1218
80,q78_t1217
81,c79_t1215
81,q79_t1214
82,c7_t1431
82,q7_t1430
83,c80_t1212
83,q80_t1211
84,c81_t1209
84,q81_t1208
85,c82_t1206
85,q82_t1205
86,c83_t1203
86,q83_t1202
87,c84_t1200
87,q84_t1199
88,c85_t1197
88,q85_t1196
89,c86_t1194
89,q86_t1193
90,c87_t1191
90,q87_t1190
91,c88_t1188
91,q88_t1187
92,c89_t1185
92,q89_t1184
93,c8_t1428
93,q8_t1427
94,c90_t1182
94,q90_t1181
95,c91_t1179
95,q91_t1178
96,c92_t1176
96,q92_t1175
97,c93_t1173
97,q93_t1172
98,c94_t1170
98,q94_t1169
99,c95_t1167
99,q95_t1166
100,c96_t1164
100,q96_t1163
101,c97_t1161
101,q97_t1160
102,c98_t1158
102,q98_t1157
103,c99_t1155
103,q99_t1154
104,c9_t1425
104,q9_t1424
105,q0_t0
105,q0_t1
106,q0_t1
106,q0_t2
107,q0_t1140
107,q0_t1141
107,q103_t1140
107,q103_t1141
108,q0_t1140
108,q0_t8
109,q0_t1141
109,q0_t1142
110,q0_t1142
110,q0_t1143
111,q0_t1143
111,q0_t1144
111,q102_t1143
111,q102_t1144
112,q0_t1144
112,q0_t1145
113,q0_t1145
113,q0_t1146
114,q0_t1146
114,q0_t1147
114,q101_t1146
114,q101_t1147
115,q0_t1147
115,q0_t1148
116,q0_t1148
116,q0_t1149
117,q0_t1149
117,q0_t1150
117,q100_t1149
117,q100_t1150
118,q0_t1150
118,q0_t1151
119,q0_t1151
119,q0_t1152
120,q0_t1152
120,q0_t1153
120,q99_t1152
120,q99_t1153
121,q0_t1153
121,q0_t1154
122,q0_t1154
122,q0_t1155
123,q0_t1155
123,q0_t1156
123,q98_t1155
123,q98_t1156
124,q0_t1156
124,q0_t1157
125,q0_t1157
125,q0_t1158
126,q0_t1158
126,q0_t1159
126,q97_t1158
126,q97_t1159
127,q0_t1159
127,q0_t1160
128,q0_t1160
128,q0_t1161
129,q0_t1161
129,q0_t1162
129,q96_t1161
129,q96_t1162
130,q0_t1162
130,q0_t1163
131,q0_t1163
131,q0_t1164
132,q0_t1164
132,q0_t1165
132,q95_t1164
132,q95_t1165
133,q0_t1165
133,q0_t1166
134,q0_t1166
134,q0_t1167
135,q0_t1167
135,q0_t1168
135,q94_t1167
135,q94_t1168
136,q0_t1168
136,q0_t1169
137,q0_t1169
137,q0_t1170
138,q0_t1170
138,q0_t1171
138,q93_t1170
138,q93_t1171
139,q0_t1171
139,q0_t1172
140,q0_t1172
140,q0_t1173
141,q0_t1173
141,q0_t1174
141,q92_t1173
141,q92_t1174
142,q0_t1174
142,q0_t1175
143,q0_t1175
143,q0_t1176
144,q0_t1176
144,q0_t1177
144,q91_t1176
144,q91_t1177
145,q0_t1177
145,q0_t1178
146,q0_t1178
146,q0_t1179
147,q0_t1179
147,q0_t1180
147,q90_t1179
147,q90_t1180
148,q0_t1180
148,q0_t1181
149,q0_t1181
149,q0_t1182
150,q0_t1182
150,q0_t1183
150,q89_t1182
150,q89_t1183
151,q0_t1183
151,q0_t1184
152,q0_t1184
152,q0_t1185
153,q0_t1185
153,q0_t1186
153,q88_t1185
153,q88_t1186
154,q0_t1186
154,q0_t1187
155,q0_t1187
155,q0_t1188
156,q0_t1188
156,q0_t1189
156,q87_t1188
156,q87_t1189
157,q0_t1189
157,q0_t1190
158,q0_t1190
158,q0_t1191
159,q0_t1191
159,q0_t1192
159,q86_t1191
159,q86_t1192
160,q0_t1192
160,q0_t1193
161,q0_t1193
161,q0_t1194
162,q0_t1194
162,q0_t1195
162,q85_t1194
162,q85_t1195
163,q0_t1195
163,q0_t1196
164,q0_t1196
164,q0_t1197
165,q0_t1197
165,q0_t1198
165,q84_t1197
165,q84_t1198
166,q0_t1198
166,q0_t1199
167,q0_t1199
167,q0_t1200
168,q0_t1200
168,q0_t1201
168,q83_t1200
168,q83_t1201
169,q0_t1201
169,q0_t1202
170,q0_t1202
170,q0_t1203
171,q0_t1203
171,q0_t1204
171,q82_t1203
171,q82_t1204
172,q0_t1204
172,q0_t1205
173,q0_t1205
173,q0_t1206
174,q0_t1206
174,q0_t1207
174,q81_t1206
174,q81_t1207
175,q0_t1207
175,q0_t1208
176,q0_t1208
176,q0_t1209
177,q0_t1209
177,q0_t1210
177,q80_t1209
177,q80_t1210
178,q0_t1210
178,q0_t1211
179,q0_t1211
179,q0_t1212
180,q0_t1212
180,q0_t1213
180,q79_t1212
180,q79_t1213
181,q0_t1213
181,q0_t1214
182,q0_t1214
182,q0_t1215
