edge_index,node_id
0,c0_t6
0,q0_t5
1,c100_t306
1,q100_t305
2,c101_t309
2,q101_t308
3,c102_t312
3,q102_t311
4,c103_t315
4,q103_t314
5,c104_t318
5,q104_t317
6,c105_t321
6,q105_t320
7,c106_t324
7,q106_t323
8,c107_t327
8,q107_t326
9,c108_t330
9,q108_t329
10,c109_t333
10,q109_t332
11,c10_t36
11,q10_t35
12,c110_t336
12,q110_t335
13,c11_t39
13,q11_t38
14,c12_t42
14,q12_t41
15,c13_t45
15,q13_t44
16,c14_t48
16,q14_t47
17,c15_t51
17,q15_t50
18,c16_t54
18,q16_t53
19,c17_t57
19,q17_t56
20,c18_t60
20,q18_t59
21,c19_t63
21,q19_t62
22,c1_t9
22,q1_t8
23,c20_t66
23,q20_t65
24,c21_t69
24,q21_t68
25,c22_t72
25,q22_t71
26,c23_t75
26,q23_t74
27,c24_t78
27,q24_t77
28,c25_t81
28,q25_t80
29,c26_t84
29,q26_t83
30,c27_t87
30,q27_t86
31,c28_t90
31,q28_t89
32,c29_t93
32,q29_t92
33,c2_t12
33,q2_t11
34,c30_t96
34,q30_t95
35,c31_t99
35,q31_t98
36,c32_t102
36,q32_t101
37,c33_t105
37,q33_t104
38,c34_t108
38,q34_t107
39,c35_t111
39,q35_t110
40,c36_t114
40,q36_t113
41,c37_t117
41,q37_t116
42,c38_t120
42,q38_t119
43,c39_t123
43,q39_t122
44,c3_t15
44,q3_t14
45,c40_t126
45,q40_t125
46,c41_t129
46,q41_t128
47,c42_t132
47,q42_t131
48,c43_t135
48,q43_t134
49,c44_t138
49,q44_t137
50,c45_t141
50,q45_t140
51,c46_t144
51,q46_t143
52,c47_t147
52,q47_t146
53,c48_t150
53,q48_t149
54,c49_t153
54,q49_t152
55,c4_t18
55,q4_t17
56,c50_t156
56,q50_t155
57,c51_t159
57,q51_t158
58,c52_t162
58,q52_t161
59,c53_t165
59,q53_t164
60,c54_t168
60,q54_t167
61,c55_t171
61,q55_t170
62,c56_t174
62,q56_t173
63,c57_t177
63,q57_t176
64,c58_t180
64,q58_t179
65,c59_t183
65,q59_t182
66,c5_t21
66,q5_t20
67,c60_t186
67,q60_t185
68,c61_t189
68,q61_t188
69,c62_t192
69,q62_t191
70,c63_t195
70,q63_t194
71,c64_t198
71,q64_t197
72,c65_t201
72,q65_t200
73,c66_t204
73,q66_t203
74,c67_t207
74,q67_t206
75,c68_t210
75,q68_t209
76,c69_t213
76,q69_t212
77,c6_t24
77,q6_t23
78,c70_t216
78,q70_t215
79,c71_t219
79,q71_t218
80,c72_t222
80,q72_t221
81,c73_t225
81,q73_t224
82,c74_t228
82,q74_t227
83,c75_t231
83,q75_t230
84,c76_t234
84,q76_t233
85,c77_t237
85,q77_t236
86,c78_t240
86,q78_t239
87,c79_t243
87,q79_t242
88,c7_t27
88,q7_t26
89,c80_t246
89,q80_t245
90,c81_t249
90,q81_t248
91,c82_t252
91,q82_t251
92,c83_t255
92,q83_t254
93,c84_t258
93,q84_t257
94,c85_t261
94,q85_t260
95,c86_t264
95,q86_t263
96,c87_t267
96,q87_t266
97,c88_t270
97,q88_t269
98,c89_t273
98,q89_t272
99,c8_t30
99,q8_t29
100,c90_t276
100,q90_t275
101,c91_t279
101,q91_t278
102,c92_t282
102,q92_t281
103,c93_t285
103,q93_t284
104,c94_t288
104,q94_t287
105,c95_t291
105,q95_t290
106,c96_t294
106,q96_t293
107,c97_t297
107,q97_t296
108,c98_t300
108,q98_t299
109,c99_t303
109,q99_t302
110,c9_t33
110,q9_t32
111,q0_t0
111,q0_t1
112,q0_t1
112,q0_t2
113,q0_t2
113,q0_t3
113,q111_t2
113,q111_t3
114,q0_t3
114,q0_t4
115,q0_t4
115,q0_t5
116,q100_t0
116,q100_t1
117,q100_t1
117,q100_t302
118,q100_t302
118,q100_t303
118,q111_t302
118,q111_t303
119,q100_t303
119,q100_t304
120,q100_t304
120,q100_t305
121,q101_t0
121,q101_t1
122,q101_t1
122,q101_t305
123,q101_t305
123,q101_t306
123,q111_t305
123,q111_t306
124,q101_t306
124,q101_t307
125,q101_t307
125,q101_t308
126,q102_t0
126,q102_t1
127,q102_t1
127,q102_t308
128,q102_t308
128,q102_t309
128,q111_t308
128,q111_t309
129,q102_t309
129,q102_t310
130,q102_t310
130,q102_t311
131,q103_t0
131,q103_t1
132,q103_t1
132,q103_t311
133,q103_t311
133,q103_t312
133,q111_t311
133,q111_t312
134,q103_t312
134,q103_t313
135,q103_t313
135,q103_t314
136,q104_t0
136,q104_t1
137,q104_t1
