node_id,type,time,realisation
c0_t326,c,326,a
c100_t29,c,29,a
c101_t26,c,26,a
c102_t23,c,23,a
c103_t20,c,20,a
c104_t17,c,17,a
c105_t14,c,14,a
c106_t11,c,11,a
c107_t8,c,8,a
c108_t5,c,5,a
c10_t299,c,299,a
c11_t296,c,296,a
c12_t293,c,293,a
c13_t290,c,290,a
c14_t287,c,287,a
c15_t284,c,284,a
c16_t281,c,281,a
c17_t278,c,278,a
c18_t275,c,275,a
c19_t272,c,272,a
c1_t326,c,326,a
c20_t269,c,269,a
c21_t266,c,266,a
c22_t263,c,263,a
c23_t260,c,260,a
c24_t257,c,257,a
c25_t254,c,254,a
c26_t251,c,251,a
c27_t248,c,248,a
c28_t245,c,245,a
c29_t242,c,242,a
c2_t323,c,323,a
c30_t239,c,239,a
c31_t236,c,236,a
c32_t233,c,233,a
c33_t230,c,230,a
c34_t227,c,227,a
c35_t224,c,224,a
c36_t221,c,221,a
c37_t218,c,218,a
c38_t215,c,215,a
c39_t212,c,212,a
c3_t320,c,320,a
c40_t209,c,209,a
c41_t206,c,206,a
c42_t203,c,203,a
c43_t200,c,200,a
c44_t197,c,197,a
c45_t194,c,194,a
c46_t191,c,191,a
c47_t188,c,188,a
c48_t185,c,185,a
c49_t182,c,182,a
c4_t317,c,317,a
c50_t179,c,179,a
c51_t176,c,176,a
c52_t173,c,173,a
c53_t170,c,170,a
c54_t167,c,167,a
c55_t164,c,164,a
c56_t161,c,161,a
c57_t158,c,158,a
c58_t155,c,155,a
c59_t152,c,152,a
c5_t314,c,314,a
c60_t149,c,149,a
c61_t146,c,146,a
c62_t143,c,143,a
c63_t140,c,140,a
c64_t137,c,137,a
c65_t134,c,134,a
c66_t131,c,131,a
c67_t128,c,128,a
c68_t125,c,125,a
c69_t122,c,122,a
c6_t311,c,311,a
c70_t119,c,119,a
c71_t116,c,116,a
c72_t113,c,113,a
c73_t110,c,110,a
c74_t107,c,107,a
c75_t104,c,104,a
c76_t101,c,101,a
c77_t98,c,98,a
c78_t95,c,95,a
c79_t92,c,92,a
c7_t308,c,308,a
c80_t89,c,89,a
c81_t86,c,86,a
c82_t83,c,83,a
c83_t80,c,80,a
c84_t77,c,77,a
c85_t74,c,74,a
c86_t71,c,71,a
c87_t68,c,68,a
c88_t65,c,65,a
