edge_index,type,realisation,gate_name,role,edge_args,edge_metadata
0,c,a,measure,,,
1,c,a,measure,,,
2,c,a,measure,,,
3,c,a,measure,,,
4,c,a,measure,,,
5,c,a,measure,,,
6,c,a,measure,,,
7,c,a,measure,,,
8,c,a,measure,,,
9,c,a,measure,,,
10,c,a,measure,,,
11,c,a,measure,,,
12,c,a,measure,,,
13,c,a,measure,,,
14,c,a,measure,,,
15,c,a,measure,,,
16,c,a,measure,,,
17,c,a,measure,,,
18,c,a,measure,,,
19,c,a,measure,,,
20,c,a,measure,,,
21,c,a,measure,,,
22,q,a,cx_stage1,,"[[[1, 64], [0, 64]], [], [true, true]]",
23,q,a,cx_stage2,,"[[[1, 64], [0, 64]], [], [true, true]]",
24,q,a,cx_stage3,,"[[[1, 64], [0, 64]], [], [true, true]]",
25,q,a,cx_stage1,,"[[[11, 34], [10, 34]], [], [true, true]]",
26,q,a,cx_stage2,,"[[[11, 34], [10, 34]], [], [true, true]]",
27,q,a,cx_stage3,,"[[[11, 34], [10, 34]], [], [true, true]]",
28,q,a,cx_stage1,,"[[[10, 37], [9, 37]], [], [true, true]]",
29,q,a,cx_stage2,,"[[[10, 37], [9, 37]], [], [true, true]]",
30,q,a,cx_stage3,,"[[[10, 37], [9, 37]], [], [true, true]]",
31,q,a,cx_stage1,,"[[[12, 31], [11, 31]], [], [true, true]]",
32,q,a,cx_stage2,,"[[[12, 31], [11, 31]], [], [true, true]]",
33,q,a,cx_stage3,,"[[[12, 31], [11, 31]], [], [true, true]]",
34,q,a,cx_stage1,,"[[[11, 34], [10, 34]], [], [true, true]]",
35,q,a,cx_stage3,,"[[[11, 34], [10, 34]], [], [true, true]]",
36,q,a,cx_stage1,,"[[[13, 28], [12, 28]], [], [true, true]]",
37,q,a,cx_stage2,,"[[[13, 28], [12, 28]], [], [true, true]]",
38,q,a,cx_stage3,,"[[[13, 28], [12, 28]], [], [true, true]]",
39,q,a,cx_stage1,,"[[[12, 31], [11, 31]], [], [true, true]]",
40,q,a,cx_stage3,,"[[[12, 31], [11, 31]], [], [true, true]]",
41,q,a,cx_stage1,,"[[[14, 25], [13, 25]], [], [true, true]]",
42,q,a,cx_stage2,,"[[[14, 25], [13, 25]], [], [true, true]]",
43,q,a,cx_stage3,,"[[[14, 25], [13, 25]], [], [true, true]]",
44,q,a,cx_stage1,,"[[[13, 28], [12, 28]], [], [true, true]]",
45,q,a,cx_stage3,,"[[[13, 28], [12, 28]], [], [true, true]]",
46,q,a,cx_stage1,,"[[[15, 22], [14, 22]], [], [true, true]]",
47,q,a,cx_stage2,,"[[[15, 22], [14, 22]], [], [true, true]]",
