edge_index,node_id
0,c0_t284
0,q0_t283
1,c10_t257
1,q10_t256
2,c11_t254
2,q11_t253
3,c12_t251
3,q12_t250
4,c13_t248
4,q13_t247
5,c14_t245
5,q14_t244
6,c15_t242
6,q15_t241
7,c16_t239
7,q16_t238
8,c17_t236
8,q17_t235
9,c18_t233
9,q18_t232
10,c19_t230
10,q19_t229
11,c1_t284
11,q1_t283
12,c20_t227
12,q20_t226
13,c21_t224
13,q21_t223
14,c22_t221
14,q22_t220
15,c23_t218
15,q23_t217
16,c24_t215
16,q24_t214
17,c25_t212
17,q25_t211
18,c26_t209
18,q26_t208
19,c27_t206
19,q27_t205
20,c28_t203
20,q28_t202
21,c29_t200
21,q29_t199
22,c2_t281
22,q2_t280
23,c30_t197
23,q30_t196
24,c31_t194
24,q31_t193
25,c32_t191
25,q32_t190
26,c33_t188
26,q33_t187
27,c34_t185
27,q34_t184
28,c35_t182
28,q35_t181
29,c36_t179
29,q36_t178
30,c37_t176
30,q37_t175
31,c38_t173
31,q38_t172
32,c39_t170
32,q39_t169
33,c3_t278
33,q3_t277
34,c40_t167
34,q40_t166
35,c41_t164
35,q41_t163
36,c42_t161
36,q42_t160
37,c43_t158
37,q43_t157
38,c44_t155
38,q44_t154
39,c45_t152
39,q45_t151
40,c46_t149
40,q46_t148
41,c47_t146
41,q47_t145
42,c48_t143
42,q48_t142
43,c49_t140
43,q49_t139
44,c4_t275
44,q4_t274
45,c50_t137
45,q50_t136
46,c51_t134
46,q51_t133
47,c52_t131
47,q52_t130
48,c53_t128
48,q53_t127
49,c54_t125
49,q54_t124
50,c55_t122
50,q55_t121
51,c56_t119
51,q56_t118
52,c57_t116
52,q57_t115
53,c58_t113
53,q58_t112
54,c59_t110
54,q59_t109
55,c5_t272
55,q5_t271
56,c60_t107
56,q60_t106
57,c61_t104
57,q61_t103
58,c62_t101
58,q62_t100
59,c63_t98
59,q63_t97
60,c64_t95
60,q64_t94
61,c65_t92
61,q65_t91
62,c66_t89
62,q66_t88
63,c67_t86
63,q67_t85
64,c68_t83
64,q68_t82
65,c69_t80
65,q69_t79
66,c6_t269
66,q6_t268
67,c70_t77
67,q70_t76
68,c71_t74
68,q71_t73
69,c72_t71
69,q72_t70
70,c73_t68
70,q73_t67
71,c74_t65
71,q74_t64
72,c75_t62
72,q75_t61
73,c76_t59
73,q76_t58
74,c77_t56
74,q77_t55
75,c78_t53
75,q78_t52
76,c79_t50
76,q79_t49
77,c7_t266
77,q7_t265
78,c80_t47
78,q80_t46
79,c81_t44
79,q81_t43
80,c82_t41
80,q82_t40
81,c83_t38
81,q83_t37
82,c84_t35
82,q84_t34
83,c85_t32
83,q85_t31
84,c86_t29
84,q86_t28
85,c87_t26
85,q87_t25
86,c88_t23
86,q88_t22
87,c89_t20
87,q89_t19
88,c8_t263
88,q8_t262
89,c90_t17
89,q90_t16
90,c91_t14
90,q91_t13
91,c92_t11
91,q92_t10
92,c93_t8
92,q93_t7
93,c94_t5
93,q94_t4
94,c9_t260
94,q9_t259
95,q0_t0
95,q0_t281
96,q0_t281
96,q0_t282
96,q1_t281
96,q1_t282
97,q0_t282
97,q0_t283
98,q10_t0
98,q10_t251
99,q10_t251
99,q10_t252
99,q11_t251
99,q11_t252
100,q10_t252
100,q10_t253
101,q10_t253
101,q10_t254
102,q10_t254
102,q10_t255
102,q9_t254
102,q9_t255
103,q10_t255
103,q10_t256
104,q11_t0
104,q11_t248
105,q11_t248
105,q11_t249
105,q12_t248
105,q12_t249
106,q11_t249
106,q11_t250
107,q11_t250
107,q11_t251
108,q11_t252
108,q11_t253
109,q12_t0
109,q12_t245
110,q12_t245
110,q12_t246
110,q13_t245
110,q13_t246
111,q12_t246
111,q12_t247
112,q12_t247
112,q12_t248
113,q12_t249
113,q12_t250
114,q13_t0
114,q13_t242
115,q13_t242
115,q13_t243
115,q14_t242
115,q14_t243
116,q13_t243
116,q13_t244
117,q13_t244
117,q13_t245
118,q13_t246
118,q13_t247
119,q14_t0
119,q14_t239
120,q14_t239
120,q14_t240
120,q15_t239
120,q15_t240
121,q14_t240
121,q14_t241
122,q14_t241
122,q14_t242
123,q14_t243
123,q14_t244
124,q15_t0
124,q15_t236
125,q15_t236
125,q15_t237
125,q16_t236
125,q16_t237
126,q15_t237
126,q15_t238
127,q15_t238
127,q15_t239
128,q15_t240
128,q15_t241
129,q16_t0
129,q16_t233
130,q16_t233
130,q16_t234
130,q17_t233
130,q17_t234
131,q16_t234
131,q16_t235
132,q16_t235
132,q16_t236
133,q16_t237
133,q16_t238
134,q17_t0
134,q17_t230
135,q17_t230
135,q17_t231
135,q18_t230
135,q18_t231
136,q17_t231
136,q17_t232
137,q17_t232
137,q17_t233
138,q17_t234
138,q17_t235
139,q18_t0
139,q18_t227
140,q18_t227
140,q18_t228
140,q19_t227
140,q19_t228
141,q18_t228
141,q18_t229
142,q18_t229
142,q18_t230
143,q18_t231
143,q18_t232
144,q19_t0
144,q19_t224
145,q19_t224
145,q19_t225
145,q20_t224
145,q20_t225
146,q19_t225
146,q19_t226
147,q19_t226
147,q19_t227
148,q19_t228
148,q19_t229
149,q1_t0
149,q1_t278
150,q1_t278
150,q1_t279
150,q2_t278
150,q2_t279
151,q1_t279
151,q1_t280
152,q1_t280
152,q1_t281
153,q1_t282
153,q1_t283
154,q20_t0
154,q20_t221
155,q20_t221
155,q20_t222
155,q21_t221
155,q21_t222
156,q20_t222
156,q20_t223
157,q20_t223
157,q20_t224
158,q20_t225
158,q20_t226
159,q21_t0
159,q21_t218
160,q21_t218
160,q21_t219
160,q22_t218
160,q22_t219
161,q21_t219
161,q21_t220
162,q21_t220
162,q21_t221
163,q21_t222
163,q21_t223
164,q22_t0
164,q22_t215
165,q22_t215
165,q22_t216
165,q23_t215
165,q23_t216
166,q22_t216
166,q22_t217
167,q22_t217
167,q22_t218
168,q22_t219
168,q22_t220
169,q23_t0
169,q23_t212
170,q23_t212
170,q23_t213
170,q24_t212
170,q24_t213
171,q23_t213
171,q23_t214
172,q23_t214
172,q23_t215
173,q23_t216
173,q23_t217
174,q24_t0
174,q24_t209
