edge_index,node_id
0,c0_t8
0,q0_t7
1,c10_t8
1,q10_t7
2,c11_t8
2,q11_t7
3,c12_t11
3,q12_t10
4,c13_t8
4,q13_t7
5,c14_t11
5,q14_t10
6,c15_t8
6,q15_t7
7,c16_t11
7,q16_t10
8,c17_t14
8,q17_t13
9,c18_t11
9,q18_t10
10,c19_t11
10,q19_t10
11,c1_t8
11,q1_t7
12,c20_t17
12,q20_t16
13,c21_t17
13,q21_t16
14,c22_t11
14,q22_t10
15,c23_t14
15,q23_t13
16,c24_t11
16,q24_t10
17,c25_t14
17,q25_t13
18,c26_t11
18,q26_t10
19,c27_t8
19,q27_t7
20,c28_t8
20,q28_t7
21,c29_t14
21,q29_t13
22,c2_t8
22,q2_t7
23,c30_t11
23,q30_t10
24,c31_t11
24,q31_t10
25,c32_t11
25,q32_t10
26,c33_t11
26,q33_t10
27,c34_t14
27,q34_t13
28,c3_t8
28,q3_t7
29,c4_t11
29,q4_t10
30,c5_t8
30,q5_t7
31,c6_t8
31,q6_t7
32,c7_t11
32,q7_t10
33,c8_t8
33,q8_t7
34,c9_t11
34,q9_t10
35,q0_t0
35,q0_t1
36,q0_t1
36,q0_t2
37,q0_t2
37,q0_t3
37,q1_t2
37,q1_t3
38,q0_t3
38,q0_t4
39,q0_t4
39,q0_t5
40,q0_t5
40,q0_t6
40,q21_t5
40,q21_t6
41,q0_t6
41,q0_t7
42,q10_t0
42,q10_t1
43,q10_t1
43,q10_t2
44,q10_t2
44,q10_t3
44,q11_t2
44,q11_t3
45,q10_t3
45,q10_t4
46,q10_t4
46,q10_t5
47,q10_t5
47,q10_t6
47,q19_t5
47,q19_t6
48,q10_t6
48,q10_t7
49,q11_t0
49,q11_t1
50,q11_t1
50,q11_t2
51,q11_t3
51,q11_t4
52,q11_t4
52,q11_t5
53,q11_t5
53,q11_t6
53,q26_t5
53,q26_t6
54,q11_t6
54,q11_t7
55,q12_t0
55,q12_t1
56,q12_t1
56,q12_t5
57,q12_t10
57,q12_t9
58,q12_t5
58,q12_t6
58,q1_t5
58,q1_t6
59,q12_t6
59,q12_t7
60,q12_t7
60,q12_t8
61,q12_t8
61,q12_t9
61,q7_t8
61,q7_t9
62,q13_t0
62,q13_t1
63,q13_t1
63,q13_t2
64,q13_t2
64,q13_t3
64,q14_t2
64,q14_t3
65,q13_t3
65,q13_t4
66,q13_t4
66,q13_t5
67,q13_t5
67,q13_t6
67,q24_t5
67,q24_t6
68,q13_t6
68,q13_t7
69,q14_t0
69,q14_t1
70,q14_t1
70,q14_t2
71,q14_t10
71,q14_t9
72,q14_t3
72,q14_t4
73,q14_t4
73,q14_t8
74,q14_t8
74,q14_t9
74,q19_t8
74,q19_t9
75,q15_t0
75,q15_t1
76,q15_t1
76,q15_t2
77,q15_t2
77,q15_t3
77,q16_t2
77,q16_t3
78,q15_t3
78,q15_t4
79,q15_t4
79,q15_t5
80,q15_t5
80,q15_t6
80,q33_t5
80,q33_t6
81,q15_t6
81,q15_t7
