node_id,type,time,realisation
c0_t8,c,8,a
c10_t8,c,8,a
c11_t8,c,8,a
c12_t11,c,11,a
c13_t14,c,14,a
c14_t8,c,8,a
c15_t8,c,8,a
c16_t8,c,8,a
c17_t8,c,8,a
c18_t14,c,14,a
c19_t11,c,11,a
c1_t8,c,8,a
c20_t8,c,8,a
c21_t8,c,8,a
c22_t8,c,8,a
c23_t8,c,8,a
c24_t11,c,11,a
c25_t8,c,8,a
c26_t8,c,8,a
c27_t8,c,8,a
c28_t11,c,11,a
c29_t11,c,11,a
c2_t8,c,8,a
c30_t14,c,14,a
c31_t11,c,11,a
c32_t14,c,14,a
c33_t11,c,11,a
c34_t17,c,17,a
c35_t17,c,17,a
c36_t11,c,11,a
c37_t8,c,8,a
c38_t8,c,8,a
c39_t11,c,11,a
c3_t8,c,8,a
c40_t11,c,11,a
c41_t8,c,8,a
c42_t8,c,8,a
c43_t8,c,8,a
c44_t11,c,11,a
c45_t8,c,8,a
c46_t8,c,8,a
c47_t11,c,11,a
c48_t8,c,8,a
c49_t8,c,8,a
c4_t8,c,8,a
c50_t8,c,8,a
c51_t8,c,8,a
c52_t11,c,11,a
c53_t14,c,14,a
c54_t11,c,11,a
c55_t11,c,11,a
c56_t11,c,11,a
c57_t14,c,14,a
c58_t14,c,14,a
c59_t11,c,11,a
c5_t8,c,8,a
c60_t11,c,11,a
c61_t17,c,17,a
c62_t14,c,14,a
c63_t8,c,8,a
c64_t11,c,11,a
c65_t11,c,11,a
c66_t14,c,14,a
c67_t11,c,11,a
c68_t17,c,17,a
c69_t11,c,11,a
c6_t8,c,8,a
c70_t11,c,11,a
c71_t17,c,17,a
c72_t11,c,11,a
c73_t11,c,11,a
c74_t11,c,11,a
c75_t11,c,11,a
c76_t14,c,14,a
c77_t17,c,17,a
c78_t17,c,17,a
c79_t17,c,17,a
c7_t8,c,8,a
c80_t14,c,14,a
c81_t11,c,11,a
c82_t17,c,17,a
c83_t11,c,11,a
c84_t23,c,23,a
c85_t20,c,20,a
c86_t14,c,14,a
c87_t11,c,11,a
c88_t14,c,14,a
c89_t14,c,14,a
c8_t8,c,8,a
c90_t11,c,11,a
c91_t11,c,11,a
c92_t23,c,23,a
c9_t8,c,8,a
q0_t0,q,0,a
q0_t1,q,1,a
q0_t2,q,2,a
q0_t3,q,3,a
q0_t4,q,4,a
q0_t5,q,5,a
q0_t6,q,6,a
q0_t7,q,7,a
q10_t0,q,0,a
q10_t1,q,1,a
q10_t2,q,2,a
q10_t3,q,3,a
q10_t4,q,4,a
q10_t5,q,5,a
q10_t6,q,6,a
q10_t7,q,7,a
