edge_index,node_id
0,c0_t85
0,q0_t84
1,c10_t115
1,q10_t114
2,c11_t118
2,q11_t117
3,c12_t121
3,q12_t120
4,c13_t121
4,q13_t120
5,c1_t88
5,q1_t87
6,c2_t91
6,q2_t90
7,c3_t94
7,q3_t93
8,c4_t97
8,q4_t96
9,c5_t100
9,q5_t99
10,c6_t103
10,q6_t102
11,c7_t106
11,q7_t105
12,c8_t109
12,q8_t108
13,c9_t112
13,q9_t111
14,q0_t0
14,q0_t1
15,q0_t1
15,q0_t2
16,q0_t10
16,q0_t11
17,q0_t10
17,q0_t9
18,q0_t11
18,q0_t12
18,q4_t11
18,q4_t12
19,q0_t12
19,q0_t13
20,q0_t13
20,q0_t14
21,q0_t14
21,q0_t15
21,q5_t14
21,q5_t15
22,q0_t15
22,q0_t16
23,q0_t16
23,q0_t17
24,q0_t17
24,q0_t18
24,q6_t17
24,q6_t18
25,q0_t18
25,q0_t19
26,q0_t19
26,q0_t20
27,q0_t2
27,q0_t3
27,q1_t2
27,q1_t3
28,q0_t20
28,q0_t21
28,q7_t20
28,q7_t21
29,q0_t21
29,q0_t22
30,q0_t22
30,q0_t23
31,q0_t23
31,q0_t24
31,q8_t23
31,q8_t24
32,q0_t24
32,q0_t25
33,q0_t25
33,q0_t26
34,q0_t26
34,q0_t27
34,q9_t26
34,q9_t27
35,q0_t27
35,q0_t28
36,q0_t28
36,q0_t29
37,q0_t29
37,q0_t30
37,q10_t29
37,q10_t30
38,q0_t3
38,q0_t4
39,q0_t30
39,q0_t31
40,q0_t31
40,q0_t32
41,q0_t32
41,q0_t33
41,q11_t32
41,q11_t33
42,q0_t33
42,q0_t34
43,q0_t34
43,q0_t35
44,q0_t35
44,q0_t36
44,q12_t35
44,q12_t36
45,q0_t36
45,q0_t37
46,q0_t37
46,q0_t38
47,q0_t38
47,q0_t39
47,q13_t38
47,q13_t39
48,q0_t39
48,q0_t40
49,q0_t4
49,q0_t5
50,q0_t40
50,q0_t41
51,q0_t41
51,q0_t45
52,q0_t45
52,q0_t46
52,q1_t45
52,q1_t46
53,q0_t46
53,q0_t47
54,q0_t47
54,q0_t48
55,q0_t48
55,q0_t49
55,q2_t48
55,q2_t49
56,q0_t49
56,q0_t50
57,q0_t5
57,q0_t6
57,q2_t5
57,q2_t6
58,q0_t50
58,q0_t51
59,q0_t51
59,q0_t52
59,q3_t51
59,q3_t52
60,q0_t52
60,q0_t53
61,q0_t53
61,q0_t54
62,q0_t54
62,q0_t55
62,q4_t54
62,q4_t55
63,q0_t55
63,q0_t56
64,q0_t56
64,q0_t57
65,q0_t57
65,q0_t58
65,q5_t57
65,q5_t58
66,q0_t58
66,q0_t59
67,q0_t59
67,q0_t60
68,q0_t6
68,q0_t7
69,q0_t60
69,q0_t61
69,q6_t60
69,q6_t61
70,q0_t61
70,q0_t62
71,q0_t62
71,q0_t63
72,q0_t63
72,q0_t64
72,q7_t63
72,q7_t64
73,q0_t64
73,q0_t65
74,q0_t65
74,q0_t66
75,q0_t66
75,q0_t67
75,q8_t66
75,q8_t67
76,q0_t67
76,q0_t68
77,q0_t68
77,q0_t69
78,q0_t69
78,q0_t70
78,q9_t69
78,q9_t70
79,q0_t7
79,q0_t8
80,q0_t70
80,q0_t71
81,q0_t71
81,q0_t72
82,q0_t72
