edge_index,type,realisation,gate_name,role,edge_args,edge_metadata
0,c,a,measure,,,
1,c,a,measure,,,
2,c,a,measure,,,
3,c,a,measure,,,
4,c,a,measure,,,
5,c,a,measure,,,
6,c,a,measure,,,
7,c,a,measure,,,
8,c,a,measure,,,
9,c,a,measure,,,
10,c,a,measure,,,
11,c,a,measure,,,
12,c,a,measure,,,
13,c,a,measure,,,
14,q,a,u2,,"[[[0, 1]], [], [true]]",
15,q,a,cz_stage1,,"[[[0, 4], [1, 4]], [], [true, true]]",
16,q,a,cz_stage1,,"[[[0, 13], [4, 13]], [], [true, true]]",
17,q,a,cz_stage3,,"[[[0, 10], [3, 10]], [], [true, true]]",
18,q,a,cz_stage2,,"[[[0, 13], [4, 13]], [], [true, true]]",
19,q,a,cz_stage3,,"[[[0, 13], [4, 13]], [], [true, true]]",
20,q,a,cz_stage1,,"[[[0, 16], [5, 16]], [], [true, true]]",
21,q,a,cz_stage2,,"[[[0, 16], [5, 16]], [], [true, true]]",
22,q,a,cz_stage3,,"[[[0, 16], [5, 16]], [], [true, true]]",
23,q,a,cz_stage1,,"[[[0, 19], [6, 19]], [], [true, true]]",
24,q,a,cz_stage2,,"[[[0, 19], [6, 19]], [], [true, true]]",
25,q,a,cz_stage3,,"[[[0, 19], [6, 19]], [], [true, true]]",
26,q,a,cz_stage1,,"[[[0, 22], [7, 22]], [], [true, true]]",
27,q,a,cz_stage2,,"[[[0, 4], [1, 4]], [], [true, true]]",
28,q,a,cz_stage2,,"[[[0, 22], [7, 22]], [], [true, true]]",
29,q,a,cz_stage3,,"[[[0, 22], [7, 22]], [], [true, true]]",
30,q,a,cz_stage1,,"[[[0, 25], [8, 25]], [], [true, true]]",
31,q,a,cz_stage2,,"[[[0, 25], [8, 25]], [], [true, true]]",
32,q,a,cz_stage3,,"[[[0, 25], [8, 25]], [], [true, true]]",
33,q,a,cz_stage1,,"[[[0, 28], [9, 28]], [], [true, true]]",
34,q,a,cz_stage2,,"[[[0, 28], [9, 28]], [], [true, true]]",
35,q,a,cz_stage3,,"[[[0, 28], [9, 28]], [], [true, true]]",
36,q,a,cz_stage1,,"[[[0, 31], [10, 31]], [], [true, true]]",
37,q,a,cz_stage2,,"[[[0, 31], [10, 31]], [], [true, true]]",
38,q,a,cz_stage3,,"[[[0, 4], [1, 4]], [], [true, true]]",
39,q,a,cz_stage3,,"[[[0, 31], [10, 31]], [], [true, true]]",
40,q,a,cz_stage1,,"[[[0, 34], [11, 34]], [], [true, true]]",
41,q,a,cz_stage2,,"[[[0, 34], [11, 34]], [], [true, true]]",
