edge_index,node_id
0,c0_t73
0,q0_t72
1,c10_t103
1,q10_t102
2,c11_t103
2,q11_t102
3,c1_t76
3,q1_t75
4,c2_t79
4,q2_t78
5,c3_t82
5,q3_t81
6,c4_t85
6,q4_t84
7,c5_t88
7,q5_t87
8,c6_t91
8,q6_t90
9,c7_t94
9,q7_t93
10,c8_t97
10,q8_t96
11,c9_t100
11,q9_t99
12,q0_t0
12,q0_t1
13,q0_t1
13,q0_t2
14,q0_t10
14,q0_t11
15,q0_t10
15,q0_t9
16,q0_t11
16,q0_t12
16,q4_t11
16,q4_t12
17,q0_t12
17,q0_t13
18,q0_t13
18,q0_t14
19,q0_t14
19,q0_t15
19,q5_t14
19,q5_t15
20,q0_t15
20,q0_t16
21,q0_t16
21,q0_t17
22,q0_t17
22,q0_t18
22,q6_t17
22,q6_t18
23,q0_t18
23,q0_t19
24,q0_t19
24,q0_t20
25,q0_t2
25,q0_t3
25,q1_t2
25,q1_t3
26,q0_t20
26,q0_t21
26,q7_t20
26,q7_t21
27,q0_t21
27,q0_t22
28,q0_t22
28,q0_t23
29,q0_t23
29,q0_t24
29,q8_t23
29,q8_t24
30,q0_t24
30,q0_t25
31,q0_t25
31,q0_t26
32,q0_t26
32,q0_t27
32,q9_t26
32,q9_t27
33,q0_t27
33,q0_t28
34,q0_t28
34,q0_t29
35,q0_t29
35,q0_t30
35,q10_t29
35,q10_t30
36,q0_t3
36,q0_t4
37,q0_t30
37,q0_t31
38,q0_t31
38,q0_t32
39,q0_t32
39,q0_t33
39,q11_t32
39,q11_t33
40,q0_t33
40,q0_t34
41,q0_t34
41,q0_t35
42,q0_t35
42,q0_t39
43,q0_t39
43,q0_t40
43,q1_t39
43,q1_t40
44,q0_t4
44,q0_t5
45,q0_t40
45,q0_t41
46,q0_t41
46,q0_t42
47,q0_t42
47,q0_t43
47,q2_t42
47,q2_t43
48,q0_t43
48,q0_t44
49,q0_t44
49,q0_t45
50,q0_t45
50,q0_t46
50,q3_t45
50,q3_t46
51,q0_t46
51,q0_t47
52,q0_t47
52,q0_t48
53,q0_t48
53,q0_t49
53,q4_t48
53,q4_t49
54,q0_t49
54,q0_t50
55,q0_t5
55,q0_t6
55,q2_t5
55,q2_t6
56,q0_t50
56,q0_t51
57,q0_t51
57,q0_t52
57,q5_t51
57,q5_t52
58,q0_t52
58,q0_t53
59,q0_t53
59,q0_t54
60,q0_t54
60,q0_t55
60,q6_t54
60,q6_t55
61,q0_t55
61,q0_t56
62,q0_t56
62,q0_t57
63,q0_t57
63,q0_t58
63,q7_t57
63,q7_t58
64,q0_t58
64,q0_t59
65,q0_t59
65,q0_t60
66,q0_t6
66,q0_t7
67,q0_t60
67,q0_t61
67,q8_t60
67,q8_t61
68,q0_t61
68,q0_t62
69,q0_t62
69,q0_t63
70,q0_t63
70,q0_t64
70,q9_t63
70,q9_t64
71,q0_t64
71,q0_t65
72,q0_t65
72,q0_t66
73,q0_t66
73,q0_t67
73,q10_t66
73,q10_t67
74,q0_t67
74,q0_t68
75,q0_t68
75,q0_t69
76,q0_t69
76,q0_t70
76,q11_t69
76,q11_t70
77,q0_t7
77,q0_t8
78,q0_t70
78,q0_t71
79,q0_t71
79,q0_t72
80,q0_t8
80,q0_t9
80,q3_t8
80,q3_t9
81,q10_t0
81,q10_t1
82,q10_t1
82,q10_t29
83,q10_t100
83,q10_t101
84,q10_t100
84,q10_t99
84,q11_t100
84,q11_t99
85,q10_t101
85,q10_t102
86,q10_t30
86,q10_t31
87,q10_t31
87,q10_t32
88,q10_t32
88,q10_t33
88,q1_t32
88,q1_t33
89,q10_t33
89,q10_t34
90,q10_t34
90,q10_t35
91,q10_t35
91,q10_t36
91,q2_t35
91,q2_t36
92,q10_t36
92,q10_t37
93,q10_t37
93,q10_t38
94,q10_t38
94,q10_t39
94,q3_t38
94,q3_t39
95,q10_t39
95,q10_t40
96,q10_t40
96,q10_t41
97,q10_t41
97,q10_t42
97,q4_t41
97,q4_t42
98,q10_t42
98,q10_t43
99,q10_t43
99,q10_t44
100,q10_t44
100,q10_t45
100,q5_t44
100,q5_t45
101,q10_t45
101,q10_t46
102,q10_t46
102,q10_t47
103,q10_t47
103,q10_t48
103,q6_t47
103,q6_t48
104,q10_t48
104,q10_t49
105,q10_t49
105,q10_t50
106,q10_t50
106,q10_t51
106,q7_t50
106,q7_t51
107,q10_t51
107,q10_t52
108,q10_t52
108,q10_t53
109,q10_t53
109,q10_t54
109,q8_t53
109,q8_t54
110,q10_t54
110,q10_t55
111,q10_t55
111,q10_t56
112,q10_t56
112,q10_t57
112,q9_t56
112,q9_t57
113,q10_t57
113,q10_t58
114,q10_t58
114,q10_t62
115,q10_t62
115,q10_t63
115,q11_t62
115,q11_t63
116,q10_t63
116,q10_t64
117,q10_t64
117,q10_t65
118,q10_t65
118,q10_t66
119,q10_t67
119,q10_t68
120,q10_t68
120,q10_t69
121,q10_t69
121,q10_t70
121,q1_t69
121,q1_t70
122,q10_t70
122,q10_t71
123,q10_t71
123,q10_t72
124,q10_t72
124,q10_t73
124,q2_t72
124,q2_t73
125,q10_t73
125,q10_t74
126,q10_t74
126,q10_t75
127,q10_t75
127,q10_t76
127,q3_t75
127,q3_t76
128,q10_t76
128,q10_t77
129,q10_t77
129,q10_t78
130,q10_t78
130,q10_t79
130,q4_t78
130,q4_t79
131,q10_t79
131,q10_t80
132,q10_t80
132,q10_t81
133,q10_t81
133,q10_t82
133,q5_t81
133,q5_t82
134,q10_t82
134,q10_t83
135,q10_t83
135,q10_t84
136,q10_t84
136,q10_t85
136,q6_t84
136,q6_t85
137,q10_t85
137,q10_t86
138,q10_t86
138,q10_t87
139,q10_t87
139,q10_t88
139,q7_t87
139,q7_t88
140,q10_t88
140,q10_t89
141,q10_t89
141,q10_t90
142,q10_t90
142,q10_t91
142,q8_t90
142,q8_t91
143,q10_t91
143,q10_t92
144,q10_t92
144,q10_t93
145,q10_t93
145,q10_t94
145,q9_t93
145,q9_t94
146,q10_t94
146,q10_t95
147,q10_t95
147,q10_t99
148,q11_t0
148,q11_t1
149,q11_t1
149,q11_t32
150,q11_t100
150,q11_t101
151,q11_t101
151,q11_t102
152,q11_t33
152,q11_t34
153,q11_t34
153,q11_t35
154,q11_t35
154,q11_t36
154,q1_t35
154,q1_t36
155,q11_t36
155,q11_t37
156,q11_t37
156,q11_t38
157,q11_t38
157,q11_t39
157,q2_t38
157,q2_t39
158,q11_t39
158,q11_t40
159,q11_t40
159,q11_t41
160,q11_t41
160,q11_t42
160,q3_t41
160,q3_t42
161,q11_t42
161,q11_t43
162,q11_t43
162,q11_t44
163,q11_t44
163,q11_t45
163,q4_t44
163,q4_t45
164,q11_t45
164,q11_t46
165,q11_t46
165,q11_t47
166,q11_t47
166,q11_t48
166,q5_t47
166,q5_t48
167,q11_t48
167,q11_t49
168,q11_t49
168,q11_t50
169,q11_t50
169,q11_t51
169,q6_t50
169,q6_t51
170,q11_t51
170,q11_t52
171,q11_t52
171,q11_t53
172,q11_t53
172,q11_t54
172,q7_t53
172,q7_t54
173,q11_t54
173,q11_t55
174,q11_t55
174,q11_t56
175,q11_t56
175,q11_t57
175,q8_t56
175,q8_t57
176,q11_t57
176,q11_t58
177,q11_t58
177,q11_t59
178,q11_t59
178,q11_t60
178,q9_t59
178,q9_t60
179,q11_t60
179,q11_t61
180,q11_t61
180,q11_t62
181,q11_t63
181,q11_t64
182,q11_t64
182,q11_t65
183,q11_t65
183,q11_t69
184,q11_t70
184,q11_t71
