edge_index,node_id
0,c0_t25
0,q0_t24
1,c1_t28
1,q1_t27
2,c2_t31
2,q2_t30
3,c3_t31
3,q3_t30
4,q0_t0
4,q0_t1
5,q0_t1
5,q0_t2
6,q0_t10
6,q0_t11
7,q0_t10
7,q0_t9
8,q0_t11
8,q0_t15
9,q0_t15
9,q0_t16
9,q1_t15
9,q1_t16
10,q0_t16
10,q0_t17
11,q0_t17
11,q0_t18
12,q0_t18
12,q0_t19
12,q2_t18
12,q2_t19
13,q0_t19
13,q0_t20
14,q0_t2
14,q0_t3
14,q1_t2
14,q1_t3
15,q0_t20
15,q0_t21
16,q0_t21
16,q0_t22
16,q3_t21
16,q3_t22
17,q0_t22
17,q0_t23
18,q0_t23
18,q0_t24
19,q0_t3
19,q0_t4
20,q0_t4
20,q0_t5
21,q0_t5
21,q0_t6
21,q2_t5
21,q2_t6
22,q0_t6
22,q0_t7
23,q0_t7
23,q0_t8
24,q0_t8
24,q0_t9
24,q3_t8
24,q3_t9
25,q1_t0
25,q1_t1
26,q1_t1
26,q1_t2
27,q1_t10
27,q1_t11
28,q1_t10
28,q1_t9
29,q1_t11
29,q1_t12
29,q3_t11
29,q3_t12
30,q1_t12
30,q1_t13
31,q1_t13
31,q1_t14
32,q1_t14
32,q1_t15
33,q1_t16
33,q1_t17
34,q1_t17
34,q1_t21
35,q1_t21
35,q1_t22
35,q2_t21
35,q2_t22
36,q1_t22
36,q1_t23
37,q1_t23
37,q1_t24
38,q1_t24
38,q1_t25
38,q3_t24
38,q3_t25
39,q1_t25
39,q1_t26
40,q1_t26
40,q1_t27
41,q1_t3
41,q1_t4
42,q1_t4
42,q1_t8
43,q1_t8
43,q1_t9
43,q2_t8
43,q2_t9
44,q2_t0
44,q2_t1
45,q2_t1
45,q2_t5
46,q2_t10
46,q2_t14
47,q2_t10
47,q2_t9
48,q2_t14
48,q2_t15
48,q3_t14
48,q3_t15
49,q2_t15
49,q2_t16
50,q2_t16
50,q2_t17
51,q2_t17
51,q2_t18
52,q2_t19
52,q2_t20
53,q2_t20
53,q2_t21
54,q2_t22
54,q2_t23
55,q2_t23
55,q2_t27
56,q2_t27
56,q2_t28
56,q3_t27
56,q3_t28
57,q2_t28
57,q2_t29
58,q2_t29
58,q2_t30
59,q2_t6
59,q2_t7
60,q2_t7
60,q2_t8
61,q3_t0
61,q3_t1
62,q3_t1
62,q3_t8
63,q3_t10
63,q3_t11
64,q3_t10
64,q3_t9
65,q3_t12
65,q3_t13
66,q3_t13
66,q3_t14
67,q3_t15
67,q3_t16
68,q3_t16
68,q3_t17
69,q3_t17
69,q3_t21
70,q3_t22
70,q3_t23
71,q3_t23
71,q3_t24
72,q3_t25
72,q3_t26
73,q3_t26
73,q3_t27
74,q3_t28
74,q3_t29
75,q3_t29
75,q3_t30
