edge_index,node_id
0,c0_t90
0,q0_t89
1,c1_t90
1,q1_t89
2,c2_t90
2,q2_t89
3,c3_t85
3,q3_t84
4,q0_t0
4,q0_t1
5,q0_t1
5,q0_t17
6,q0_t17
6,q0_t18
6,q1_t17
6,q1_t18
7,q0_t18
7,q0_t19
8,q0_t19
8,q0_t20
9,q0_t20
9,q0_t21
9,q3_t20
9,q3_t21
10,q0_t21
10,q0_t22
11,q0_t22
11,q0_t23
12,q0_t23
12,q0_t24
12,q2_t23
12,q2_t24
13,q0_t24
13,q0_t25
14,q0_t25
14,q0_t26
15,q0_t26
15,q0_t27
15,q3_t26
15,q3_t27
16,q0_t27
16,q0_t28
17,q0_t28
17,q0_t29
18,q0_t29
18,q0_t30
18,q1_t29
18,q1_t30
19,q0_t30
19,q0_t31
20,q0_t31
20,q0_t32
21,q0_t32
21,q0_t33
21,q3_t32
21,q3_t33
22,q0_t33
22,q0_t34
23,q0_t34
23,q0_t35
24,q0_t35
24,q0_t36
24,q2_t35
24,q2_t36
25,q0_t36
25,q0_t37
26,q0_t37
26,q0_t38
27,q0_t38
27,q0_t39
27,q3_t38
27,q3_t39
28,q0_t39
28,q0_t40
29,q0_t40
29,q0_t41
30,q0_t41
30,q0_t42
31,q0_t42
31,q0_t43
31,q1_t42
31,q1_t43
31,q2_t42
31,q2_t43
32,q0_t43
32,q0_t44
33,q0_t44
33,q0_t45
34,q0_t45
34,q0_t61
35,q0_t61
35,q0_t62
35,q1_t61
35,q1_t62
36,q0_t62
36,q0_t63
37,q0_t63
37,q0_t64
38,q0_t64
38,q0_t65
38,q3_t64
38,q3_t65
39,q0_t65
39,q0_t66
40,q0_t66
40,q0_t67
41,q0_t67
41,q0_t68
41,q2_t67
41,q2_t68
42,q0_t68
42,q0_t69
43,q0_t69
43,q0_t70
44,q0_t70
44,q0_t71
44,q3_t70
44,q3_t71
45,q0_t71
45,q0_t72
46,q0_t72
46,q0_t73
47,q0_t73
47,q0_t74
47,q1_t73
47,q1_t74
48,q0_t74
48,q0_t75
49,q0_t75
49,q0_t76
50,q0_t76
50,q0_t77
50,q3_t76
50,q3_t77
51,q0_t77
51,q0_t78
52,q0_t78
52,q0_t79
53,q0_t79
53,q0_t80
53,q2_t79
53,q2_t80
54,q0_t80
54,q0_t81
55,q0_t81
55,q0_t82
56,q0_t82
56,q0_t83
56,q3_t82
56,q3_t83
57,q0_t83
57,q0_t84
58,q0_t84
58,q0_t85
59,q0_t85
59,q0_t86
60,q0_t86
60,q0_t87
60,q1_t86
60,q1_t87
60,q2_t86
60,q2_t87
61,q0_t87
61,q0_t88
62,q0_t88
62,q0_t89
63,q1_t0
63,q1_t1
64,q1_t1
64,q1_t5
65,q1_t10
65,q1_t11
66,q1_t10
