edge_index,type,realisation,gate_name,role,edge_args,edge_metadata
0,c,a,measure,,,
1,c,a,measure,,,
2,c,a,measure,,,
3,c,a,measure,,,
4,c,a,measure,,,
5,q,a,h,,"[[[0, 1]], [], [true]]",
6,q,a,cx_stage1,,"[[[1, 43], [0, 43]], [], [true, true]]",
7,q,a,cx_stage2,,"[[[0, 103], [2, 103]], [], [true, true]]",
8,q,a,cx_stage1,,"[[[0, 103], [2, 103]], [], [true, true]]",
9,q,a,cx_stage3,,"[[[0, 103], [2, 103]], [], [true, true]]",
10,q,a,cx_stage1,,"[[[0, 111], [2, 111]], [], [true, true]]",
11,q,a,cx_stage2,,"[[[0, 111], [2, 111]], [], [true, true]]",
12,q,a,cx_stage3,,"[[[0, 111], [2, 111]], [], [true, true]]",
13,q,a,cx_stage1,,"[[[0, 126], [3, 126]], [], [true, true]]",
14,q,a,cx_stage2,,"[[[0, 126], [3, 126]], [], [true, true]]",
15,q,a,cx_stage3,,"[[[0, 126], [3, 126]], [], [true, true]]",
16,q,a,cx_stage1,,"[[[0, 142], [3, 142]], [], [true, true]]",
17,q,a,cx_stage2,,"[[[0, 142], [3, 142]], [], [true, true]]",
18,q,a,cx_stage3,,"[[[0, 142], [3, 142]], [], [true, true]]",
19,q,a,u2,,"[[[0, 143]], [], [true]]",
20,q,a,cx_stage1,,"[[[1, 185], [0, 185]], [], [true, true]]",
21,q,a,cx_stage2,,"[[[1, 185], [0, 185]], [], [true, true]]",
22,q,a,cx_stage3,,"[[[1, 185], [0, 185]], [], [true, true]]",
23,q,a,cp_stage1,,"[[[0, 188], [4, 188]], [], [true, true]]",
24,q,a,cp_stage2,,"[[[0, 188], [4, 188]], [], [true, true]]",
25,q,a,cp_stage3,,"[[[0, 188], [4, 188]], [], [true, true]]",
26,q,a,cx_stage1,,"[[[3, 191], [0, 191]], [], [true, true]]",
27,q,a,cx_stage2,,"[[[3, 191], [0, 191]], [], [true, true]]",
28,q,a,cx_stage3,,"[[[3, 191], [0, 191]], [], [true, true]]",
29,q,a,cp_stage1,,"[[[0, 194], [4, 194]], [], [true, true]]",
30,q,a,cp_stage2,,"[[[0, 194], [4, 194]], [], [true, true]]",
31,q,a,cp_stage3,,"[[[0, 194], [4, 194]], [], [true, true]]",
32,q,a,cx_stage1,,"[[[2, 197], [0, 197]], [], [true, true]]",
33,q,a,cx_stage2,,"[[[2, 197], [0, 197]], [], [true, true]]",
34,q,a,cx_stage3,,"[[[2, 197], [0, 197]], [], [true, true]]",
35,q,a,cp_stage1,,"[[[0, 200], [4, 200]], [], [true, true]]",
