edge_index,node_id
0,c0_t6299
0,q0_t6298
1,c10_t6289
1,q10_t6288
2,c1_t6299
2,q1_t6298
3,c2_t6296
3,q2_t6295
4,c3_t6293
4,q3_t6292
5,c4_t6290
5,q4_t6289
6,c5_t6287
6,q5_t6286
7,c6_t6287
7,q6_t6286
8,c7_t6298
8,q7_t6297
9,c8_t6295
9,q8_t6294
10,c9_t6292
10,q9_t6291
11,q0_t0
11,q0_t1
12,q0_t1
12,q0_t377
13,q0_t1164
13,q0_t1165
13,q1_t1164
13,q1_t1165
14,q0_t1164
14,q0_t789
15,q0_t1165
15,q0_t1166
16,q0_t1166
16,q0_t1167
17,q0_t1167
17,q0_t1168
17,q7_t1167
17,q7_t1168
18,q0_t1168
18,q0_t1169
19,q0_t1169
19,q0_t1170
20,q0_t1170
20,q0_t1171
20,q6_t1170
20,q6_t1171
21,q0_t1171
21,q0_t1172
22,q0_t1172
22,q0_t1173
23,q0_t1173
23,q0_t1174
23,q7_t1173
23,q7_t1174
24,q0_t1174
24,q0_t1175
25,q0_t1175
25,q0_t1176
26,q0_t1176
26,q0_t1177
26,q5_t1176
26,q5_t1177
27,q0_t1177
27,q0_t1178
28,q0_t1178
28,q0_t1179
29,q0_t1179
29,q0_t1180
29,q7_t1179
29,q7_t1180
30,q0_t1180
30,q0_t1181
31,q0_t1181
31,q0_t1182
32,q0_t1182
32,q0_t1183
32,q6_t1182
32,q6_t1183
33,q0_t1183
33,q0_t1184
34,q0_t1184
34,q0_t1185
35,q0_t1185
35,q0_t1186
35,q7_t1185
35,q7_t1186
36,q0_t1186
36,q0_t1187
37,q0_t1187
37,q0_t1188
38,q0_t1188
38,q0_t1189
38,q4_t1188
38,q4_t1189
39,q0_t1189
39,q0_t1190
40,q0_t1190
40,q0_t1191
41,q0_t1191
41,q0_t1192
41,q7_t1191
41,q7_t1192
42,q0_t1192
42,q0_t1193
43,q0_t1193
43,q0_t1194
44,q0_t1194
44,q0_t1195
44,q6_t1194
44,q6_t1195
45,q0_t1195
45,q0_t1196
46,q0_t1196
46,q0_t1197
47,q0_t1197
47,q0_t1198
47,q7_t1197
47,q7_t1198
48,q0_t1198
48,q0_t1199
49,q0_t1199
49,q0_t1200
50,q0_t1200
50,q0_t1201
50,q5_t1200
50,q5_t1201
51,q0_t1201
51,q0_t1202
52,q0_t1202
52,q0_t1203
53,q0_t1203
53,q0_t1204
53,q7_t1203
53,q7_t1204
54,q0_t1204
54,q0_t1205
55,q0_t1205
55,q0_t1206
56,q0_t1206
56,q0_t1207
56,q6_t1206
56,q6_t1207
57,q0_t1207
57,q0_t1208
58,q0_t1208
58,q0_t1209
59,q0_t1209
59,q0_t1210
59,q7_t1209
59,q7_t1210
60,q0_t1210
60,q0_t1211
61,q0_t1211
61,q0_t1212
62,q0_t1212
62,q0_t1213
62,q3_t1212
62,q3_t1213
63,q0_t1213
63,q0_t1214
64,q0_t1214
64,q0_t1215
65,q0_t1215
65,q0_t1216
65,q7_t1215
65,q7_t1216
66,q0_t1216
66,q0_t1217
67,q0_t1217
67,q0_t1218
68,q0_t1218
68,q0_t1219
68,q6_t1218
68,q6_t1219
69,q0_t1219
69,q0_t1220
70,q0_t1220
70,q0_t1221
71,q0_t1221
71,q0_t1222
71,q7_t1221
71,q7_t1222
72,q0_t1222
72,q0_t1223
73,q0_t1223
73,q0_t1224
74,q0_t1224
74,q0_t1225
74,q5_t1224
74,q5_t1225
75,q0_t1225
75,q0_t1226
76,q0_t1226
76,q0_t1227
77,q0_t1227
77,q0_t1228
77,q7_t1227
77,q7_t1228
78,q0_t1228
78,q0_t1229
79,q0_t1229
79,q0_t1230
80,q0_t1230
80,q0_t1231
80,q6_t1230
80,q6_t1231
81,q0_t1231
81,q0_t1232
82,q0_t1232
82,q0_t1233
83,q0_t1233
83,q0_t1234
83,q7_t1233
83,q7_t1234
84,q0_t1234
84,q0_t1235
85,q0_t1235
85,q0_t1236
86,q0_t1236
86,q0_t1237
86,q4_t1236
86,q4_t1237
87,q0_t1237
87,q0_t1238
88,q0_t1238
88,q0_t1239
89,q0_t1239
89,q0_t1240
89,q7_t1239
89,q7_t1240
90,q0_t1240
90,q0_t1241
91,q0_t1241
91,q0_t1242
92,q0_t1242
92,q0_t1243
92,q6_t1242
92,q6_t1243
93,q0_t1243
93,q0_t1244
94,q0_t1244
94,q0_t1245
95,q0_t1245
95,q0_t1246
95,q7_t1245
95,q7_t1246
96,q0_t1246
96,q0_t1247
97,q0_t1247
97,q0_t1248
98,q0_t1248
98,q0_t1249
98,q5_t1248
98,q5_t1249
99,q0_t1249
99,q0_t1250
100,q0_t1250
100,q0_t1251
101,q0_t1251
101,q0_t1252
101,q7_t1251
101,q7_t1252
102,q0_t1252
102,q0_t1253
103,q0_t1253
103,q0_t1254
104,q0_t1254
104,q0_t1255
104,q6_t1254
104,q6_t1255
105,q0_t1255
105,q0_t1256
106,q0_t1256
106,q0_t1257
107,q0_t1257
107,q0_t1258
107,q7_t1257
107,q7_t1258
108,q0_t1258
108,q0_t1259
109,q0_t1259
109,q0_t1260
110,q0_t1260
110,q0_t1261
110,q2_t1260
110,q2_t1261
111,q0_t1261
111,q0_t1262
112,q0_t1262
112,q0_t1263
113,q0_t1263
113,q0_t1264
113,q7_t1263
113,q7_t1264
114,q0_t1264
114,q0_t1265
115,q0_t1265
115,q0_t1266
116,q0_t1266
116,q0_t1267
116,q6_t1266
116,q6_t1267
117,q0_t1267
117,q0_t1268
118,q0_t1268
118,q0_t1269
119,q0_t1269
119,q0_t1270
119,q7_t1269
119,q7_t1270
120,q0_t1270
120,q0_t1271
121,q0_t1271
121,q0_t1272
122,q0_t1272
122,q0_t1273
122,q5_t1272
122,q5_t1273
123,q0_t1273
123,q0_t1274
124,q0_t1274
124,q0_t1275
125,q0_t1275
125,q0_t1276
125,q7_t1275
125,q7_t1276
126,q0_t1276
126,q0_t1277
127,q0_t1277
127,q0_t1278
128,q0_t1278
128,q0_t1279
128,q6_t1278
128,q6_t1279
129,q0_t1279
129,q0_t1280
130,q0_t1280
130,q0_t1281
131,q0_t1281
131,q0_t1282
131,q7_t1281
131,q7_t1282
132,q0_t1282
132,q0_t1283
133,q0_t1283
133,q0_t1284
134,q0_t1284
134,q0_t1285
134,q4_t1284
134,q4_t1285
135,q0_t1285
135,q0_t1286
136,q0_t1286
136,q0_t1287
137,q0_t1287
137,q0_t1288
137,q7_t1287
137,q7_t1288
138,q0_t1288
138,q0_t1289
139,q0_t1289
139,q0_t1290
140,q0_t1290
140,q0_t1291
140,q6_t1290
140,q6_t1291
141,q0_t1291
141,q0_t1292
142,q0_t1292
142,q0_t1293
143,q0_t1293
143,q0_t1294
143,q7_t1293
143,q7_t1294
144,q0_t1294
144,q0_t1295
145,q0_t1295
145,q0_t1296
146,q0_t1296
146,q0_t1297
146,q5_t1296
146,q5_t1297
147,q0_t1297
147,q0_t1298
148,q0_t1298
148,q0_t1299
149,q0_t1299
149,q0_t1300
149,q7_t1299
149,q7_t1300
150,q0_t1300
150,q0_t1301
151,q0_t1301
151,q0_t1302
152,q0_t1302
152,q0_t1303
152,q6_t1302
152,q6_t1303
153,q0_t1303
153,q0_t1304
154,q0_t1304
154,q0_t1305
155,q0_t1305
155,q0_t1306
155,q7_t1305
155,q7_t1306
156,q0_t1306
156,q0_t1307
157,q0_t1307
157,q0_t1308
158,q0_t1308
158,q0_t1309
158,q3_t1308
158,q3_t1309
159,q0_t1309
159,q0_t1310
160,q0_t1310
160,q0_t1311
161,q0_t1311
161,q0_t1312
161,q7_t1311
161,q7_t1312
162,q0_t1312
162,q0_t1313
163,q0_t1313
163,q0_t1314
164,q0_t1314
164,q0_t1315
164,q6_t1314
164,q6_t1315
165,q0_t1315
165,q0_t1316
166,q0_t1316
166,q0_t1317
167,q0_t1317
167,q0_t1318
167,q7_t1317
167,q7_t1318
168,q0_t1318
168,q0_t1319
169,q0_t1319
169,q0_t1320
170,q0_t1320
170,q0_t1321
170,q5_t1320
170,q5_t1321
171,q0_t1321
171,q0_t1322
172,q0_t1322
172,q0_t1323
173,q0_t1323
173,q0_t1324
173,q7_t1323
173,q7_t1324
174,q0_t1324
174,q0_t1325
175,q0_t1325
175,q0_t1326
176,q0_t1326
176,q0_t1327
176,q6_t1326
176,q6_t1327
177,q0_t1327
177,q0_t1328
178,q0_t1328
178,q0_t1329
179,q0_t1329
179,q0_t1330
179,q7_t1329
179,q7_t1330
180,q0_t1330
180,q0_t1331
181,q0_t1331
181,q0_t1332
182,q0_t1332
182,q0_t1333
182,q4_t1332
182,q4_t1333
