edge_index,type,realisation,gate_name,role,edge_args,edge_metadata
0,c,a,measure,,,
1,c,a,measure,,,
2,c,a,measure,,,
3,c,a,measure,,,
4,c,a,measure,,,
5,c,a,measure,,,
6,c,a,measure,,,
7,q,a,h,,"[[[0, 1]], [], [true]]",
8,q,a,cx_stage1,,"[[[1, 91], [0, 91]], [], [true, true]]",
9,q,a,cx_stage1,,"[[[3, 103], [0, 103]], [], [true, true]]",
10,q,a,cp_stage3,,"[[[0, 100], [5, 100]], [], [true, true]]",
11,q,a,cx_stage2,,"[[[3, 103], [0, 103]], [], [true, true]]",
12,q,a,cx_stage3,,"[[[3, 103], [0, 103]], [], [true, true]]",
13,q,a,cp_stage1,,"[[[0, 106], [5, 106]], [], [true, true]]",
14,q,a,cp_stage2,,"[[[0, 106], [5, 106]], [], [true, true]]",
15,q,a,cp_stage3,,"[[[0, 106], [5, 106]], [], [true, true]]",
16,q,a,cx_stage1,,"[[[4, 109], [0, 109]], [], [true, true]]",
17,q,a,cx_stage2,,"[[[4, 109], [0, 109]], [], [true, true]]",
18,q,a,cx_stage3,,"[[[4, 109], [0, 109]], [], [true, true]]",
19,q,a,cp_stage1,,"[[[0, 112], [5, 112]], [], [true, true]]",
20,q,a,cp_stage2,,"[[[0, 112], [5, 112]], [], [true, true]]",
21,q,a,cp_stage3,,"[[[0, 112], [5, 112]], [], [true, true]]",
22,q,a,cx_stage1,,"[[[2, 115], [0, 115]], [], [true, true]]",
23,q,a,cx_stage2,,"[[[2, 115], [0, 115]], [], [true, true]]",
24,q,a,cx_stage3,,"[[[2, 115], [0, 115]], [], [true, true]]",
25,q,a,cp_stage1,,"[[[0, 118], [5, 118]], [], [true, true]]",
26,q,a,cp_stage2,,"[[[0, 118], [5, 118]], [], [true, true]]",
27,q,a,cp_stage3,,"[[[0, 118], [5, 118]], [], [true, true]]",
28,q,a,cx_stage1,,"[[[4, 121], [0, 121]], [], [true, true]]",
29,q,a,cx_stage2,,"[[[4, 121], [0, 121]], [], [true, true]]",
30,q,a,cx_stage3,,"[[[4, 121], [0, 121]], [], [true, true]]",
31,q,a,cp_stage1,,"[[[0, 124], [5, 124]], [], [true, true]]",
32,q,a,cp_stage2,,"[[[0, 124], [5, 124]], [], [true, true]]",
33,q,a,cp_stage3,,"[[[0, 124], [5, 124]], [], [true, true]]",
34,q,a,cx_stage1,,"[[[3, 127], [0, 127]], [], [true, true]]",
35,q,a,cx_stage2,,"[[[3, 127], [0, 127]], [], [true, true]]",
36,q,a,cx_stage3,,"[[[3, 127], [0, 127]], [], [true, true]]",
