node_id,type,time,realisation
c0_t799,c,799,a
c1_t799,c,799,a
c2_t796,c,796,a
c3_t793,c,793,a
c4_t793,c,793,a
c5_t798,c,798,a
c6_t795,c,795,a
q0_t0,q,0,a
q0_t1,q,1,a
q0_t100,q,100,a
q0_t101,q,101,a
q0_t102,q,102,a
q0_t103,q,103,a
q0_t104,q,104,a
q0_t105,q,105,a
q0_t106,q,106,a
q0_t107,q,107,a
q0_t108,q,108,a
q0_t109,q,109,a
q0_t110,q,110,a
q0_t111,q,111,a
q0_t112,q,112,a
q0_t113,q,113,a
q0_t114,q,114,a
q0_t115,q,115,a
q0_t116,q,116,a
q0_t117,q,117,a
q0_t118,q,118,a
q0_t119,q,119,a
q0_t120,q,120,a
q0_t121,q,121,a
q0_t122,q,122,a
q0_t123,q,123,a
q0_t124,q,124,a
q0_t125,q,125,a
q0_t126,q,126,a
q0_t127,q,127,a
q0_t128,q,128,a
q0_t129,q,129,a
q0_t130,q,130,a
q0_t131,q,131,a
q0_t132,q,132,a
q0_t133,q,133,a
q0_t134,q,134,a
q0_t135,q,135,a
q0_t136,q,136,a
q0_t137,q,137,a
q0_t138,q,138,a
q0_t139,q,139,a
q0_t140,q,140,a
q0_t141,q,141,a
q0_t142,q,142,a
q0_t143,q,143,a
q0_t144,q,144,a
q0_t145,q,145,a
q0_t146,q,146,a
q0_t147,q,147,a
q0_t148,q,148,a
q0_t149,q,149,a
q0_t150,q,150,a
q0_t151,q,151,a
q0_t152,q,152,a
q0_t153,q,153,a
q0_t154,q,154,a
q0_t155,q,155,a
q0_t156,q,156,a
q0_t157,q,157,a
q0_t158,q,158,a
q0_t159,q,159,a
q0_t160,q,160,a
q0_t161,q,161,a
q0_t162,q,162,a
q0_t163,q,163,a
q0_t164,q,164,a
q0_t165,q,165,a
q0_t166,q,166,a
q0_t167,q,167,a
q0_t168,q,168,a
q0_t169,q,169,a
q0_t170,q,170,a
q0_t171,q,171,a
q0_t172,q,172,a
q0_t173,q,173,a
q0_t174,q,174,a
q0_t175,q,175,a
q0_t176,q,176,a
q0_t177,q,177,a
q0_t178,q,178,a
q0_t179,q,179,a
q0_t180,q,180,a
q0_t181,q,181,a
q0_t182,q,182,a
q0_t183,q,183,a
q0_t184,q,184,a
q0_t185,q,185,a
q0_t186,q,186,a
q0_t187,q,187,a
q0_t188,q,188,a
q0_t198,q,198,a
q0_t199,q,199,a
q0_t200,q,200,a
q0_t201,q,201,a
q0_t288,q,288,a
q0_t289,q,289,a
q0_t290,q,290,a
q0_t291,q,291,a
q0_t292,q,292,a
q0_t293,q,293,a
q0_t294,q,294,a
q0_t295,q,295,a
q0_t296,q,296,a
q0_t297,q,297,a
q0_t298,q,298,a
q0_t299,q,299,a
q0_t300,q,300,a
q0_t301,q,301,a
q0_t302,q,302,a
q0_t303,q,303,a
q0_t304,q,304,a
q0_t305,q,305,a
q0_t306,q,306,a
q0_t307,q,307,a
q0_t308,q,308,a
q0_t309,q,309,a
q0_t310,q,310,a
q0_t311,q,311,a
q0_t312,q,312,a
q0_t313,q,313,a
q0_t314,q,314,a
q0_t315,q,315,a
q0_t316,q,316,a
q0_t317,q,317,a
q0_t318,q,318,a
q0_t319,q,319,a
q0_t320,q,320,a
q0_t321,q,321,a
q0_t322,q,322,a
q0_t323,q,323,a
q0_t324,q,324,a
q0_t325,q,325,a
q0_t326,q,326,a
q0_t327,q,327,a
q0_t328,q,328,a
q0_t329,q,329,a
q0_t330,q,330,a
q0_t331,q,331,a
q0_t332,q,332,a
q0_t333,q,333,a
q0_t334,q,334,a
q0_t335,q,335,a
q0_t336,q,336,a
q0_t337,q,337,a
q0_t338,q,338,a
q0_t339,q,339,a
q0_t340,q,340,a
q0_t341,q,341,a
q0_t342,q,342,a
q0_t343,q,343,a
q0_t344,q,344,a
q0_t345,q,345,a
q0_t346,q,346,a
q0_t347,q,347,a
q0_t348,q,348,a
q0_t349,q,349,a
q0_t350,q,350,a
q0_t351,q,351,a
q0_t352,q,352,a
q0_t353,q,353,a
q0_t354,q,354,a
q0_t355,q,355,a
q0_t356,q,356,a
q0_t357,q,357,a
q0_t358,q,358,a
q0_t359,q,359,a
q0_t360,q,360,a
q0_t361,q,361,a
q0_t362,q,362,a
q0_t363,q,363,a
q0_t364,q,364,a
q0_t365,q,365,a
q0_t366,q,366,a
q0_t367,q,367,a
q0_t368,q,368,a
q0_t369,q,369,a
q0_t370,q,370,a
q0_t371,q,371,a
q0_t372,q,372,a
q0_t373,q,373,a
q0_t374,q,374,a
q0_t375,q,375,a
q0_t376,q,376,a
q0_t377,q,377,a
q0_t378,q,378,a
q0_t379,q,379,a
q0_t380,q,380,a
q0_t381,q,381,a
q0_t382,q,382,a
q0_t383,q,383,a
q0_t384,q,384,a
q0_t385,q,385,a
q0_t386,q,386,a
q0_t387,q,387,a
q0_t397,q,397,a
q0_t398,q,398,a
q0_t399,q,399,a
q0_t400,q,400,a
q0_t487,q,487,a
q0_t488,q,488,a
q0_t489,q,489,a
q0_t490,q,490,a
q0_t491,q,491,a
q0_t492,q,492,a
q0_t493,q,493,a
q0_t494,q,494,a
q0_t495,q,495,a
q0_t496,q,496,a
q0_t497,q,497,a
q0_t498,q,498,a
q0_t499,q,499,a
q0_t500,q,500,a
q0_t501,q,501,a
q0_t502,q,502,a
q0_t503,q,503,a
q0_t504,q,504,a
q0_t505,q,505,a
q0_t506,q,506,a
q0_t507,q,507,a
q0_t508,q,508,a
q0_t509,q,509,a
q0_t510,q,510,a
q0_t511,q,511,a
q0_t512,q,512,a
q0_t513,q,513,a
q0_t514,q,514,a
q0_t515,q,515,a
q0_t516,q,516,a
q0_t517,q,517,a
q0_t518,q,518,a
q0_t519,q,519,a
q0_t520,q,520,a
q0_t521,q,521,a
q0_t522,q,522,a
q0_t523,q,523,a
q0_t524,q,524,a
q0_t525,q,525,a
q0_t526,q,526,a
q0_t527,q,527,a
q0_t528,q,528,a
q0_t529,q,529,a
q0_t530,q,530,a
q0_t531,q,531,a
q0_t532,q,532,a
q0_t533,q,533,a
q0_t534,q,534,a
q0_t535,q,535,a
q0_t536,q,536,a
q0_t537,q,537,a
q0_t538,q,538,a
q0_t539,q,539,a
q0_t540,q,540,a
q0_t541,q,541,a
q0_t542,q,542,a
q0_t543,q,543,a
q0_t544,q,544,a
q0_t545,q,545,a
q0_t546,q,546,a
q0_t547,q,547,a
q0_t548,q,548,a
q0_t549,q,549,a
q0_t550,q,550,a
q0_t551,q,551,a
q0_t552,q,552,a
q0_t553,q,553,a
q0_t554,q,554,a
q0_t555,q,555,a
q0_t556,q,556,a
q0_t557,q,557,a
q0_t558,q,558,a
q0_t559,q,559,a
q0_t560,q,560,a
q0_t561,q,561,a
q0_t562,q,562,a
q0_t563,q,563,a
q0_t564,q,564,a
q0_t565,q,565,a
q0_t566,q,566,a
q0_t567,q,567,a
q0_t568,q,568,a
q0_t569,q,569,a
q0_t570,q,570,a
q0_t571,q,571,a
q0_t572,q,572,a
q0_t573,q,573,a
q0_t574,q,574,a
q0_t575,q,575,a
q0_t576,q,576,a
q0_t577,q,577,a
q0_t578,q,578,a
q0_t579,q,579,a
q0_t580,q,580,a
q0_t581,q,581,a
q0_t582,q,582,a
q0_t583,q,583,a
q0_t584,q,584,a
