edge_index,node_id
0,c0_t92
0,q0_t91
1,c1_t95
1,q1_t94
2,c2_t98
2,q2_t97
3,c3_t101
3,q3_t100
4,c4_t104
4,q4_t103
5,c5_t107
5,q5_t106
6,c6_t110
6,q6_t109
7,c7_t113
7,q7_t112
8,c8_t116
8,q8_t115
9,c9_t116
9,q9_t115
10,q0_t0
10,q0_t1
11,q0_t1
11,q0_t2
12,q0_t10
12,q0_t11
13,q0_t10
13,q0_t9
14,q0_t11
14,q0_t12
14,q4_t11
14,q4_t12
15,q0_t12
15,q0_t13
16,q0_t13
16,q0_t14
17,q0_t14
17,q0_t15
17,q5_t14
17,q5_t15
18,q0_t15
18,q0_t16
19,q0_t16
19,q0_t17
20,q0_t17
20,q0_t18
20,q6_t17
20,q6_t18
21,q0_t18
21,q0_t19
22,q0_t19
22,q0_t20
23,q0_t2
23,q0_t3
23,q1_t2
23,q1_t3
24,q0_t20
24,q0_t21
24,q7_t20
24,q7_t21
25,q0_t21
25,q0_t22
26,q0_t22
26,q0_t23
27,q0_t23
27,q0_t24
27,q8_t23
27,q8_t24
28,q0_t24
28,q0_t25
29,q0_t25
29,q0_t26
30,q0_t26
30,q0_t27
30,q9_t26
30,q9_t27
31,q0_t27
31,q0_t28
32,q0_t28
32,q0_t29
33,q0_t29
33,q0_t33
34,q0_t3
34,q0_t4
35,q0_t33
35,q0_t34
35,q1_t33
35,q1_t34
36,q0_t34
36,q0_t35
37,q0_t35
37,q0_t36
38,q0_t36
38,q0_t37
38,q2_t36
38,q2_t37
39,q0_t37
39,q0_t38
40,q0_t38
40,q0_t39
41,q0_t39
41,q0_t40
41,q3_t39
41,q3_t40
42,q0_t4
42,q0_t5
43,q0_t40
43,q0_t41
44,q0_t41
44,q0_t42
45,q0_t42
45,q0_t43
45,q4_t42
45,q4_t43
46,q0_t43
46,q0_t44
47,q0_t44
47,q0_t45
48,q0_t45
48,q0_t46
48,q5_t45
48,q5_t46
49,q0_t46
49,q0_t47
50,q0_t47
50,q0_t48
51,q0_t48
51,q0_t49
51,q6_t48
51,q6_t49
52,q0_t49
52,q0_t50
53,q0_t5
53,q0_t6
53,q2_t5
53,q2_t6
54,q0_t50
54,q0_t51
55,q0_t51
55,q0_t52
55,q7_t51
55,q7_t52
56,q0_t52
56,q0_t53
57,q0_t53
57,q0_t54
58,q0_t54
58,q0_t55
58,q8_t54
58,q8_t55
59,q0_t55
59,q0_t56
60,q0_t56
60,q0_t57
61,q0_t57
61,q0_t58
61,q9_t57
61,q9_t58
62,q0_t58
62,q0_t59
63,q0_t59
63,q0_t60
64,q0_t6
64,q0_t7
65,q0_t60
65,q0_t64
66,q0_t64
66,q0_t65
66,q1_t64
66,q1_t65
67,q0_t65
67,q0_t66
68,q0_t66
68,q0_t67
69,q0_t67
69,q0_t68
69,q2_t67
69,q2_t68
70,q0_t68
70,q0_t69
71,q0_t69
71,q0_t70
72,q0_t7
72,q0_t8
73,q0_t70
73,q0_t71
73,q3_t70
73,q3_t71
74,q0_t71
74,q0_t72
75,q0_t72
75,q0_t73
76,q0_t73
76,q0_t74
76,q4_t73
76,q4_t74
77,q0_t74
77,q0_t75
78,q0_t75
78,q0_t76
79,q0_t76
79,q0_t77
79,q5_t76
79,q5_t77
80,q0_t77
80,q0_t78
81,q0_t78
81,q0_t79
82,q0_t79
82,q0_t80
82,q6_t79
82,q6_t80
83,q0_t8
83,q0_t9
83,q3_t8
83,q3_t9
84,q0_t80
84,q0_t81
85,q0_t81
85,q0_t82
86,q0_t82
86,q0_t83
86,q7_t82
86,q7_t83
87,q0_t83
87,q0_t84
88,q0_t84
88,q0_t85
89,q0_t85
89,q0_t86
89,q8_t85
89,q8_t86
90,q0_t86
90,q0_t87
91,q0_t87
91,q0_t88
92,q0_t88
92,q0_t89
92,q9_t88
92,q9_t89
93,q0_t89
93,q0_t90
94,q0_t90
94,q0_t91
95,q1_t0
95,q1_t1
96,q1_t1
96,q1_t2
97,q1_t10
97,q1_t11
98,q1_t10
98,q1_t9
99,q1_t11
99,q1_t12
99,q3_t11
99,q3_t12
100,q1_t12
100,q1_t13
101,q1_t13
101,q1_t14
102,q1_t14
102,q1_t15
102,q4_t14
102,q4_t15
103,q1_t15
103,q1_t16
104,q1_t16
104,q1_t17
105,q1_t17
105,q1_t18
105,q5_t17
105,q5_t18
106,q1_t18
106,q1_t19
107,q1_t19
107,q1_t20
108,q1_t20
108,q1_t21
108,q6_t20
108,q6_t21
109,q1_t21
109,q1_t22
110,q1_t22
110,q1_t23
111,q1_t23
111,q1_t24
111,q7_t23
111,q7_t24
112,q1_t24
112,q1_t25
113,q1_t25
113,q1_t26
114,q1_t26
114,q1_t27
114,q8_t26
114,q8_t27
115,q1_t27
115,q1_t28
116,q1_t28
116,q1_t29
117,q1_t29
117,q1_t30
117,q9_t29
117,q9_t30
118,q1_t3
118,q1_t4
119,q1_t30
119,q1_t31
120,q1_t31
120,q1_t32
121,q1_t32
121,q1_t33
122,q1_t34
122,q1_t35
123,q1_t35
123,q1_t39
124,q1_t39
124,q1_t40
124,q2_t39
124,q2_t40
125,q1_t4
125,q1_t8
126,q1_t40
126,q1_t41
127,q1_t41
127,q1_t42
128,q1_t42
128,q1_t43
128,q3_t42
128,q3_t43
129,q1_t43
129,q1_t44
130,q1_t44
130,q1_t45
131,q1_t45
131,q1_t46
131,q4_t45
131,q4_t46
132,q1_t46
132,q1_t47
133,q1_t47
133,q1_t48
134,q1_t48
134,q1_t49
134,q5_t48
134,q5_t49
135,q1_t49
135,q1_t50
136,q1_t50
136,q1_t51
137,q1_t51
137,q1_t52
137,q6_t51
137,q6_t52
138,q1_t52
138,q1_t53
139,q1_t53
139,q1_t54
140,q1_t54
140,q1_t55
140,q7_t54
140,q7_t55
141,q1_t55
141,q1_t56
142,q1_t56
142,q1_t57
143,q1_t57
143,q1_t58
