node_id,type,time,realisation
c0_t29,c,29,a
c1_t32,c,32,a
c2_t32,c,32,a
q0_t0,q,0,a
q0_t1,q,1,a
q0_t12,q,12,a
q0_t13,q,13,a
q0_t14,q,14,a
q0_t15,q,15,a
q0_t16,q,16,a
q0_t17,q,17,a
q0_t18,q,18,a
q0_t2,q,2,a
q0_t22,q,22,a
q0_t23,q,23,a
q0_t24,q,24,a
q0_t25,q,25,a
q0_t26,q,26,a
q0_t27,q,27,a
q0_t28,q,28,a
q0_t3,q,3,a
q0_t4,q,4,a
q0_t5,q,5,a
q0_t6,q,6,a
q0_t7,q,7,a
q0_t8,q,8,a
q1_t0,q,0,a
q1_t1,q,1,a
q1_t10,q,10,a
q1_t11,q,11,a
q1_t12,q,12,a
q1_t13,q,13,a
q1_t14,q,14,a
q1_t18,q,18,a
q1_t19,q,19,a
q1_t2,q,2,a
q1_t20,q,20,a
q1_t21,q,21,a
q1_t22,q,22,a
q1_t23,q,23,a
q1_t24,q,24,a
q1_t28,q,28,a
q1_t29,q,29,a
q1_t3,q,3,a
q1_t30,q,30,a
q1_t31,q,31,a
q1_t4,q,4,a
q1_t8,q,8,a
q1_t9,q,9,a
q2_t0,q,0,a
q2_t1,q,1,a
q2_t10,q,10,a
q2_t11,q,11,a
q2_t15,q,15,a
q2_t16,q,16,a
q2_t17,q,17,a
q2_t18,q,18,a
q2_t19,q,19,a
q2_t20,q,20,a
q2_t21,q,21,a
q2_t25,q,25,a
q2_t26,q,26,a
q2_t27,q,27,a
q2_t28,q,28,a
q2_t29,q,29,a
q2_t30,q,30,a
q2_t31,q,31,a
q2_t5,q,5,a
q2_t6,q,6,a
q2_t7,q,7,a
q2_t8,q,8,a
q2_t9,q,9,a
