edge_index,node_id
0,c0_t83
0,q0_t82
1,c1_t86
1,q1_t85
2,c2_t89
2,q2_t88
3,c3_t92
3,q3_t91
4,c4_t95
4,q4_t94
5,c5_t98
5,q5_t97
6,c6_t101
6,q6_t100
7,c7_t104
7,q7_t103
8,c8_t104
8,q8_t103
9,q0_t0
9,q0_t1
10,q0_t1
10,q0_t2
11,q0_t10
11,q0_t11
12,q0_t10
12,q0_t9
13,q0_t11
13,q0_t12
13,q4_t11
13,q4_t12
14,q0_t12
14,q0_t13
15,q0_t13
15,q0_t14
16,q0_t14
16,q0_t15
16,q5_t14
16,q5_t15
17,q0_t15
17,q0_t16
18,q0_t16
18,q0_t17
19,q0_t17
19,q0_t18
19,q6_t17
19,q6_t18
20,q0_t18
20,q0_t19
21,q0_t19
21,q0_t20
22,q0_t2
22,q0_t3
22,q1_t2
22,q1_t3
23,q0_t20
23,q0_t21
23,q7_t20
23,q7_t21
24,q0_t21
24,q0_t22
25,q0_t22
25,q0_t23
26,q0_t23
26,q0_t24
26,q8_t23
26,q8_t24
27,q0_t24
27,q0_t25
28,q0_t25
28,q0_t26
29,q0_t26
29,q0_t30
30,q0_t3
30,q0_t4
31,q0_t30
31,q0_t31
31,q1_t30
31,q1_t31
32,q0_t31
32,q0_t32
33,q0_t32
33,q0_t33
34,q0_t33
34,q0_t34
34,q2_t33
34,q2_t34
35,q0_t34
35,q0_t35
36,q0_t35
36,q0_t36
37,q0_t36
37,q0_t37
37,q3_t36
37,q3_t37
38,q0_t37
38,q0_t38
39,q0_t38
39,q0_t39
40,q0_t39
40,q0_t40
40,q4_t39
40,q4_t40
41,q0_t4
41,q0_t5
42,q0_t40
42,q0_t41
43,q0_t41
43,q0_t42
44,q0_t42
44,q0_t43
44,q5_t42
44,q5_t43
45,q0_t43
45,q0_t44
46,q0_t44
46,q0_t45
47,q0_t45
47,q0_t46
47,q6_t45
47,q6_t46
48,q0_t46
48,q0_t47
49,q0_t47
49,q0_t48
50,q0_t48
50,q0_t49
50,q7_t48
50,q7_t49
51,q0_t49
51,q0_t50
52,q0_t5
52,q0_t6
52,q2_t5
52,q2_t6
53,q0_t50
53,q0_t51
54,q0_t51
54,q0_t52
54,q8_t51
54,q8_t52
55,q0_t52
55,q0_t53
56,q0_t53
56,q0_t54
57,q0_t54
57,q0_t58
58,q0_t58
58,q0_t59
58,q1_t58
58,q1_t59
59,q0_t59
59,q0_t60
60,q0_t6
60,q0_t7
61,q0_t60
61,q0_t61
62,q0_t61
62,q0_t62
62,q2_t61
62,q2_t62
63,q0_t62
63,q0_t63
64,q0_t63
64,q0_t64
65,q0_t64
65,q0_t65
65,q3_t64
65,q3_t65
66,q0_t65
66,q0_t66
67,q0_t66
67,q0_t67
68,q0_t67
68,q0_t68
68,q4_t67
68,q4_t68
69,q0_t68
69,q0_t69
70,q0_t69
70,q0_t70
71,q0_t7
71,q0_t8
72,q0_t70
72,q0_t71
72,q5_t70
72,q5_t71
73,q0_t71
73,q0_t72
74,q0_t72
74,q0_t73
75,q0_t73
75,q0_t74
75,q6_t73
75,q6_t74
76,q0_t74
76,q0_t75
77,q0_t75
77,q0_t76
78,q0_t76
78,q0_t77
78,q7_t76
78,q7_t77
79,q0_t77
79,q0_t78
80,q0_t78
80,q0_t79
81,q0_t79
81,q0_t80
81,q8_t79
81,q8_t80
82,q0_t8
82,q0_t9
82,q3_t8
82,q3_t9
83,q0_t80
83,q0_t81
84,q0_t81
84,q0_t82
85,q1_t0
85,q1_t1
86,q1_t1
86,q1_t2
87,q1_t10
87,q1_t11
88,q1_t10
88,q1_t9
89,q1_t11
89,q1_t12
89,q3_t11
89,q3_t12
90,q1_t12
90,q1_t13
91,q1_t13
91,q1_t14
92,q1_t14
92,q1_t15
92,q4_t14
92,q4_t15
93,q1_t15
93,q1_t16
94,q1_t16
94,q1_t17
95,q1_t17
95,q1_t18
95,q5_t17
95,q5_t18
96,q1_t18
96,q1_t19
97,q1_t19
97,q1_t20
98,q1_t20
98,q1_t21
98,q6_t20
98,q6_t21
99,q1_t21
99,q1_t22
100,q1_t22
100,q1_t23
101,q1_t23
101,q1_t24
101,q7_t23
101,q7_t24
102,q1_t24
102,q1_t25
103,q1_t25
103,q1_t26
104,q1_t26
104,q1_t27
104,q8_t26
104,q8_t27
105,q1_t27
105,q1_t28
106,q1_t28
106,q1_t29
107,q1_t29
107,q1_t30
108,q1_t3
108,q1_t4
109,q1_t31
109,q1_t32
110,q1_t32
110,q1_t36
111,q1_t36
111,q1_t37
111,q2_t36
111,q2_t37
112,q1_t37
112,q1_t38
113,q1_t38
113,q1_t39
114,q1_t39
114,q1_t40
114,q3_t39
114,q3_t40
115,q1_t4
115,q1_t8
116,q1_t40
116,q1_t41
117,q1_t41
117,q1_t42
118,q1_t42
118,q1_t43
118,q4_t42
118,q4_t43
119,q1_t43
119,q1_t44
120,q1_t44
120,q1_t45
121,q1_t45
121,q1_t46
121,q5_t45
121,q5_t46
122,q1_t46
122,q1_t47
