edge_index,node_id
0,c0_t2317
0,q0_t2316
1,c10_t2291
1,q10_t2290
2,c11_t2317
2,q11_t2316
3,c12_t2314
3,q12_t2313
4,c13_t2311
4,q13_t2310
5,c14_t2307
5,q14_t2306
6,c15_t2304
6,q15_t2303
7,c16_t2301
7,q16_t2300
8,c17_t2297
8,q17_t2296
9,c18_t2294
9,q18_t2293
10,c1_t2314
10,q1_t2313
11,c2_t2311
11,q2_t2310
12,c3_t2307
12,q3_t2306
13,c4_t2304
13,q4_t2303
14,c5_t2301
14,q5_t2300
15,c6_t2297
15,q6_t2296
16,c7_t2294
16,q7_t2293
17,c8_t2291
17,q8_t2290
18,c9_t2286
18,q9_t2285
19,q0_t0
19,q0_t1
20,q0_t1
20,q0_t1011
21,q0_t1011
21,q0_t1012
21,q1_t1011
21,q1_t1012
22,q0_t1012
22,q0_t1013
23,q0_t1013
23,q0_t1014
24,q0_t1014
24,q0_t1015
25,q0_t1015
25,q0_t1016
25,q2_t1015
25,q2_t1016
26,q0_t1016
26,q0_t1017
27,q0_t1017
27,q0_t1018
28,q0_t1018
28,q0_t1019
29,q0_t1019
29,q0_t1020
29,q1_t1019
29,q1_t1020
30,q0_t1020
30,q0_t1021
31,q0_t1021
31,q0_t1022
32,q0_t1022
32,q0_t1023
33,q0_t1023
33,q0_t1024
33,q3_t1023
33,q3_t1024
34,q0_t1024
34,q0_t1025
35,q0_t1025
35,q0_t1026
36,q0_t1026
36,q0_t1027
37,q0_t1027
37,q0_t1028
37,q1_t1027
37,q1_t1028
38,q0_t1028
38,q0_t1029
39,q0_t1029
39,q0_t1030
40,q0_t1030
40,q0_t1031
41,q0_t1031
41,q0_t1032
41,q2_t1031
41,q2_t1032
42,q0_t1032
42,q0_t1033
43,q0_t1033
43,q0_t1034
44,q0_t1034
44,q0_t1035
45,q0_t1035
45,q0_t1036
45,q1_t1035
45,q1_t1036
46,q0_t1036
46,q0_t1037
47,q0_t1037
47,q0_t1038
48,q0_t1038
48,q0_t1039
49,q0_t1039
49,q0_t1040
49,q4_t1039
49,q4_t1040
50,q0_t1040
50,q0_t1041
51,q0_t1041
51,q0_t1042
52,q0_t1042
52,q0_t1043
53,q0_t1043
53,q0_t1044
53,q1_t1043
53,q1_t1044
54,q0_t1044
54,q0_t1045
55,q0_t1045
55,q0_t1046
56,q0_t1046
56,q0_t1047
57,q0_t1047
57,q0_t1048
57,q2_t1047
57,q2_t1048
58,q0_t1048
58,q0_t1049
59,q0_t1049
59,q0_t1050
60,q0_t1050
60,q0_t1051
