edge_index,type,realisation,gate_name,role,edge_args,edge_metadata
0,c,a,measure,,,
1,c,a,measure,,,
2,c,a,measure,,,
3,c,a,measure,,,
4,c,a,measure,,,
5,c,a,measure,,,
6,c,a,measure,,,
7,c,a,measure,,,
8,c,a,measure,,,
9,q,a,ry,,"[[[0, 1]], [], [true]]",
10,q,a,cx_stage1,,"[[[1, 26], [0, 26]], [], [true, true]]",
11,q,a,ccx_stage3,,"[[[5, 101], [0, 101], [4, 101]], [], [true, true, true]]",
12,q,a,ccx_stage2,,"[[[5, 101], [0, 101], [4, 101]], [], [true, true, true]]",
13,q,a,cx_stage1,,"[[[0, 104], [6, 104]], [], [true, true]]",
14,q,a,cx_stage2,,"[[[0, 104], [6, 104]], [], [true, true]]",
15,q,a,cx_stage3,,"[[[0, 104], [6, 104]], [], [true, true]]",
16,q,a,cx_stage1,,"[[[0, 181], [6, 181]], [], [true, true]]",
17,q,a,cx_stage2,,"[[[0, 181], [6, 181]], [], [true, true]]",
18,q,a,cx_stage3,,"[[[0, 181], [6, 181]], [], [true, true]]",
19,q,a,cx_stage2,,"[[[1, 26], [0, 26]], [], [true, true]]",
20,q,a,cx_stage3,,"[[[1, 26], [0, 26]], [], [true, true]]",
21,q,a,ry,,"[[[0, 27]], [], [true]]",
22,q,a,cx_stage1,,"[[[2, 30], [0, 30]], [], [true, true]]",
23,q,a,cx_stage2,,"[[[2, 30], [0, 30]], [], [true, true]]",
24,q,a,cx_stage3,,"[[[2, 30], [0, 30]], [], [true, true]]",
25,q,a,ry,,"[[[0, 31]], [], [true]]",
26,q,a,cx_stage1,,"[[[1, 34], [0, 34]], [], [true, true]]",
27,q,a,cx_stage2,,"[[[1, 34], [0, 34]], [], [true, true]]",
28,q,a,cx_stage3,,"[[[1, 34], [0, 34]], [], [true, true]]",
29,q,a,ry,,"[[[0, 35]], [], [true]]",
30,q,a,cx_stage1,,"[[[3, 38], [0, 38]], [], [true, true]]",
31,q,a,cx_stage2,,"[[[3, 38], [0, 38]], [], [true, true]]",
32,q,a,cx_stage3,,"[[[3, 38], [0, 38]], [], [true, true]]",
33,q,a,ry,,"[[[0, 39]], [], [true]]",
34,q,a,cx_stage1,,"[[[1, 42], [0, 42]], [], [true, true]]",
35,q,a,cx_stage2,,"[[[1, 42], [0, 42]], [], [true, true]]",
36,q,a,cx_stage3,,"[[[1, 42], [0, 42]], [], [true, true]]",
37,q,a,ry,,"[[[0, 43]], [], [true]]",
38,q,a,cx_stage1,,"[[[2, 46], [0, 46]], [], [true, true]]",
39,q,a,cx_stage2,,"[[[2, 46], [0, 46]], [], [true, true]]",
