edge_index,node_id
0,c0_t16
0,q0_t15
1,c1_t16
1,q1_t15
2,c2_t22
2,q2_t21
3,c3_t22
3,q3_t21
4,c4_t25
4,q4_t24
5,c5_t19
5,q5_t18
6,c6_t19
6,q6_t18
7,c7_t22
7,q7_t21
8,c8_t25
8,q8_t24
9,c9_t22
9,q9_t21
10,q0_t0
10,q0_t1
11,q0_t1
11,q0_t2
12,q0_t10
12,q0_t11
13,q0_t10
13,q0_t9
13,q1_t10
13,q1_t9
14,q0_t11
14,q0_t12
15,q0_t12
15,q0_t13
15,q6_t12
15,q6_t13
16,q0_t13
16,q0_t14
17,q0_t14
17,q0_t15
18,q0_t2
18,q0_t3
18,q1_t2
18,q1_t3
19,q0_t3
19,q0_t4
20,q0_t4
20,q0_t5
21,q0_t5
21,q0_t6
21,q6_t5
21,q6_t6
22,q0_t6
22,q0_t7
23,q0_t7
23,q0_t8
24,q0_t8
24,q0_t9
25,q1_t0
25,q1_t1
26,q1_t1
26,q1_t2
27,q1_t10
27,q1_t11
28,q1_t11
28,q1_t12
29,q1_t12
29,q1_t13
29,q3_t12
29,q3_t13
30,q1_t13
30,q1_t14
31,q1_t14
31,q1_t15
32,q1_t3
32,q1_t4
33,q1_t4
33,q1_t5
34,q1_t5
34,q1_t6
34,q3_t5
34,q3_t6
35,q1_t6
35,q1_t7
36,q1_t7
36,q1_t8
37,q1_t8
37,q1_t9
38,q2_t0
38,q2_t1
39,q2_t1
39,q2_t8
40,q2_t10
40,q2_t11
41,q2_t10
41,q2_t9
42,q2_t11
42,q2_t12
42,q8_t11
42,q8_t12
43,q2_t12
43,q2_t13
44,q2_t13
44,q2_t14
45,q2_t14
45,q2_t15
46,q2_t15
46,q2_t16
46,q6_t15
46,q6_t16
47,q2_t16
47,q2_t17
48,q2_t17
48,q2_t18
49,q2_t18
49,q2_t19
49,q8_t18
49,q8_t19
50,q2_t19
50,q2_t20
51,q2_t20
51,q2_t21
52,q2_t8
52,q2_t9
52,q6_t8
52,q6_t9
53,q3_t0
53,q3_t1
54,q3_t1
54,q3_t5
55,q3_t10
55,q3_t11
56,q3_t10
56,q3_t9
57,q3_t11
57,q3_t12
58,q3_t13
58,q3_t14
59,q3_t14
59,q3_t18
60,q3_t18
60,q3_t19
60,q4_t18
60,q4_t19
61,q3_t19
61,q3_t20
62,q3_t20
62,q3_t21
63,q3_t6
63,q3_t7
64,q3_t7
64,q3_t8
65,q3_t8
65,q3_t9
65,q4_t8
65,q4_t9
66,q4_t0
66,q4_t1
67,q4_t1
67,q4_t8
68,q4_t10
68,q4_t14
69,q4_t10
69,q4_t9
70,q4_t14
70,q4_t15
70,q8_t14
70,q8_t15
71,q4_t15
71,q4_t16
72,q4_t16
72,q4_t17
73,q4_t17
73,q4_t18
74,q4_t19
74,q4_t20
75,q4_t20
75,q4_t21
76,q4_t21
76,q4_t22
76,q8_t21
76,q8_t22
77,q4_t22
77,q4_t23
78,q4_t23
78,q4_t24
79,q5_t0
79,q5_t1
80,q5_t1
80,q5_t2
81,q5_t12
81,q5_t13
81,q7_t12
81,q7_t13
82,q5_t12
82,q5_t8
83,q5_t13
83,q5_t14
84,q5_t14
84,q5_t15
85,q5_t15
85,q5_t16
85,q9_t15
85,q9_t16
86,q5_t16
86,q5_t17
87,q5_t17
87,q5_t18
88,q5_t2
88,q5_t3
88,q7_t2
88,q7_t3
89,q5_t3
89,q5_t4
90,q5_t4
90,q5_t5
91,q5_t5
91,q5_t6
91,q9_t5
91,q9_t6
92,q5_t6
92,q5_t7
93,q5_t7
93,q5_t8
94,q6_t0
94,q6_t1
95,q6_t1
95,q6_t5
96,q6_t10
96,q6_t11
97,q6_t10
97,q6_t9
98,q6_t11
98,q6_t12
99,q6_t13
99,q6_t14
100,q6_t14
100,q6_t15
101,q6_t16
101,q6_t17
102,q6_t17
102,q6_t18
103,q6_t6
103,q6_t7
104,q6_t7
104,q6_t8
105,q7_t0
105,q7_t1
106,q7_t1
106,q7_t2
107,q7_t10
107,q7_t11
108,q7_t10
108,q7_t9
109,q7_t11
109,q7_t12
110,q7_t13
110,q7_t14
111,q7_t14
111,q7_t18
112,q7_t18
112,q7_t19
112,q9_t18
112,q9_t19
113,q7_t19
113,q7_t20
114,q7_t20
114,q7_t21
115,q7_t3
115,q7_t4
116,q7_t4
116,q7_t8
117,q7_t8
117,q7_t9
117,q9_t8
117,q9_t9
118,q8_t0
118,q8_t1
119,q8_t1
119,q8_t11
120,q8_t12
120,q8_t13
121,q8_t13
121,q8_t14
122,q8_t15
122,q8_t16
123,q8_t16
123,q8_t17
124,q8_t17
124,q8_t18
125,q8_t19
125,q8_t20
126,q8_t20
126,q8_t21
127,q8_t22
127,q8_t23
128,q8_t23
128,q8_t24
129,q9_t0
129,q9_t1
130,q9_t1
130,q9_t5
131,q9_t10
131,q9_t11
132,q9_t10
132,q9_t9
133,q9_t11
133,q9_t15
134,q9_t16
134,q9_t17
135,q9_t17
135,q9_t18
136,q9_t19
136,q9_t20
137,q9_t20
137,q9_t21
138,q9_t6
138,q9_t7
139,q9_t7
139,q9_t8
