edge_index,type,realisation,gate_name,role,edge_args,edge_metadata
0,c,a,measure,,,
1,c,a,measure,,,
2,c,a,measure,,,
3,c,a,measure,,,
4,c,a,measure,,,
5,c,a,measure,,,
6,c,a,measure,,,
7,c,a,measure,,,
8,c,a,measure,,,
9,c,a,measure,,,
10,c,a,measure,,,
11,c,a,measure,,,
12,c,a,measure,,,
13,q,a,h,,"[[[0, 1]], [], [true]]",
14,q,a,rzz_stage1,,"[[[0, 4], [8, 4]], [], [true, true]]",
15,q,a,rzz_stage3,,"[[[0, 11], [8, 11]], [], [true, true]]",
16,q,a,rzz_stage2,,"[[[0, 11], [8, 11]], [], [true, true]]",
17,q,a,rzz_stage1,,"[[[0, 14], [12, 14]], [], [true, true]]",
18,q,a,rzz_stage2,,"[[[0, 14], [12, 14]], [], [true, true]]",
19,q,a,rzz_stage3,,"[[[0, 14], [12, 14]], [], [true, true]]",
20,q,a,rx,,"[[[0, 15]], [], [true]]",
21,q,a,rzz_stage2,,"[[[0, 4], [8, 4]], [], [true, true]]",
22,q,a,rzz_stage3,,"[[[0, 4], [8, 4]], [], [true, true]]",
23,q,a,rzz_stage1,,"[[[0, 7], [12, 7]], [], [true, true]]",
24,q,a,rzz_stage2,,"[[[0, 7], [12, 7]], [], [true, true]]",
25,q,a,rzz_stage3,,"[[[0, 7], [12, 7]], [], [true, true]]",
26,q,a,rx,,"[[[0, 8]], [], [true]]",
27,q,a,rzz_stage1,,"[[[0, 11], [8, 11]], [], [true, true]]",
28,q,a,h,,"[[[10, 1]], [], [true]]",
29,q,a,rzz_stage1,,"[[[6, 10], [10, 10]], [], [true, true]]",
30,q,a,rzz_stage1,,"[[[10, 13], [11, 13]], [], [true, true]]",
31,q,a,rzz_stage3,,"[[[6, 10], [10, 10]], [], [true, true]]",
32,q,a,rzz_stage2,,"[[[10, 13], [11, 13]], [], [true, true]]",
33,q,a,rzz_stage3,,"[[[10, 13], [11, 13]], [], [true, true]]",
34,q,a,rx,,"[[[10, 14]], [], [true]]",
35,q,a,rzz_stage1,,"[[[6, 17], [10, 17]], [], [true, true]]",
36,q,a,rzz_stage2,,"[[[6, 17], [10, 17]], [], [true, true]]",
37,q,a,rzz_stage3,,"[[[6, 17], [10, 17]], [], [true, true]]",
38,q,a,rzz_stage1,,"[[[10, 20], [11, 20]], [], [true, true]]",
39,q,a,rzz_stage2,,"[[[10, 20], [11, 20]], [], [true, true]]",
40,q,a,rzz_stage3,,"[[[10, 20], [11, 20]], [], [true, true]]",
41,q,a,rx,,"[[[10, 21]], [], [true]]",
