edge_index,type,realisation,gate_name,role,edge_args,edge_metadata
0,c,a,measure,,,
1,c,a,measure,,,
2,c,a,measure,,,
3,c,a,measure,,,
4,c,a,measure,,,
5,c,a,measure,,,
6,c,a,measure,,,
7,c,a,measure,,,
8,c,a,measure,,,
9,c,a,measure,,,
10,c,a,measure,,,
11,c,a,measure,,,
12,c,a,measure,,,
13,c,a,measure,,,
14,c,a,measure,,,
15,c,a,measure,,,
16,c,a,measure,,,
17,c,a,measure,,,
18,q,a,cx_stage1,,"[[[1, 52], [0, 52]], [], [true, true]]",
19,q,a,cp_stage1,,"[[[2, 103], [0, 103]], [], [true, true]]",
20,q,a,cp_stage3,,"[[[3, 100], [0, 100]], [], [true, true]]",
21,q,a,cp_stage2,,"[[[2, 103], [0, 103]], [], [true, true]]",
22,q,a,cp_stage3,,"[[[2, 103], [0, 103]], [], [true, true]]",
23,q,a,cp_stage1,,"[[[1, 106], [0, 106]], [], [true, true]]",
24,q,a,cp_stage2,,"[[[1, 106], [0, 106]], [], [true, true]]",
25,q,a,cp_stage3,,"[[[1, 106], [0, 106]], [], [true, true]]",
26,q,a,h,,"[[[0, 107]], [], [true]]",
27,q,a,swap_stage1,,"[[[0, 110], [17, 110]], [], [true, true]]",
28,q,a,swap_stage2,,"[[[0, 110], [17, 110]], [], [true, true]]",
29,q,a,swap_stage3,,"[[[0, 110], [17, 110]], [], [true, true]]",
30,q,a,cx_stage2,,"[[[1, 52], [0, 52]], [], [true, true]]",
31,q,a,cx_stage3,,"[[[1, 52], [0, 52]], [], [true, true]]",
32,q,a,cp_stage1,,"[[[17, 58], [0, 58]], [], [true, true]]",
33,q,a,cp_stage2,,"[[[17, 58], [0, 58]], [], [true, true]]",
34,q,a,cp_stage3,,"[[[17, 58], [0, 58]], [], [true, true]]",
35,q,a,cp_stage1,,"[[[16, 61], [0, 61]], [], [true, true]]",
36,q,a,cp_stage2,,"[[[16, 61], [0, 61]], [], [true, true]]",
37,q,a,cp_stage3,,"[[[16, 61], [0, 61]], [], [true, true]]",
38,q,a,cp_stage1,,"[[[15, 64], [0, 64]], [], [true, true]]",
39,q,a,cp_stage2,,"[[[15, 64], [0, 64]], [], [true, true]]",
40,q,a,cp_stage3,,"[[[15, 64], [0, 64]], [], [true, true]]",
41,q,a,cp_stage1,,"[[[14, 67], [0, 67]], [], [true, true]]",
42,q,a,cp_stage2,,"[[[14, 67], [0, 67]], [], [true, true]]",
43,q,a,cp_stage3,,"[[[14, 67], [0, 67]], [], [true, true]]",
44,q,a,cp_stage1,,"[[[13, 70], [0, 70]], [], [true, true]]",
