edge_index,node_id
0,c0_t1589
0,q0_t1588
1,c10_t1562
1,q10_t1561
2,c11_t1559
2,q11_t1558
3,c12_t1556
3,q12_t1555
4,c13_t1553
4,q13_t1552
5,c14_t1550
5,q14_t1549
6,c15_t1547
6,q15_t1546
7,c16_t1544
7,q16_t1543
8,c17_t1541
8,q17_t1540
9,c18_t1538
9,q18_t1537
10,c19_t1535
10,q19_t1534
11,c1_t1589
11,q1_t1588
12,c20_t1532
12,q20_t1531
13,c21_t1529
13,q21_t1528
14,c22_t1526
14,q22_t1525
15,c23_t1523
15,q23_t1522
16,c24_t1520
16,q24_t1519
17,c25_t1517
17,q25_t1516
18,c26_t1514
18,q26_t1513
19,c27_t1511
19,q27_t1510
20,c28_t1508
20,q28_t1507
21,c29_t1505
21,q29_t1504
22,c2_t1586
22,q2_t1585
23,c30_t1502
23,q30_t1501
24,c31_t1499
24,q31_t1498
25,c32_t1496
25,q32_t1495
26,c33_t1493
26,q33_t1492
27,c34_t1490
27,q34_t1489
28,c35_t1487
28,q35_t1486
29,c36_t1484
29,q36_t1483
30,c37_t1481
30,q37_t1480
31,c38_t1478
31,q38_t1477
32,c39_t1475
32,q39_t1474
33,c3_t1583
33,q3_t1582
34,c40_t1472
34,q40_t1471
35,c41_t1469
35,q41_t1468
36,c42_t1466
36,q42_t1465
37,c43_t1463
37,q43_t1462
38,c44_t1460
38,q44_t1459
39,c45_t1457
39,q45_t1456
40,c46_t1454
40,q46_t1453
41,c47_t1451
41,q47_t1450
42,c48_t1448
42,q48_t1447
43,c49_t1445
43,q49_t1444
44,c4_t1580
44,q4_t1579
45,c50_t1442
45,q50_t1441
46,c51_t1439
46,q51_t1438
47,c52_t1436
47,q52_t1435
48,c53_t1433
48,q53_t1432
49,c54_t1430
49,q54_t1429
50,c55_t1427
50,q55_t1426
51,c56_t1424
51,q56_t1423
52,c57_t1421
52,q57_t1420
53,c58_t1418
53,q58_t1417
54,c59_t1415
54,q59_t1414
55,c5_t1577
55,q5_t1576
56,c60_t1412
56,q60_t1411
57,c61_t1409
57,q61_t1408
58,c62_t1406
58,q62_t1405
59,c63_t1403
59,q63_t1402
60,c64_t1400
60,q64_t1399
61,c65_t1397
61,q65_t1396
62,c66_t1394
62,q66_t1393
63,c6_t1574
63,q6_t1573
64,c7_t1571
64,q7_t1570
65,c8_t1568
65,q8_t1567
66,c9_t1565
66,q9_t1564
67,q0_t0
67,q0_t1
68,q0_t1
68,q0_t2
69,q0_t10
69,q0_t11
70,q0_t10
70,q0_t9
70,q2_t10
70,q2_t9
71,q0_t100
71,q0_t101
71,q15_t100
71,q15_t101
72,q0_t100
72,q0_t99
73,q0_t101
73,q0_t102
74,q0_t102
74,q0_t104
75,q0_t104
75,q0_t105
75,q15_t104
75,q15_t105
76,q0_t105
76,q0_t106
77,q0_t106
77,q0_t107
78,q0_t107
78,q0_t108
78,q16_t107
78,q16_t108
79,q0_t108
79,q0_t109
80,q0_t109
80,q0_t111
81,q0_t11
81,q0_t13
82,q0_t111
82,q0_t112
82,q16_t111
82,q16_t112
83,q0_t112
83,q0_t113
84,q0_t113
84,q0_t114
85,q0_t114
85,q0_t115
85,q17_t114
85,q17_t115
86,q0_t115
86,q0_t116
87,q0_t116
87,q0_t118
88,q0_t118
88,q0_t119
88,q17_t118
88,q17_t119
89,q0_t119
89,q0_t120
90,q0_t120
90,q0_t121
91,q0_t121
91,q0_t122
91,q18_t121
91,q18_t122
92,q0_t122
92,q0_t123
93,q0_t123
93,q0_t125
94,q0_t125
94,q0_t126
94,q18_t125
94,q18_t126
95,q0_t126
95,q0_t127
96,q0_t127
96,q0_t128
97,q0_t128
97,q0_t129
97,q19_t128
97,q19_t129
98,q0_t129
98,q0_t130
99,q0_t13
99,q0_t14
99,q2_t13
99,q2_t14
100,q0_t130
100,q0_t132
101,q0_t132
101,q0_t133
101,q19_t132
101,q19_t133
102,q0_t133
102,q0_t134
103,q0_t134
103,q0_t135
104,q0_t135
104,q0_t136
104,q20_t135
104,q20_t136
105,q0_t136
105,q0_t137
106,q0_t137
106,q0_t139
107,q0_t139
107,q0_t140
107,q20_t139
107,q20_t140
108,q0_t14
108,q0_t15
109,q0_t140
109,q0_t141
110,q0_t141
110,q0_t142
111,q0_t142
111,q0_t143
111,q21_t142
111,q21_t143
112,q0_t143
112,q0_t144
113,q0_t144
113,q0_t146
114,q0_t146
114,q0_t147
114,q21_t146
114,q21_t147
115,q0_t147
115,q0_t148
116,q0_t148
116,q0_t149
117,q0_t149
117,q0_t150
117,q22_t149
117,q22_t150
118,q0_t15
118,q0_t16
119,q0_t150
119,q0_t151
120,q0_t151
120,q0_t153
121,q0_t153
121,q0_t154
121,q22_t153
121,q22_t154
122,q0_t154
122,q0_t155
123,q0_t155
123,q0_t156
124,q0_t156
124,q0_t157
124,q23_t156
124,q23_t157
125,q0_t157
125,q0_t158
126,q0_t158
126,q0_t160
127,q0_t1585
127,q0_t1586
127,q1_t1585
127,q1_t1586
128,q0_t1585
128,q0_t934
129,q0_t1586
129,q0_t1587
130,q0_t1587
130,q0_t1588
131,q0_t16
131,q0_t17
131,q3_t16
131,q3_t17
132,q0_t160
132,q0_t161
132,q23_t160
132,q23_t161
133,q0_t161
133,q0_t162
134,q0_t162
134,q0_t163
135,q0_t163
135,q0_t164
135,q24_t163
135,q24_t164
136,q0_t164
136,q0_t165
137,q0_t165
137,q0_t167
138,q0_t167
138,q0_t168
138,q24_t167
138,q24_t168
139,q0_t168
139,q0_t169
140,q0_t169
140,q0_t170
141,q0_t17
141,q0_t18
142,q0_t170
142,q0_t171
142,q25_t170
142,q25_t171
143,q0_t171
143,q0_t172
144,q0_t172
144,q0_t174
145,q0_t174
145,q0_t175
145,q25_t174
145,q25_t175
146,q0_t175
146,q0_t176
147,q0_t176
147,q0_t177
148,q0_t177
148,q0_t178
148,q26_t177
148,q26_t178
149,q0_t178
149,q0_t179
150,q0_t179
150,q0_t181
151,q0_t18
151,q0_t20
152,q0_t181
152,q0_t182
152,q26_t181
152,q26_t182
153,q0_t182
153,q0_t183
154,q0_t183
154,q0_t184
155,q0_t184
155,q0_t185
155,q27_t184
155,q27_t185
156,q0_t185
156,q0_t186
157,q0_t186
157,q0_t188
158,q0_t188
158,q0_t189
158,q27_t188
158,q27_t189
159,q0_t189
159,q0_t190
160,q0_t190
160,q0_t191
161,q0_t191
161,q0_t192
161,q28_t191
161,q28_t192
162,q0_t192
162,q0_t193
163,q0_t193
163,q0_t195
164,q0_t195
164,q0_t196
164,q28_t195
164,q28_t196
165,q0_t196
165,q0_t197
166,q0_t197
166,q0_t198
167,q0_t198
167,q0_t199
167,q29_t198
167,q29_t199
168,q0_t199
168,q0_t200
169,q0_t2
169,q0_t3
169,q1_t2
169,q1_t3
170,q0_t20
170,q0_t21
170,q3_t20
170,q3_t21
171,q0_t200
171,q0_t202
172,q0_t202
172,q0_t203
172,q29_t202
172,q29_t203
173,q0_t203
173,q0_t204
174,q0_t204
174,q0_t205
175,q0_t205
175,q0_t206
175,q30_t205
175,q30_t206
176,q0_t206
176,q0_t207
177,q0_t207
177,q0_t209
178,q0_t209
178,q0_t210
178,q30_t209
178,q30_t210
179,q0_t21
179,q0_t22
180,q0_t210
180,q0_t211
181,q0_t211
181,q0_t212
182,q0_t212
182,q0_t213
182,q31_t212
182,q31_t213
183,q0_t213
183,q0_t214
184,q0_t214
184,q0_t216
185,q0_t216
185,q0_t217
185,q31_t216
185,q31_t217
186,q0_t217
186,q0_t218
187,q0_t218
187,q0_t219
188,q0_t219
188,q0_t220
188,q32_t219
188,q32_t220
