edge_index,node_id
0,c0_t159
0,q0_t158
1,c10_t189
1,q10_t188
2,c11_t192
2,q11_t191
3,c12_t195
3,q12_t194
4,c13_t198
4,q13_t197
5,c14_t201
5,q14_t200
6,c15_t204
6,q15_t203
7,c16_t207
7,q16_t206
8,c17_t210
8,q17_t209
9,c18_t213
9,q18_t212
10,c19_t216
10,q19_t215
11,c1_t162
11,q1_t161
12,c20_t219
12,q20_t218
13,c21_t222
13,q21_t221
14,c22_t225
14,q22_t224
15,c23_t228
15,q23_t227
16,c24_t231
16,q24_t230
17,c25_t232
17,q25_t231
18,c2_t165
18,q2_t164
19,c3_t168
19,q3_t167
20,c4_t171
20,q4_t170
21,c5_t174
21,q5_t173
22,c6_t177
22,q6_t176
23,c7_t180
23,q7_t179
24,c8_t183
24,q8_t182
25,c9_t186
25,q9_t185
26,q0_t0
26,q0_t1
27,q0_t1
27,q0_t2
28,q0_t100
28,q0_t101
29,q0_t100
29,q0_t99
29,q6_t100
29,q6_t99
30,q0_t101
30,q0_t102
31,q0_t102
31,q0_t103
31,q7_t102
31,q7_t103
32,q0_t103
32,q0_t104
33,q0_t104
33,q0_t105
34,q0_t105
34,q0_t106
34,q8_t105
34,q8_t106
35,q0_t106
35,q0_t107
36,q0_t107
36,q0_t108
37,q0_t108
37,q0_t109
37,q9_t108
37,q9_t109
38,q0_t109
38,q0_t110
39,q0_t110
39,q0_t111
40,q0_t111
40,q0_t112
40,q10_t111
40,q10_t112
41,q0_t112
41,q0_t113
42,q0_t113
42,q0_t114
43,q0_t114
43,q0_t115
43,q11_t114
43,q11_t115
44,q0_t115
44,q0_t116
45,q0_t116
45,q0_t117
46,q0_t117
46,q0_t118
46,q12_t117
46,q12_t118
47,q0_t118
47,q0_t119
48,q0_t119
48,q0_t120
49,q0_t120
49,q0_t121
49,q13_t120
49,q13_t121
50,q0_t121
50,q0_t122
51,q0_t122
51,q0_t123
52,q0_t123
52,q0_t124
52,q14_t123
52,q14_t124
53,q0_t124
53,q0_t125
54,q0_t125
54,q0_t126
55,q0_t126
55,q0_t127
55,q15_t126
55,q15_t127
56,q0_t127
56,q0_t128
57,q0_t128
57,q0_t129
58,q0_t129
58,q0_t130
58,q16_t129
58,q16_t130
59,q0_t130
59,q0_t131
60,q0_t131
60,q0_t132
61,q0_t132
61,q0_t133
61,q17_t132
61,q17_t133
62,q0_t133
62,q0_t134
63,q0_t134
63,q0_t135
64,q0_t135
64,q0_t136
64,q18_t135
64,q18_t136
65,q0_t136
65,q0_t137
66,q0_t137
66,q0_t138
67,q0_t138
67,q0_t139
67,q19_t138
67,q19_t139
68,q0_t139
68,q0_t140
69,q0_t140
69,q0_t141
70,q0_t141
70,q0_t142
70,q20_t141
70,q20_t142
71,q0_t142
71,q0_t143
72,q0_t143
72,q0_t144
73,q0_t144
73,q0_t145
73,q21_t144
73,q21_t145
74,q0_t145
74,q0_t146
75,q0_t146
75,q0_t147
76,q0_t147
76,q0_t148
76,q22_t147
76,q22_t148
77,q0_t148
77,q0_t149
78,q0_t149
78,q0_t150
79,q0_t150
79,q0_t151
79,q23_t150
79,q23_t151
80,q0_t151
80,q0_t152
81,q0_t152
81,q0_t153
82,q0_t153
82,q0_t154
82,q24_t153
82,q24_t154
83,q0_t154
83,q0_t155
84,q0_t155
84,q0_t156
85,q0_t156
85,q0_t157
85,q25_t156
85,q25_t157
86,q0_t157
86,q0_t158
87,q0_t2
87,q0_t3
87,q26_t2
87,q26_t3
88,q0_t3
88,q0_t4
89,q0_t4
89,q0_t80
90,q0_t80
90,q0_t81
90,q25_t80
90,q25_t81
91,q0_t81
91,q0_t82
92,q0_t82
92,q0_t83
93,q0_t83
93,q0_t84
94,q0_t84
94,q0_t85
94,q1_t84
94,q1_t85
95,q0_t85
95,q0_t86
96,q0_t86
96,q0_t87
97,q0_t87
97,q0_t88
97,q2_t87
97,q2_t88
98,q0_t88
98,q0_t89
99,q0_t89
99,q0_t90
100,q0_t90
100,q0_t91
100,q3_t90
100,q3_t91
101,q0_t91
101,q0_t92
102,q0_t92
102,q0_t93
103,q0_t93
103,q0_t94
103,q4_t93
103,q4_t94
104,q0_t94
104,q0_t95
105,q0_t95
105,q0_t96
106,q0_t96
106,q0_t97
106,q5_t96
106,q5_t97
107,q0_t97
107,q0_t98
108,q0_t98
108,q0_t99
109,q10_t0
109,q10_t1
110,q10_t1
110,q10_t32
111,q10_t111
111,q10_t52
112,q10_t112
112,q10_t113
113,q10_t113
113,q10_t114
114,q10_t114
114,q10_t115
114,q1_t114
114,q1_t115
115,q10_t115
115,q10_t116
116,q10_t116
116,q10_t117
117,q10_t117
117,q10_t118
117,q2_t117
117,q2_t118
118,q10_t118
118,q10_t119
119,q10_t119
119,q10_t120
120,q10_t120
120,q10_t121
120,q3_t120
120,q3_t121
121,q10_t121
121,q10_t122
122,q10_t122
122,q10_t123
123,q10_t123
123,q10_t124
123,q4_t123
123,q4_t124
124,q10_t124
124,q10_t125
125,q10_t125
125,q10_t126
126,q10_t126
126,q10_t127
126,q5_t126
126,q5_t127
127,q10_t127
127,q10_t128
128,q10_t128
128,q10_t129
129,q10_t129
129,q10_t130
129,q6_t129
129,q6_t130
130,q10_t130
130,q10_t131
131,q10_t131
131,q10_t132
132,q10_t132
132,q10_t133
132,q7_t132
132,q7_t133
133,q10_t133
133,q10_t134
134,q10_t134
134,q10_t135
135,q10_t135
135,q10_t136
135,q8_t135
135,q8_t136
136,q10_t136
136,q10_t137
137,q10_t137
137,q10_t138
138,q10_t138
138,q10_t139
138,q9_t138
138,q9_t139
139,q10_t139
139,q10_t140
140,q10_t140
140,q10_t141
141,q10_t141
141,q10_t144
142,q10_t144
142,q10_t145
142,q11_t144
142,q11_t145
143,q10_t145
143,q10_t146
144,q10_t146
144,q10_t147
145,q10_t147
145,q10_t148
145,q12_t147
145,q12_t148
146,q10_t148
146,q10_t149
147,q10_t149
147,q10_t150
148,q10_t150
148,q10_t151
148,q13_t150
148,q13_t151
149,q10_t151
149,q10_t152
150,q10_t152
150,q10_t153
151,q10_t153
151,q10_t154
151,q14_t153
151,q14_t154
152,q10_t154
152,q10_t155
153,q10_t155
153,q10_t156
154,q10_t156
154,q10_t157
154,q15_t156
154,q15_t157
155,q10_t157
155,q10_t158
156,q10_t158
156,q10_t159
157,q10_t159
157,q10_t160
157,q16_t159
157,q16_t160
158,q10_t160
158,q10_t161
159,q10_t161
159,q10_t162
160,q10_t162
160,q10_t163
160,q17_t162
160,q17_t163
161,q10_t163
161,q10_t164
162,q10_t164
162,q10_t165
163,q10_t165
163,q10_t166
163,q18_t165
163,q18_t166
164,q10_t166
164,q10_t167
165,q10_t167
165,q10_t168
166,q10_t168
166,q10_t169
166,q19_t168
166,q19_t169
167,q10_t169
167,q10_t170
168,q10_t170
168,q10_t171
169,q10_t171
169,q10_t172
169,q20_t171
169,q20_t172
170,q10_t172
170,q10_t173
171,q10_t173
171,q10_t174
172,q10_t174
172,q10_t175
172,q21_t174
172,q21_t175
173,q10_t175
173,q10_t176
174,q10_t176
174,q10_t177
175,q10_t177
175,q10_t178
175,q22_t177
175,q22_t178
176,q10_t178
176,q10_t179
177,q10_t179
177,q10_t180
178,q10_t180
178,q10_t181
178,q23_t180
178,q23_t181
179,q10_t181
179,q10_t182
180,q10_t182
180,q10_t183
181,q10_t183
181,q10_t184
181,q24_t183
181,q24_t184
182,q10_t184
182,q10_t185
183,q10_t185
183,q10_t186
184,q10_t186
184,q10_t187
184,q25_t186
184,q25_t187
185,q10_t187
185,q10_t188
186,q10_t32
186,q10_t33
186,q26_t32
186,q26_t33
187,q10_t33
187,q10_t34
188,q10_t34
188,q10_t50
189,q10_t50
189,q10_t51
189,q15_t50
189,q15_t51
190,q10_t51
190,q10_t52
191,q11_t0
191,q11_t1
192,q11_t1
192,q11_t35
193,q11_t114
193,q11_t49
194,q11_t115
194,q11_t116
195,q11_t116
195,q11_t117
196,q11_t117
196,q11_t118
196,q1_t117
196,q1_t118
197,q11_t118
197,q11_t119
198,q11_t119
198,q11_t120
199,q11_t120
199,q11_t121
199,q2_t120
199,q2_t121
200,q11_t121
200,q11_t122
201,q11_t122
201,q11_t123
202,q11_t123
202,q11_t124
202,q3_t123
202,q3_t124
203,q11_t124
203,q11_t125
