node_id,type,time,realisation
c0_t501,c,501,a
c10_t531,c,531,a
c11_t534,c,534,a
c12_t537,c,537,a
c13_t540,c,540,a
c14_t543,c,543,a
c15_t546,c,546,a
c16_t549,c,549,a
c17_t552,c,552,a
c18_t555,c,555,a
c19_t558,c,558,a
c1_t504,c,504,a
c20_t561,c,561,a
c21_t564,c,564,a
c22_t567,c,567,a
c23_t570,c,570,a
c24_t573,c,573,a
c25_t576,c,576,a
c26_t579,c,579,a
c27_t582,c,582,a
c28_t585,c,585,a
c29_t588,c,588,a
c2_t507,c,507,a
c30_t591,c,591,a
c31_t594,c,594,a
c32_t597,c,597,a
c33_t600,c,600,a
c34_t603,c,603,a
c35_t606,c,606,a
c36_t609,c,609,a
c37_t612,c,612,a
c38_t615,c,615,a
c39_t618,c,618,a
c3_t510,c,510,a
c40_t621,c,621,a
c41_t624,c,624,a
c42_t627,c,627,a
c43_t630,c,630,a
c44_t633,c,633,a
c45_t636,c,636,a
c46_t639,c,639,a
c47_t642,c,642,a
c48_t645,c,645,a
c49_t648,c,648,a
c4_t513,c,513,a
c50_t651,c,651,a
c51_t654,c,654,a
c52_t657,c,657,a
c53_t660,c,660,a
c54_t663,c,663,a
c55_t666,c,666,a
c56_t669,c,669,a
c57_t672,c,672,a
c58_t675,c,675,a
c59_t678,c,678,a
c5_t516,c,516,a
c60_t681,c,681,a
c61_t684,c,684,a
c62_t687,c,687,a
c63_t690,c,690,a
c64_t693,c,693,a
c65_t696,c,696,a
c66_t699,c,699,a
c67_t702,c,702,a
c68_t705,c,705,a
c69_t708,c,708,a
c6_t519,c,519,a
c70_t711,c,711,a
c71_t714,c,714,a
c72_t717,c,717,a
c73_t720,c,720,a
c74_t723,c,723,a
c75_t726,c,726,a
c76_t729,c,729,a
c77_t732,c,732,a
c78_t735,c,735,a
c79_t738,c,738,a
c7_t522,c,522,a
c80_t741,c,741,a
c81_t744,c,744,a
c82_t745,c,745,a
c8_t525,c,525,a
c9_t528,c,528,a
q0_t0,q,0,a
q0_t1,q,1,a
q0_t2,q,2,a
q0_t251,q,251,a
q0_t252,q,252,a
