node_id,type,time,realisation
c0_t33281,c,33281,a
c1_t34805,c,34805,a
c2_t35561,c,35561,a
c3_t35933,c,35933,a
c4_t36113,c,36113,a
c5_t36200,c,36200,a
c6_t36254,c,36254,a
c7_t36257,c,36257,a
c8_t36260,c,36260,a
c9_t36260,c,36260,a
q0_t0,q,0,a
q0_t1,q,1,a
q0_t10,q,10,a
q0_t100,q,100,a
q0_t1000,q,1000,a
q0_t1004,q,1004,a
q0_t1005,q,1005,a
q0_t1006,q,1006,a
q0_t1010,q,1010,a
q0_t1011,q,1011,a
q0_t1012,q,1012,a
q0_t1016,q,1016,a
q0_t1017,q,1017,a
q0_t1018,q,1018,a
q0_t1022,q,1022,a
q0_t1023,q,1023,a
q0_t1024,q,1024,a
q0_t1028,q,1028,a
q0_t1029,q,1029,a
q0_t1030,q,1030,a
q0_t1034,q,1034,a
q0_t1035,q,1035,a
q0_t1036,q,1036,a
q0_t104,q,104,a
q0_t1040,q,1040,a
q0_t1041,q,1041,a
q0_t1042,q,1042,a
q0_t1046,q,1046,a
q0_t1047,q,1047,a
q0_t1048,q,1048,a
q0_t105,q,105,a
q0_t1052,q,1052,a
q0_t1053,q,1053,a
q0_t1054,q,1054,a
q0_t1058,q,1058,a
q0_t1059,q,1059,a
q0_t106,q,106,a
q0_t1060,q,1060,a
q0_t1064,q,1064,a
q0_t1065,q,1065,a
q0_t1066,q,1066,a
q0_t1070,q,1070,a
q0_t1071,q,1071,a
q0_t1072,q,1072,a
q0_t1076,q,1076,a
q0_t1077,q,1077,a
q0_t1078,q,1078,a
q0_t1082,q,1082,a
q0_t1083,q,1083,a
q0_t1084,q,1084,a
q0_t1088,q,1088,a
q0_t1089,q,1089,a
q0_t1090,q,1090,a
q0_t1094,q,1094,a
q0_t1095,q,1095,a
q0_t1096,q,1096,a
q0_t110,q,110,a
q0_t1100,q,1100,a
q0_t1101,q,1101,a
q0_t1102,q,1102,a
q0_t1106,q,1106,a
q0_t1107,q,1107,a
q0_t1108,q,1108,a
q0_t111,q,111,a
q0_t1112,q,1112,a
q0_t1113,q,1113,a
q0_t1114,q,1114,a
q0_t1118,q,1118,a
q0_t1119,q,1119,a
q0_t112,q,112,a
q0_t1120,q,1120,a
q0_t1124,q,1124,a
q0_t1125,q,1125,a
q0_t1126,q,1126,a
q0_t1130,q,1130,a
q0_t1131,q,1131,a
q0_t1132,q,1132,a
q0_t1136,q,1136,a
q0_t1137,q,1137,a
q0_t1138,q,1138,a
q0_t1142,q,1142,a
q0_t1143,q,1143,a
q0_t1144,q,1144,a
q0_t1148,q,1148,a
q0_t1149,q,1149,a
q0_t1150,q,1150,a
q0_t1154,q,1154,a
q0_t1155,q,1155,a
q0_t1156,q,1156,a
q0_t116,q,116,a
q0_t1160,q,1160,a
q0_t1161,q,1161,a
q0_t1162,q,1162,a
q0_t1166,q,1166,a
q0_t1167,q,1167,a
q0_t1168,q,1168,a
q0_t117,q,117,a
q0_t1172,q,1172,a
q0_t1173,q,1173,a
q0_t1174,q,1174,a
q0_t1178,q,1178,a
q0_t1179,q,1179,a
q0_t118,q,118,a
q0_t1180,q,1180,a
q0_t1184,q,1184,a
q0_t1185,q,1185,a
q0_t1186,q,1186,a
q0_t1190,q,1190,a
q0_t1191,q,1191,a
q0_t1192,q,1192,a
q0_t1196,q,1196,a
q0_t1197,q,1197,a
q0_t1198,q,1198,a
q0_t1202,q,1202,a
q0_t1203,q,1203,a
q0_t1204,q,1204,a
q0_t1208,q,1208,a
q0_t12088,q,12088,a
q0_t12089,q,12089,a
q0_t1209,q,1209,a
q0_t12090,q,12090,a
q0_t12094,q,12094,a
q0_t12095,q,12095,a
q0_t12096,q,12096,a
q0_t1210,q,1210,a
q0_t12100,q,12100,a
q0_t12101,q,12101,a
q0_t12102,q,12102,a
q0_t12106,q,12106,a
q0_t12107,q,12107,a
q0_t12108,q,12108,a
q0_t12112,q,12112,a
q0_t12113,q,12113,a
q0_t12114,q,12114,a
q0_t12118,q,12118,a
q0_t12119,q,12119,a
q0_t12120,q,12120,a
q0_t12124,q,12124,a
q0_t12125,q,12125,a
q0_t12126,q,12126,a
q0_t12130,q,12130,a
q0_t12131,q,12131,a
q0_t12132,q,12132,a
q0_t12136,q,12136,a
q0_t12137,q,12137,a
q0_t12138,q,12138,a
q0_t1214,q,1214,a
q0_t12142,q,12142,a
q0_t12143,q,12143,a
q0_t12144,q,12144,a
q0_t12148,q,12148,a
q0_t12149,q,12149,a
q0_t1215,q,1215,a
q0_t12150,q,12150,a
q0_t12154,q,12154,a
q0_t12155,q,12155,a
q0_t12156,q,12156,a
q0_t1216,q,1216,a
q0_t12160,q,12160,a
q0_t12161,q,12161,a
q0_t12162,q,12162,a
q0_t12166,q,12166,a
q0_t12167,q,12167,a
q0_t12168,q,12168,a
q0_t12172,q,12172,a
q0_t12173,q,12173,a
q0_t12174,q,12174,a
q0_t12178,q,12178,a
q0_t12179,q,12179,a
q0_t12180,q,12180,a
q0_t12184,q,12184,a
q0_t12185,q,12185,a
q0_t12186,q,12186,a
q0_t12190,q,12190,a
q0_t12191,q,12191,a
q0_t12192,q,12192,a
q0_t12196,q,12196,a
q0_t12197,q,12197,a
q0_t12198,q,12198,a
q0_t122,q,122,a
q0_t1220,q,1220,a
q0_t12202,q,12202,a
q0_t12203,q,12203,a
q0_t12204,q,12204,a
q0_t12208,q,12208,a
q0_t12209,q,12209,a
q0_t1221,q,1221,a
q0_t12210,q,12210,a
q0_t12214,q,12214,a
q0_t12215,q,12215,a
q0_t12216,q,12216,a
q0_t1222,q,1222,a
q0_t12220,q,12220,a
q0_t12221,q,12221,a
q0_t12222,q,12222,a
q0_t12226,q,12226,a
q0_t12227,q,12227,a
q0_t12228,q,12228,a
q0_t12232,q,12232,a
q0_t12233,q,12233,a
q0_t12234,q,12234,a
q0_t12238,q,12238,a
q0_t12239,q,12239,a
q0_t12240,q,12240,a
q0_t12244,q,12244,a
q0_t12245,q,12245,a
q0_t12246,q,12246,a
q0_t12250,q,12250,a
q0_t12251,q,12251,a
q0_t12252,q,12252,a
q0_t12256,q,12256,a
q0_t12257,q,12257,a
q0_t12258,q,12258,a
q0_t1226,q,1226,a
q0_t12262,q,12262,a
q0_t12263,q,12263,a
q0_t12264,q,12264,a
q0_t12268,q,12268,a
q0_t12269,q,12269,a
q0_t1227,q,1227,a
q0_t12270,q,12270,a
q0_t12274,q,12274,a
q0_t12275,q,12275,a
q0_t12276,q,12276,a
q0_t1228,q,1228,a
q0_t12280,q,12280,a
q0_t12281,q,12281,a
q0_t12282,q,12282,a
q0_t12286,q,12286,a
q0_t12287,q,12287,a
q0_t12288,q,12288,a
q0_t12292,q,12292,a
q0_t12293,q,12293,a
q0_t12294,q,12294,a
q0_t12298,q,12298,a
q0_t12299,q,12299,a
q0_t123,q,123,a
q0_t12300,q,12300,a
q0_t12304,q,12304,a
q0_t12305,q,12305,a
q0_t12306,q,12306,a
q0_t12310,q,12310,a
q0_t12311,q,12311,a
q0_t12312,q,12312,a
q0_t12316,q,12316,a
q0_t12317,q,12317,a
q0_t12318,q,12318,a
q0_t1232,q,1232,a
q0_t12322,q,12322,a
q0_t12323,q,12323,a
q0_t12324,q,12324,a
q0_t12328,q,12328,a
q0_t12329,q,12329,a
q0_t1233,q,1233,a
q0_t12330,q,12330,a
q0_t12334,q,12334,a
q0_t12335,q,12335,a
q0_t12336,q,12336,a
q0_t1234,q,1234,a
q0_t12340,q,12340,a
q0_t12341,q,12341,a
q0_t12342,q,12342,a
q0_t12346,q,12346,a
q0_t12347,q,12347,a
q0_t12348,q,12348,a
q0_t12352,q,12352,a
q0_t12353,q,12353,a
q0_t12354,q,12354,a
q0_t12358,q,12358,a
q0_t12359,q,12359,a
q0_t12360,q,12360,a
q0_t12364,q,12364,a
q0_t12365,q,12365,a
q0_t12366,q,12366,a
q0_t12370,q,12370,a
q0_t12371,q,12371,a
q0_t12372,q,12372,a
q0_t12376,q,12376,a
q0_t12377,q,12377,a
q0_t12378,q,12378,a
q0_t1238,q,1238,a
q0_t12382,q,12382,a
q0_t12383,q,12383,a
q0_t12384,q,12384,a
q0_t12388,q,12388,a
q0_t12389,q,12389,a
q0_t1239,q,1239,a
q0_t12390,q,12390,a
q0_t12394,q,12394,a
q0_t12395,q,12395,a
q0_t12396,q,12396,a
q0_t124,q,124,a
q0_t1240,q,1240,a
q0_t12400,q,12400,a
q0_t12401,q,12401,a
q0_t12402,q,12402,a
q0_t12406,q,12406,a
q0_t12407,q,12407,a
q0_t12408,q,12408,a
q0_t12412,q,12412,a
q0_t12413,q,12413,a
q0_t12414,q,12414,a
q0_t12418,q,12418,a
q0_t12419,q,12419,a
q0_t12420,q,12420,a
q0_t12424,q,12424,a
q0_t12425,q,12425,a
q0_t12426,q,12426,a
q0_t12430,q,12430,a
q0_t12431,q,12431,a
q0_t12432,q,12432,a
q0_t12436,q,12436,a
q0_t12437,q,12437,a
q0_t12438,q,12438,a
q0_t1244,q,1244,a
q0_t12442,q,12442,a
q0_t12443,q,12443,a
q0_t12444,q,12444,a
q0_t12448,q,12448,a
q0_t12449,q,12449,a
q0_t1245,q,1245,a
q0_t12450,q,12450,a
q0_t12454,q,12454,a
q0_t12455,q,12455,a
q0_t12456,q,12456,a
q0_t1246,q,1246,a
q0_t12460,q,12460,a
q0_t12461,q,12461,a
q0_t12462,q,12462,a
q0_t12466,q,12466,a
q0_t12467,q,12467,a
q0_t12468,q,12468,a
q0_t12472,q,12472,a
q0_t12473,q,12473,a
q0_t12474,q,12474,a
q0_t12478,q,12478,a
q0_t12479,q,12479,a
q0_t12480,q,12480,a
q0_t12484,q,12484,a
q0_t12485,q,12485,a
q0_t12486,q,12486,a
q0_t12490,q,12490,a
q0_t12491,q,12491,a
q0_t12492,q,12492,a
q0_t12496,q,12496,a
q0_t12497,q,12497,a
q0_t12498,q,12498,a
q0_t1250,q,1250,a
q0_t12502,q,12502,a
q0_t12503,q,12503,a
q0_t12504,q,12504,a
q0_t12508,q,12508,a
q0_t12509,q,12509,a
q0_t1251,q,1251,a
q0_t12510,q,12510,a
q0_t12514,q,12514,a
q0_t12515,q,12515,a
q0_t12516,q,12516,a
q0_t1252,q,1252,a
q0_t12520,q,12520,a
q0_t12521,q,12521,a
q0_t12522,q,12522,a
q0_t12526,q,12526,a
q0_t12527,q,12527,a
q0_t12528,q,12528,a
q0_t12532,q,12532,a
q0_t12533,q,12533,a
q0_t12534,q,12534,a
q0_t12538,q,12538,a
q0_t12539,q,12539,a
q0_t12540,q,12540,a
q0_t12544,q,12544,a
q0_t12545,q,12545,a
q0_t12546,q,12546,a
q0_t12550,q,12550,a
q0_t12551,q,12551,a
q0_t12552,q,12552,a
q0_t12556,q,12556,a
q0_t12557,q,12557,a
q0_t12558,q,12558,a
q0_t1256,q,1256,a
q0_t12562,q,12562,a
q0_t12563,q,12563,a
q0_t12564,q,12564,a
q0_t12568,q,12568,a
q0_t12569,q,12569,a
q0_t1257,q,1257,a
q0_t12570,q,12570,a
q0_t12574,q,12574,a
q0_t12575,q,12575,a
q0_t12576,q,12576,a
q0_t1258,q,1258,a
q0_t12580,q,12580,a
q0_t12581,q,12581,a
q0_t12582,q,12582,a
q0_t12586,q,12586,a
q0_t12587,q,12587,a
q0_t12588,q,12588,a
q0_t12592,q,12592,a
q0_t12593,q,12593,a
q0_t12594,q,12594,a
q0_t12598,q,12598,a
q0_t12599,q,12599,a
q0_t12600,q,12600,a
q0_t12604,q,12604,a
q0_t12605,q,12605,a
q0_t12606,q,12606,a
q0_t12610,q,12610,a
q0_t12611,q,12611,a
q0_t12612,q,12612,a
q0_t12616,q,12616,a
q0_t12617,q,12617,a
q0_t12618,q,12618,a
q0_t1262,q,1262,a
q0_t12622,q,12622,a
q0_t12623,q,12623,a
q0_t12624,q,12624,a
q0_t12628,q,12628,a
q0_t12629,q,12629,a
q0_t1263,q,1263,a
q0_t12630,q,12630,a
q0_t12634,q,12634,a
q0_t12635,q,12635,a
q0_t12636,q,12636,a
q0_t1264,q,1264,a
q0_t12640,q,12640,a
q0_t12641,q,12641,a
q0_t12642,q,12642,a
q0_t12646,q,12646,a
q0_t12647,q,12647,a
q0_t12648,q,12648,a
q0_t12652,q,12652,a
q0_t12653,q,12653,a
q0_t12654,q,12654,a
q0_t12658,q,12658,a
q0_t12659,q,12659,a
q0_t12660,q,12660,a
q0_t12664,q,12664,a
q0_t12665,q,12665,a
q0_t12666,q,12666,a
q0_t12670,q,12670,a
q0_t12671,q,12671,a
q0_t12672,q,12672,a
q0_t12676,q,12676,a
q0_t12677,q,12677,a
q0_t12678,q,12678,a
q0_t1268,q,1268,a
q0_t12682,q,12682,a
q0_t12683,q,12683,a
q0_t12684,q,12684,a
q0_t12688,q,12688,a
q0_t12689,q,12689,a
q0_t1269,q,1269,a
q0_t12690,q,12690,a
q0_t12694,q,12694,a
q0_t12695,q,12695,a
q0_t12696,q,12696,a
q0_t1270,q,1270,a
q0_t12700,q,12700,a
q0_t12701,q,12701,a
q0_t12702,q,12702,a
q0_t12706,q,12706,a
q0_t12707,q,12707,a
q0_t12708,q,12708,a
q0_t12712,q,12712,a
q0_t12713,q,12713,a
q0_t12714,q,12714,a
q0_t12718,q,12718,a
q0_t12719,q,12719,a
q0_t12720,q,12720,a
q0_t12724,q,12724,a
q0_t12725,q,12725,a
q0_t12726,q,12726,a
q0_t12730,q,12730,a
q0_t12731,q,12731,a
q0_t12732,q,12732,a
q0_t12736,q,12736,a
q0_t12737,q,12737,a
q0_t12738,q,12738,a
q0_t1274,q,1274,a
q0_t12742,q,12742,a
q0_t12743,q,12743,a
q0_t12744,q,12744,a
q0_t12748,q,12748,a
q0_t12749,q,12749,a
q0_t1275,q,1275,a
q0_t12750,q,12750,a
q0_t12754,q,12754,a
q0_t12755,q,12755,a
q0_t12756,q,12756,a
q0_t1276,q,1276,a
q0_t12760,q,12760,a
q0_t12761,q,12761,a
q0_t12762,q,12762,a
q0_t12766,q,12766,a
q0_t12767,q,12767,a
q0_t12768,q,12768,a
q0_t12772,q,12772,a
q0_t12773,q,12773,a
q0_t12774,q,12774,a
q0_t12778,q,12778,a
q0_t12779,q,12779,a
q0_t12780,q,12780,a
q0_t12784,q,12784,a
q0_t12785,q,12785,a
q0_t12786,q,12786,a
q0_t12790,q,12790,a
q0_t12791,q,12791,a
q0_t12792,q,12792,a
q0_t12796,q,12796,a
q0_t12797,q,12797,a
q0_t12798,q,12798,a
q0_t128,q,128,a
q0_t1280,q,1280,a
q0_t12802,q,12802,a
q0_t12803,q,12803,a
