edge_index,type,realisation,gate_name,role,edge_args,edge_metadata
0,c,a,measure,,,
1,c,a,measure,,,
2,c,a,measure,,,
3,c,a,measure,,,
4,c,a,measure,,,
5,c,a,measure,,,
6,c,a,measure,,,
7,q,a,h,,"[[[0, 1]], [], [true]]",
8,q,a,cu1_stage1,,"[[[5, 4], [0, 4]], [], [true, true]]",
9,q,a,cu1_stage1,,"[[[4, 16], [0, 16]], [], [true, true]]",
10,q,a,cu1_stage3,,"[[[4, 10], [0, 10]], [], [true, true]]",
11,q,a,cu1_stage1,,"[[[1, 106], [0, 106]], [], [true, true]]",
12,q,a,cu1_stage3,,"[[[1, 100], [0, 100]], [], [true, true]]",
13,q,a,cu1_stage3,,"[[[6, 1001], [0, 1001]], [], [true, true]]",
14,q,a,cu1_stage2,,"[[[6, 1001], [0, 1001]], [], [true, true]]",
15,q,a,cu1_stage1,,"[[[6, 1007], [0, 1007]], [], [true, true]]",
16,q,a,cu1_stage2,,"[[[6, 1007], [0, 1007]], [], [true, true]]",
17,q,a,cu1_stage3,,"[[[6, 1007], [0, 1007]], [], [true, true]]",
18,q,a,cu1_stage1,,"[[[6, 1013], [0, 1013]], [], [true, true]]",
19,q,a,cu1_stage2,,"[[[6, 1013], [0, 1013]], [], [true, true]]",
20,q,a,cu1_stage3,,"[[[6, 1013], [0, 1013]], [], [true, true]]",
21,q,a,cu1_stage1,,"[[[6, 1019], [0, 1019]], [], [true, true]]",
22,q,a,cu1_stage2,,"[[[6, 1019], [0, 1019]], [], [true, true]]",
23,q,a,cu1_stage3,,"[[[6, 1019], [0, 1019]], [], [true, true]]",
24,q,a,cu1_stage1,,"[[[6, 1025], [0, 1025]], [], [true, true]]",
25,q,a,cu1_stage2,,"[[[6, 1025], [0, 1025]], [], [true, true]]",
26,q,a,cu1_stage3,,"[[[6, 1025], [0, 1025]], [], [true, true]]",
27,q,a,cu1_stage1,,"[[[6, 1031], [0, 1031]], [], [true, true]]",
28,q,a,cu1_stage2,,"[[[6, 1031], [0, 1031]], [], [true, true]]",
29,q,a,cu1_stage3,,"[[[6, 1031], [0, 1031]], [], [true, true]]",
30,q,a,cu1_stage1,,"[[[6, 1037], [0, 1037]], [], [true, true]]",
31,q,a,cu1_stage2,,"[[[6, 1037], [0, 1037]], [], [true, true]]",
32,q,a,cu1_stage3,,"[[[6, 1037], [0, 1037]], [], [true, true]]",
33,q,a,cu1_stage1,,"[[[6, 1043], [0, 1043]], [], [true, true]]",
34,q,a,cu1_stage2,,"[[[1, 106], [0, 106]], [], [true, true]]",
35,q,a,cu1_stage2,,"[[[6, 1043], [0, 1043]], [], [true, true]]",
