edge_index,node_id
0,c0_t16445
0,q0_t16444
1,c1_t17201
1,q1_t17200
2,c2_t17573
2,q2_t17572
3,c3_t17753
3,q3_t17752
4,c4_t17840
4,q4_t17839
5,c5_t17894
5,q5_t17893
6,c6_t17897
6,q6_t17896
7,c7_t17900
7,q7_t17899
8,c8_t17900
8,q8_t17899
9,q0_t0
9,q0_t1
10,q0_t1
10,q0_t2
11,q0_t10
11,q0_t14
12,q0_t10
12,q0_t9
13,q0_t100
13,q0_t104
14,q0_t100
14,q0_t99
15,q0_t1000
15,q0_t1004
16,q0_t1000
16,q0_t999
17,q0_t10001
17,q0_t10002
17,q8_t10001
17,q8_t10002
18,q0_t10001
18,q0_t9997
19,q0_t10002
19,q0_t10003
20,q0_t10003
20,q0_t10007
21,q0_t10007
21,q0_t10008
21,q8_t10007
21,q8_t10008
22,q0_t10008
22,q0_t10009
23,q0_t10009
23,q0_t10013
24,q0_t10013
24,q0_t10014
24,q8_t10013
24,q8_t10014
25,q0_t10014
25,q0_t10015
26,q0_t10015
26,q0_t10019
27,q0_t10019
27,q0_t10020
27,q8_t10019
27,q8_t10020
28,q0_t10020
28,q0_t10021
29,q0_t10021
29,q0_t10025
30,q0_t10025
30,q0_t10026
30,q8_t10025
30,q8_t10026
31,q0_t10026
31,q0_t10027
32,q0_t10027
32,q0_t10031
33,q0_t10031
33,q0_t10032
33,q8_t10031
33,q8_t10032
34,q0_t10032
34,q0_t10033
35,q0_t10033
35,q0_t10037
36,q0_t10037
36,q0_t10038
36,q8_t10037
36,q8_t10038
37,q0_t10038
37,q0_t10039
38,q0_t10039
38,q0_t10043
39,q0_t1004
39,q0_t1005
39,q8_t1004
39,q8_t1005
40,q0_t10043
40,q0_t10044
40,q8_t10043
40,q8_t10044
41,q0_t10044
41,q0_t10045
42,q0_t10045
42,q0_t10049
43,q0_t10049
43,q0_t10050
43,q8_t10049
43,q8_t10050
44,q0_t1005
44,q0_t1006
45,q0_t10050
45,q0_t10051
46,q0_t10051
46,q0_t10055
47,q0_t10055
47,q0_t10056
47,q8_t10055
47,q8_t10056
48,q0_t10056
48,q0_t10057
49,q0_t10057
49,q0_t10061
50,q0_t1006
50,q0_t1010
51,q0_t10061
51,q0_t10062
51,q8_t10061
51,q8_t10062
52,q0_t10062
52,q0_t10063
53,q0_t10063
53,q0_t10067
54,q0_t10067
54,q0_t10068
54,q8_t10067
54,q8_t10068
55,q0_t10068
55,q0_t10069
56,q0_t10069
56,q0_t10073
57,q0_t10073
57,q0_t10074
57,q8_t10073
57,q8_t10074
58,q0_t10074
58,q0_t10075
59,q0_t10075
59,q0_t10079
60,q0_t10079
60,q0_t10080
60,q8_t10079
60,q8_t10080
61,q0_t10080
61,q0_t10081
62,q0_t10081
62,q0_t10085
63,q0_t10085
63,q0_t10086
63,q8_t10085
63,q8_t10086
64,q0_t10086
64,q0_t10087
65,q0_t10087
65,q0_t10091
66,q0_t10091
66,q0_t10092
66,q8_t10091
66,q8_t10092
