node_id,type,time,realisation
c0_t778,c,778,a
c10_t889,c,889,a
c11_t871,c,871,a
c12_t847,c,847,a
c13_t817,c,817,a
c14_t781,c,781,a
c1_t815,c,815,a
c2_t845,c,845,a
c3_t869,c,869,a
c4_t887,c,887,a
c5_t899,c,899,a
c6_t905,c,905,a
c7_t908,c,908,a
c8_t908,c,908,a
c9_t901,c,901,a
q0_t0,q,0,a
q0_t171,q,171,a
q0_t172,q,172,a
q0_t173,q,173,a
q0_t20,q,20,a
q0_t21,q,21,a
q0_t22,q,22,a
q0_t322,q,322,a
q0_t323,q,323,a
q0_t324,q,324,a
q0_t473,q,473,a
q0_t474,q,474,a
q0_t475,q,475,a
q0_t624,q,624,a
q0_t625,q,625,a
q0_t626,q,626,a
q0_t775,q,775,a
q0_t776,q,776,a
q0_t777,q,777,a
q10_t0,q,0,a
q10_t10,q,10,a
q10_t104,q,104,a
q10_t105,q,105,a
q10_t106,q,106,a
q10_t107,q,107,a
q10_t108,q,108,a
q10_t109,q,109,a
q10_t113,q,113,a
q10_t114,q,114,a
q10_t115,q,115,a
q10_t116,q,116,a
q10_t117,q,117,a
q10_t118,q,118,a
q10_t125,q,125,a
q10_t126,q,126,a
q10_t127,q,127,a
q10_t128,q,128,a
q10_t129,q,129,a
q10_t130,q,130,a
q10_t131,q,131,a
q10_t132,q,132,a
q10_t133,q,133,a
q10_t156,q,156,a
q10_t157,q,157,a
q10_t158,q,158,a
q10_t159,q,159,a
q10_t160,q,160,a
q10_t161,q,161,a
q10_t183,q,183,a
q10_t184,q,184,a
q10_t185,q,185,a
q10_t186,q,186,a
q10_t187,q,187,a
q10_t188,q,188,a
q10_t195,q,195,a
q10_t196,q,196,a
q10_t197,q,197,a
q10_t198,q,198,a
q10_t199,q,199,a
q10_t200,q,200,a
q10_t216,q,216,a
q10_t217,q,217,a
q10_t218,q,218,a
q10_t219,q,219,a
q10_t220,q,220,a
q10_t221,q,221,a
q10_t228,q,228,a
q10_t229,q,229,a
