edge_index,type,realisation,gate_name,role,edge_args,edge_metadata
0,c,a,measure,,,
1,c,a,measure,,,
2,c,a,measure,,,
3,c,a,measure,,,
4,c,a,measure,,,
5,c,a,measure,,,
6,c,a,measure,,,
7,c,a,measure,,,
8,c,a,measure,,,
9,c,a,measure,,,
10,c,a,measure,,,
11,c,a,measure,,,
12,c,a,measure,,,
13,c,a,measure,,,
14,c,a,measure,,,
15,c,a,measure,,,
16,c,a,measure,,,
17,q,a,ccx_stage1,,"[[[8, 25], [16, 25], [0, 25]], [], [true, true, true]]",
18,q,a,ccx_stage2,,"[[[8, 1005], [16, 1005], [0, 1005]], [], [true, true, true]]",
19,q,a,ccx_stage1,,"[[[8, 1005], [16, 1005], [0, 1005]], [], [true, true, true]]",
20,q,a,ccx_stage3,,"[[[8, 1005], [16, 1005], [0, 1005]], [], [true, true, true]]",
21,q,a,ccx_stage2,,"[[[8, 221], [16, 221], [0, 221]], [], [true, true, true]]",
22,q,a,ccx_stage1,,"[[[8, 221], [16, 221], [0, 221]], [], [true, true, true]]",
23,q,a,ccx_stage3,,"[[[8, 221], [16, 221], [0, 221]], [], [true, true, true]]",
24,q,a,ccx_stage1,,"[[[8, 417], [16, 417], [0, 417]], [], [true, true, true]]",
25,q,a,ccx_stage2,,"[[[8, 25], [16, 25], [0, 25]], [], [true, true, true]]",
26,q,a,ccx_stage3,,"[[[8, 25], [16, 25], [0, 25]], [], [true, true, true]]",
27,q,a,ccx_stage2,,"[[[8, 417], [16, 417], [0, 417]], [], [true, true, true]]",
28,q,a,ccx_stage3,,"[[[8, 417], [16, 417], [0, 417]], [], [true, true, true]]",
29,q,a,ccx_stage1,,"[[[8, 613], [16, 613], [0, 613]], [], [true, true, true]]",
30,q,a,ccx_stage2,,"[[[8, 613], [16, 613], [0, 613]], [], [true, true, true]]",
31,q,a,ccx_stage3,,"[[[8, 613], [16, 613], [0, 613]], [], [true, true, true]]",
32,q,a,ccx_stage1,,"[[[8, 809], [16, 809], [0, 809]], [], [true, true, true]]",
33,q,a,ccx_stage2,,"[[[8, 809], [16, 809], [0, 809]], [], [true, true, true]]",
34,q,a,ccx_stage3,,"[[[8, 809], [16, 809], [0, 809]], [], [true, true, true]]",
35,q,a,rccx_stage1,,"[[[9, 4], [1, 4], [10, 4]], [], [true, true, true]]",
36,q,a,rccx_stage2,,"[[[2, 1023], [10, 1023], [11, 1023]], [], [true, true, true]]",
37,q,a,rccx_stage1,,"[[[2, 1023], [10, 1023], [11, 1023]], [], [true, true, true]]",
38,q,a,rccx_stage3,,"[[[2, 1023], [10, 1023], [11, 1023]], [], [true, true, true]]",
