edge_index,node_id
0,c0_t2596
0,q0_t2595
1,c10_t3047
1,q10_t3046
2,c11_t3059
2,q11_t3058
3,c12_t3065
3,q12_t3064
4,c13_t3068
4,q13_t3067
5,c14_t3068
5,q14_t3067
6,c15_t3061
6,q15_t3060
7,c16_t3049
7,q16_t3048
8,c17_t3031
8,q17_t3030
9,c18_t3007
9,q18_t3006
10,c19_t2977
10,q19_t2976
11,c1_t2669
11,q1_t2668
12,c20_t2941
12,q20_t2940
13,c21_t2899
13,q21_t2898
14,c22_t2851
14,q22_t2850
15,c23_t2797
15,q23_t2796
16,c24_t2737
16,q24_t2736
17,c25_t2671
17,q25_t2670
18,c26_t2599
18,q26_t2598
19,c2_t2735
19,q2_t2734
20,c3_t2795
20,q3_t2794
21,c4_t2849
21,q4_t2848
22,c5_t2897
22,q5_t2896
23,c6_t2939
23,q6_t2938
24,c7_t2975
24,q7_t2974
25,c8_t3005
25,q8_t3004
26,c9_t3029
26,q9_t3028
27,q0_t0
27,q0_t38
28,q0_t1060
28,q0_t1061
28,q13_t1060
28,q13_t1061
28,q26_t1060
28,q26_t1061
29,q0_t1060
29,q0_t551
30,q0_t1061
30,q0_t1062
31,q0_t1062
31,q0_t1571
32,q0_t1571
32,q0_t1572
32,q13_t1571
32,q13_t1572
32,q26_t1571
32,q26_t1572
33,q0_t1572
33,q0_t1573
34,q0_t1573
34,q0_t2082
35,q0_t2082
35,q0_t2083
35,q13_t2082
35,q13_t2083
35,q26_t2082
35,q26_t2083
36,q0_t2083
36,q0_t2084
37,q0_t2084
37,q0_t2593
38,q0_t2593
38,q0_t2594
38,q13_t2593
38,q13_t2594
38,q26_t2593
38,q26_t2594
39,q0_t2594
39,q0_t2595
40,q0_t38
40,q0_t39
40,q13_t38
40,q13_t39
40,q26_t38
40,q26_t39
41,q0_t39
41,q0_t40
42,q0_t40
42,q0_t549
43,q0_t549
43,q0_t550
43,q13_t549
43,q13_t550
43,q26_t549
43,q26_t550
44,q0_t550
44,q0_t551
45,q10_t0
45,q10_t29
46,q10_t1000
46,q10_t1001
47,q10_t1000
47,q10_t999
47,q13_t1000
47,q13_t999
47,q16_t1000
47,q16_t999
48,q10_t1001
48,q10_t1002
49,q10_t1002
49,q10_t1051
50,q10_t101
50,q10_t102
50,q22_t101
50,q22_t102
50,q23_t101
50,q23_t102
51,q10_t101
51,q10_t49
52,q10_t102
52,q10_t103
53,q10_t103
53,q10_t119
54,q10_t1051
54,q10_t1052
54,q23_t1051
54,q23_t1052
54,q24_t1051
54,q24_t1052
55,q10_t1052
55,q10_t1053
56,q10_t1053
56,q10_t1069
57,q10_t1069
57,q10_t1070
57,q23_t1069
57,q23_t1070
57,q24_t1069
57,q24_t1070
58,q10_t1070
58,q10_t1071
59,q10_t1071
59,q10_t1123
60,q10_t1123
60,q10_t1124
60,q22_t1123
60,q22_t1124
60,q23_t1123
60,q23_t1124
61,q10_t1124
61,q10_t1125
62,q10_t1125
62,q10_t1141
63,q10_t1141
63,q10_t1142
63,q22_t1141
63,q22_t1142
63,q23_t1141
63,q23_t1142
64,q10_t1142
64,q10_t1143
65,q10_t1143
65,q10_t1189
66,q10_t1189
66,q10_t1190
66,q21_t1189
66,q21_t1190
66,q22_t1189
66,q22_t1190
67,q10_t119
67,q10_t120
67,q22_t119
67,q22_t120
67,q23_t119
67,q23_t120
68,q10_t1190
68,q10_t1191
69,q10_t1191
69,q10_t1207
70,q10_t120
70,q10_t121
71,q10_t1207
71,q10_t1208
71,q21_t1207
71,q21_t1208
71,q22_t1207
71,q22_t1208
72,q10_t1208
72,q10_t1209
73,q10_t1209
73,q10_t1249
74,q10_t121
74,q10_t167
75,q10_t1249
75,q10_t1250
75,q20_t1249
75,q20_t1250
75,q21_t1249
75,q21_t1250
76,q10_t1250
76,q10_t1251
77,q10_t1251
77,q10_t1267
78,q10_t1267
78,q10_t1268
78,q20_t1267
78,q20_t1268
78,q21_t1267
78,q21_t1268
79,q10_t1268
79,q10_t1269
80,q10_t1269
80,q10_t1303
81,q10_t1303
81,q10_t1304
81,q19_t1303
81,q19_t1304
81,q20_t1303
81,q20_t1304
82,q10_t1304
82,q10_t1305
83,q10_t1305
83,q10_t1321
84,q10_t1321
84,q10_t1322
84,q19_t1321
84,q19_t1322
84,q20_t1321
84,q20_t1322
85,q10_t1322
85,q10_t1323
86,q10_t1323
86,q10_t1351
87,q10_t1351
87,q10_t1352
87,q18_t1351
87,q18_t1352
87,q19_t1351
87,q19_t1352
88,q10_t1352
88,q10_t1353
89,q10_t1353
89,q10_t1369
90,q10_t1369
90,q10_t1370
90,q18_t1369
90,q18_t1370
90,q19_t1369
90,q19_t1370
91,q10_t1370
91,q10_t1371
92,q10_t1371
92,q10_t1393
93,q10_t1393
93,q10_t1394
93,q17_t1393
93,q17_t1394
93,q18_t1393
93,q18_t1394
94,q10_t1394
94,q10_t1395
95,q10_t1395
95,q10_t1411
96,q10_t1411
96,q10_t1412
96,q17_t1411
96,q17_t1412
96,q18_t1411
96,q18_t1412
97,q10_t1412
97,q10_t1413
98,q10_t1413
98,q10_t1429
99,q10_t1429
99,q10_t1430
99,q16_t1429
99,q16_t1430
99,q17_t1429
99,q17_t1430
100,q10_t1430
100,q10_t1431
101,q10_t1431
101,q10_t1447
102,q10_t1447
102,q10_t1448
102,q16_t1447
102,q16_t1448
102,q17_t1447
102,q17_t1448
103,q10_t1448
103,q10_t1449
104,q10_t1449
104,q10_t1459
105,q10_t1459
105,q10_t1460
105,q15_t1459
105,q15_t1460
105,q16_t1459
105,q16_t1460
106,q10_t1460
106,q10_t1461
107,q10_t1461
107,q10_t1477
108,q10_t1477
108,q10_t1478
108,q15_t1477
108,q15_t1478
108,q16_t1477
108,q16_t1478
109,q10_t1478
109,q10_t1479
110,q10_t1479
110,q10_t1483
111,q10_t1483
111,q10_t1484
111,q14_t1483
111,q14_t1484
111,q15_t1483
111,q15_t1484
112,q10_t1484
112,q10_t1485
113,q10_t1485
113,q10_t1501
114,q10_t1501
114,q10_t1502
114,q14_t1501
114,q14_t1502
114,q15_t1501
114,q15_t1502
115,q10_t1502
115,q10_t1503
116,q10_t1503
116,q10_t1510
117,q10_t1510
117,q10_t1511
117,q13_t1510
117,q13_t1511
117,q16_t1510
117,q16_t1511
118,q10_t1511
118,q10_t1512
119,q10_t1512
119,q10_t1513
120,q10_t1513
120,q10_t1562
121,q10_t1562
121,q10_t1563
121,q23_t1562
121,q23_t1563
121,q24_t1562
121,q24_t1563
122,q10_t1563
122,q10_t1564
123,q10_t1564
123,q10_t1580
124,q10_t1580
124,q10_t1581
124,q23_t1580
124,q23_t1581
124,q24_t1580
124,q24_t1581
125,q10_t1581
125,q10_t1582
126,q10_t1582
126,q10_t1634
127,q10_t1634
127,q10_t1635
127,q22_t1634
127,q22_t1635
127,q23_t1634
127,q23_t1635
128,q10_t1635
128,q10_t1636
129,q10_t1636
129,q10_t1652
130,q10_t1652
130,q10_t1653
130,q22_t1652
130,q22_t1653
130,q23_t1652
130,q23_t1653
131,q10_t1653
131,q10_t1654
132,q10_t1654
132,q10_t1700
133,q10_t167
133,q10_t168
133,q21_t167
133,q21_t168
133,q22_t167
133,q22_t168
134,q10_t168
134,q10_t169
135,q10_t169
135,q10_t185
136,q10_t1700
136,q10_t1701
136,q21_t1700
136,q21_t1701
136,q22_t1700
136,q22_t1701
137,q10_t1701
137,q10_t1702
138,q10_t1702
138,q10_t1718
139,q10_t1718
139,q10_t1719
139,q21_t1718
139,q21_t1719
139,q22_t1718
139,q22_t1719
140,q10_t1719
140,q10_t1720
141,q10_t1720
141,q10_t1760
142,q10_t1760
142,q10_t1761
142,q20_t1760
142,q20_t1761
142,q21_t1760
142,q21_t1761
143,q10_t1761
143,q10_t1762
144,q10_t1762
144,q10_t1778
145,q10_t1778
145,q10_t1779
145,q20_t1778
145,q20_t1779
145,q21_t1778
145,q21_t1779
146,q10_t1779
146,q10_t1780
147,q10_t1780
147,q10_t1814
148,q10_t1814
148,q10_t1815
148,q19_t1814
148,q19_t1815
148,q20_t1814
148,q20_t1815
149,q10_t1815
149,q10_t1816
150,q10_t1816
150,q10_t1832
151,q10_t1832
151,q10_t1833
151,q19_t1832
151,q19_t1833
151,q20_t1832
151,q20_t1833
152,q10_t1833
152,q10_t1834
153,q10_t1834
153,q10_t1862
154,q10_t185
154,q10_t186
154,q21_t185
154,q21_t186
154,q22_t185
154,q22_t186
155,q10_t186
155,q10_t187
156,q10_t1862
156,q10_t1863
156,q18_t1862
156,q18_t1863
156,q19_t1862
156,q19_t1863
157,q10_t1863
157,q10_t1864
158,q10_t1864
158,q10_t1880
159,q10_t187
159,q10_t227
160,q10_t1880
160,q10_t1881
160,q18_t1880
160,q18_t1881
160,q19_t1880
160,q19_t1881
161,q10_t1881
161,q10_t1882
162,q10_t1882
162,q10_t1904
163,q10_t1904
163,q10_t1905
163,q17_t1904
163,q17_t1905
163,q18_t1904
163,q18_t1905
164,q10_t1905
164,q10_t1906
165,q10_t1906
165,q10_t1922
166,q10_t1922
166,q10_t1923
166,q17_t1922
166,q17_t1923
166,q18_t1922
166,q18_t1923
167,q10_t1923
167,q10_t1924
168,q10_t1924
168,q10_t1940
169,q10_t1940
169,q10_t1941
169,q16_t1940
169,q16_t1941
169,q17_t1940
169,q17_t1941
170,q10_t1941
170,q10_t1942
171,q10_t1942
171,q10_t1958
172,q10_t1958
172,q10_t1959
172,q16_t1958
172,q16_t1959
172,q17_t1958
172,q17_t1959
173,q10_t1959
173,q10_t1960
174,q10_t1960
174,q10_t1970
175,q10_t1970
175,q10_t1971
175,q15_t1970
175,q15_t1971
175,q16_t1970
175,q16_t1971
176,q10_t1971
176,q10_t1972
177,q10_t1972
177,q10_t1988
178,q10_t1988
178,q10_t1989
178,q15_t1988
178,q15_t1989
178,q16_t1988
178,q16_t1989
179,q10_t1989
179,q10_t1990
180,q10_t1990
180,q10_t1994
181,q10_t1994
181,q10_t1995
181,q14_t1994
181,q14_t1995
181,q15_t1994
181,q15_t1995
182,q10_t1995
182,q10_t1996
183,q10_t1996
183,q10_t2012
184,q10_t2012
184,q10_t2013
184,q14_t2012
184,q14_t2013
184,q15_t2012
184,q15_t2013
185,q10_t2013
185,q10_t2014
186,q10_t2014
186,q10_t2021
187,q10_t2021
187,q10_t2022
187,q13_t2021
187,q13_t2022
187,q16_t2021
187,q16_t2022
188,q10_t2022
188,q10_t2023
189,q10_t2023
189,q10_t2024
190,q10_t2024
190,q10_t2073
191,q10_t2073
191,q10_t2074
191,q23_t2073
191,q23_t2074
191,q24_t2073
191,q24_t2074
192,q10_t2074
192,q10_t2075
193,q10_t2075
193,q10_t2091
194,q10_t2091
194,q10_t2092
194,q23_t2091
194,q23_t2092
194,q24_t2091
194,q24_t2092
195,q10_t2092
195,q10_t2093
196,q10_t2093
196,q10_t2145
197,q10_t2145
197,q10_t2146
197,q22_t2145
197,q22_t2146
197,q23_t2145
197,q23_t2146
198,q10_t2146
198,q10_t2147
199,q10_t2147
199,q10_t2163
200,q10_t2163
200,q10_t2164
200,q22_t2163
200,q22_t2164
200,q23_t2163
200,q23_t2164
201,q10_t2164
201,q10_t2165
202,q10_t2165
202,q10_t2211
203,q10_t2211
203,q10_t2212
203,q21_t2211
203,q21_t2212
203,q22_t2211
203,q22_t2212
204,q10_t2212
204,q10_t2213
205,q10_t2213
205,q10_t2229
206,q10_t2229
206,q10_t2230
206,q21_t2229
206,q21_t2230
206,q22_t2229
206,q22_t2230
207,q10_t2230
207,q10_t2231
208,q10_t2231
208,q10_t2271
209,q10_t227
209,q10_t228
209,q20_t227
209,q20_t228
209,q21_t227
209,q21_t228
210,q10_t2271
210,q10_t2272
210,q20_t2271
210,q20_t2272
210,q21_t2271
210,q21_t2272
211,q10_t2272
211,q10_t2273
212,q10_t2273
212,q10_t2289
213,q10_t228
213,q10_t229
214,q10_t2289
214,q10_t2290
214,q20_t2289
214,q20_t2290
214,q21_t2289
214,q21_t2290
215,q10_t229
215,q10_t245
216,q10_t2290
216,q10_t2291
217,q10_t2291
217,q10_t2325
218,q10_t2325
218,q10_t2326
218,q19_t2325
218,q19_t2326
218,q20_t2325
218,q20_t2326
219,q10_t2326
219,q10_t2327
220,q10_t2327
220,q10_t2343
221,q10_t2343
221,q10_t2344
221,q19_t2343
221,q19_t2344
221,q20_t2343
221,q20_t2344
222,q10_t2344
222,q10_t2345
223,q10_t2345
223,q10_t2373
224,q10_t2373
224,q10_t2374
224,q18_t2373
224,q18_t2374
224,q19_t2373
224,q19_t2374
225,q10_t2374
225,q10_t2375
226,q10_t2375
226,q10_t2391
227,q10_t2391
227,q10_t2392
227,q18_t2391
227,q18_t2392
227,q19_t2391
227,q19_t2392
228,q10_t2392
228,q10_t2393
229,q10_t2393
229,q10_t2415
230,q10_t2415
230,q10_t2416
230,q17_t2415
230,q17_t2416
230,q18_t2415
230,q18_t2416
231,q10_t2416
231,q10_t2417
232,q10_t2417
232,q10_t2433
233,q10_t2433
233,q10_t2434
233,q17_t2433
233,q17_t2434
233,q18_t2433
233,q18_t2434
234,q10_t2434
234,q10_t2435
235,q10_t2435
235,q10_t2451
236,q10_t245
236,q10_t246
236,q20_t245
236,q20_t246
236,q21_t245
236,q21_t246
237,q10_t2451
237,q10_t2452
237,q16_t2451
237,q16_t2452
237,q17_t2451
237,q17_t2452
238,q10_t2452
238,q10_t2453
239,q10_t2453
239,q10_t2469
240,q10_t246
240,q10_t247
241,q10_t2469
241,q10_t2470
241,q16_t2469
241,q16_t2470
241,q17_t2469
241,q17_t2470
242,q10_t247
242,q10_t281
243,q10_t2470
243,q10_t2471
244,q10_t2471
244,q10_t2481
245,q10_t2481
245,q10_t2482
245,q15_t2481
245,q15_t2482
245,q16_t2481
245,q16_t2482
246,q10_t2482
246,q10_t2483
247,q10_t2483
247,q10_t2499
248,q10_t2499
248,q10_t2500
248,q15_t2499
248,q15_t2500
248,q16_t2499
248,q16_t2500
249,q10_t2500
249,q10_t2501
250,q10_t2501
250,q10_t2505
251,q10_t2505
251,q10_t2506
251,q14_t2505
251,q14_t2506
251,q15_t2505
251,q15_t2506
252,q10_t2506
252,q10_t2507
253,q10_t2507
253,q10_t2523
254,q10_t2523
254,q10_t2524
254,q14_t2523
254,q14_t2524
254,q15_t2523
254,q15_t2524
255,q10_t2524
255,q10_t2525
256,q10_t2525
256,q10_t2532
257,q10_t2532
257,q10_t2533
257,q13_t2532
257,q13_t2533
257,q16_t2532
257,q16_t2533
258,q10_t2533
258,q10_t2534
259,q10_t2534
259,q10_t2535
260,q10_t2535
260,q10_t2584
261,q10_t2584
261,q10_t2585
261,q23_t2584
261,q23_t2585
261,q24_t2584
261,q24_t2585
262,q10_t2585
262,q10_t2586
263,q10_t2586
263,q10_t2602
264,q10_t2602
264,q10_t2603
264,q23_t2602
264,q23_t2603
264,q24_t2602
264,q24_t2603
265,q10_t2603
265,q10_t2604
266,q10_t2604
266,q10_t2656
267,q10_t2656
267,q10_t2657
267,q22_t2656
267,q22_t2657
267,q23_t2656
267,q23_t2657
268,q10_t2657
268,q10_t2658
269,q10_t2658
269,q10_t2674
270,q10_t2674
270,q10_t2675
270,q22_t2674
270,q22_t2675
270,q23_t2674
270,q23_t2675
271,q10_t2675
271,q10_t2676
272,q10_t2676
272,q10_t2722
273,q10_t2722
273,q10_t2723
273,q21_t2722
273,q21_t2723
273,q22_t2722
273,q22_t2723
274,q10_t2723
274,q10_t2724
275,q10_t2724
275,q10_t2740
276,q10_t2740
276,q10_t2741
276,q21_t2740
276,q21_t2741
276,q22_t2740
276,q22_t2741
277,q10_t2741
277,q10_t2742
278,q10_t2742
278,q10_t2782
279,q10_t2782
279,q10_t2783
279,q20_t2782
279,q20_t2783
279,q21_t2782
279,q21_t2783
280,q10_t2783
280,q10_t2784
281,q10_t2784
281,q10_t2800
282,q10_t2800
282,q10_t2801
282,q20_t2800
282,q20_t2801
282,q21_t2800
282,q21_t2801
283,q10_t2801
283,q10_t2802
284,q10_t2802
284,q10_t2836
285,q10_t281
285,q10_t282
285,q19_t281
285,q19_t282
285,q20_t281
285,q20_t282
286,q10_t282
286,q10_t283
287,q10_t283
287,q10_t299
288,q10_t2836
288,q10_t2837
288,q19_t2836
288,q19_t2837
288,q20_t2836
288,q20_t2837
289,q10_t2837
289,q10_t2838
290,q10_t2838
290,q10_t2854
291,q10_t2854
291,q10_t2855
291,q19_t2854
291,q19_t2855
291,q20_t2854
291,q20_t2855
292,q10_t2855
292,q10_t2856
293,q10_t2856
293,q10_t2884
294,q10_t2884
294,q10_t2885
294,q18_t2884
294,q18_t2885
294,q19_t2884
294,q19_t2885
295,q10_t2885
295,q10_t2886
296,q10_t2886
296,q10_t2902
297,q10_t29
297,q10_t30
297,q23_t29
297,q23_t30
297,q24_t29
297,q24_t30
298,q10_t2902
298,q10_t2903
298,q18_t2902
298,q18_t2903
298,q19_t2902
298,q19_t2903
299,q10_t2903
299,q10_t2904
300,q10_t2904
300,q10_t2926
301,q10_t2926
301,q10_t2927
301,q17_t2926
301,q17_t2927
301,q18_t2926
301,q18_t2927
302,q10_t2927
302,q10_t2928
303,q10_t2928
303,q10_t2944
304,q10_t2944
304,q10_t2945
304,q17_t2944
304,q17_t2945
304,q18_t2944
304,q18_t2945
305,q10_t2945
305,q10_t2946
306,q10_t2946
306,q10_t2962
307,q10_t2962
307,q10_t2963
307,q16_t2962
307,q16_t2963
307,q17_t2962
307,q17_t2963
308,q10_t2963
308,q10_t2964
309,q10_t2964
309,q10_t2980
310,q10_t2980
310,q10_t2981
310,q16_t2980
310,q16_t2981
310,q17_t2980
310,q17_t2981
311,q10_t2981
311,q10_t2982
312,q10_t2982
312,q10_t2992
313,q10_t299
313,q10_t300
313,q19_t299
313,q19_t300
313,q20_t299
313,q20_t300
314,q10_t2992
314,q10_t2993
314,q15_t2992
314,q15_t2993
314,q16_t2992
314,q16_t2993
315,q10_t2993
315,q10_t2994
316,q10_t2994
316,q10_t3010
317,q10_t30
317,q10_t31
318,q10_t300
318,q10_t301
319,q10_t301
319,q10_t329
320,q10_t3010
320,q10_t3011
320,q15_t3010
320,q15_t3011
320,q16_t3010
320,q16_t3011
321,q10_t3011
321,q10_t3012
322,q10_t3012
322,q10_t3016
323,q10_t3016
323,q10_t3017
323,q14_t3016
323,q14_t3017
323,q15_t3016
323,q15_t3017
324,q10_t3017
324,q10_t3018
325,q10_t3018
325,q10_t3034
