edge_index,node_id
0,c0_t1134
0,q0_t1133
1,c10_t1131
1,q10_t1130
2,c11_t1136
2,q11_t1135
3,c12_t1099
3,q12_t1098
4,c13_t1136
4,q13_t1135
5,c14_t1127
5,q14_t1126
6,c15_t1136
6,q15_t1135
7,c16_t1127
7,q16_t1126
8,c17_t1110
8,q17_t1109
9,c18_t1140
9,q18_t1139
10,c19_t1129
10,q19_t1128
11,c1_t1141
11,q1_t1140
12,c20_t1137
12,q20_t1136
13,c21_t1129
13,q21_t1128
14,c22_t1127
14,q22_t1126
15,c23_t1111
15,q23_t1110
16,c24_t1124
16,q24_t1123
17,c25_t1125
17,q25_t1124
18,c26_t1141
18,q26_t1140
19,c27_t1137
19,q27_t1136
20,c28_t1134
20,q28_t1133
21,c29_t1132
21,q29_t1131
22,c2_t1129
22,q2_t1128
23,c30_t1140
23,q30_t1139
24,c31_t1079
24,q31_t1078
25,c32_t1125
25,q32_t1124
26,c33_t1136
26,q33_t1135
27,c34_t1140
27,q34_t1139
28,c35_t1138
28,q35_t1137
29,c36_t1139
29,q36_t1138
30,c37_t1127
30,q37_t1126
31,c38_t1114
31,q38_t1113
32,c39_t1129
32,q39_t1128
33,c3_t1114
33,q3_t1113
34,c40_t1125
34,q40_t1124
35,c4_t1133
35,q4_t1132
36,c5_t1124
36,q5_t1123
37,c6_t1119
37,q6_t1118
38,c7_t1132
38,q7_t1131
39,c8_t1101
39,q8_t1100
40,c9_t1135
40,q9_t1134
41,q0_t0
41,q0_t1
42,q0_t1
42,q0_t2
43,q0_t1007
43,q0_t1008
43,q26_t1007
43,q26_t1008
44,q0_t1007
44,q0_t997
45,q0_t1008
45,q0_t1009
46,q0_t1009
46,q0_t1010
47,q0_t1010
47,q0_t1011
47,q20_t1010
47,q20_t1011
48,q0_t1011
48,q0_t1012
49,q0_t1012
49,q0_t1013
50,q0_t1013
50,q0_t1026
51,q0_t1026
51,q0_t1027
51,q29_t1026
51,q29_t1027
52,q0_t1027
52,q0_t1028
53,q0_t1028
53,q0_t1071
54,q0_t1071
54,q0_t1072
54,q29_t1071
54,q29_t1072
55,q0_t1072
55,q0_t1073
56,q0_t1073
56,q0_t1087
57,q0_t1087
57,q0_t1088
57,q21_t1087
57,q21_t1088
58,q0_t1088
58,q0_t1089
59,q0_t1089
59,q0_t1090
60,q0_t1090
60,q0_t1091
60,q17_t1090
60,q17_t1091
61,q0_t1091
61,q0_t1092
62,q0_t1092
62,q0_t1098
63,q0_t1098
63,q0_t1099
63,q9_t1098
63,q9_t1099
64,q0_t1099
64,q0_t1100
65,q0_t1100
65,q0_t1101
66,q0_t1101
66,q0_t1102
67,q0_t1102
67,q0_t1103
67,q36_t1102
67,q36_t1103
68,q0_t1103
68,q0_t1104
69,q0_t1104
69,q0_t1131
70,q0_t1131
70,q0_t1132
70,q28_t1131
70,q28_t1132
71,q0_t1132
71,q0_t1133
72,q0_t118
72,q0_t119
72,q21_t118
72,q21_t119
73,q0_t118
73,q0_t99
74,q0_t119
74,q0_t120
75,q0_t120
75,q0_t121
76,q0_t121
76,q0_t122
77,q0_t122
77,q0_t123
77,q35_t122
77,q35_t123
78,q0_t123
78,q0_t124
79,q0_t124
79,q0_t125
80,q0_t125
80,q0_t126
81,q0_t126
81,q0_t127
81,q35_t126
81,q35_t127
82,q0_t127
82,q0_t128
83,q0_t128
83,q0_t129
84,q0_t129
84,q0_t130
84,q16_t129
84,q16_t130
85,q0_t130
85,q0_t131
86,q0_t131
86,q0_t132
87,q0_t132
87,q0_t172
88,q0_t172
88,q0_t173
88,q37_t172
88,q37_t173
89,q0_t173
89,q0_t174
90,q0_t174
90,q0_t175
91,q0_t175
91,q0_t176
92,q0_t176
92,q0_t177
92,q37_t176
92,q37_t177
