edge_index,type,realisation,gate_name,role,edge_args,edge_metadata
0,c,a,measure,,,
1,c,a,measure,,,
2,c,a,measure,,,
3,c,a,measure,,,
4,q,a,u2,,"[[[0, 1]], [], [true]]",
5,q,a,ccx_stage1,,"[[[0, 24], [1, 24], [3, 24]], [], [true, true, true]]",
6,q,a,ccx_stage2,,"[[[0, 24], [1, 24], [3, 24]], [], [true, true, true]]",
7,q,a,ccx_stage3,,"[[[0, 24], [1, 24], [3, 24]], [], [true, true, true]]",
8,q,a,u1,,"[[[0, 25]], [], [true]]",
9,q,a,rxx_stage1,,"[[[0, 36], [3, 36]], [], [true, true]]",
10,q,a,rxx_stage2,,"[[[0, 36], [3, 36]], [], [true, true]]",
11,q,a,rxx_stage3,,"[[[0, 36], [3, 36]], [], [true, true]]",
12,q,a,s,,"[[[0, 37]], [], [true]]",
13,q,a,crx_stage1,,"[[[2, 40], [0, 40]], [], [true, true]]",
14,q,a,crx_stage2,,"[[[2, 40], [0, 40]], [], [true, true]]",
15,q,a,crx_stage3,,"[[[2, 40], [0, 40]], [], [true, true]]",
16,q,a,u1,,"[[[0, 41]], [], [true]]",
17,q,a,cx_stage1,,"[[[1, 44], [0, 44]], [], [true, true]]",
18,q,a,cx_stage2,,"[[[1, 44], [0, 44]], [], [true, true]]",
19,q,a,cx_stage3,,"[[[1, 44], [0, 44]], [], [true, true]]",
20,q,a,ry,,"[[[0, 45]], [], [true]]",
21,q,a,cx_stage1,,"[[[1, 48], [0, 48]], [], [true, true]]",
22,q,a,cx_stage2,,"[[[1, 48], [0, 48]], [], [true, true]]",
23,q,a,cx_stage3,,"[[[1, 48], [0, 48]], [], [true, true]]",
24,q,a,u1,,"[[[0, 49]], [], [true]]",
25,q,a,cu3_stage1,,"[[[3, 52], [0, 52]], [], [true, true]]",
26,q,a,cu3_stage2,,"[[[3, 52], [0, 52]], [], [true, true]]",
27,q,a,cu3_stage3,,"[[[3, 52], [0, 52]], [], [true, true]]",
28,q,a,u1,,"[[[1, 1]], [], [true]]",
29,q,a,cx_stage1,,"[[[2, 4], [1, 4]], [], [true, true]]",
30,q,a,cx_stage2,,"[[[2, 12], [1, 12]], [], [true, true]]",
31,q,a,cx_stage1,,"[[[2, 12], [1, 12]], [], [true, true]]",
32,q,a,cx_stage3,,"[[[2, 12], [1, 12]], [], [true, true]]",
33,q,a,tdg,,"[[[1, 13]], [], [true]]",
34,q,a,cx_stage1,,"[[[3, 16], [1, 16]], [], [true, true]]",
35,q,a,cx_stage2,,"[[[3, 16], [1, 16]], [], [true, true]]",
