edge_index,type,realisation,gate_name,role,edge_args,edge_metadata
0,c,a,measure,,,
1,c,a,measure,,,
2,c,a,measure,,,
3,c,a,measure,,,
4,c,a,measure,,,
5,q,a,ry,,"[[[0, 1]], [], [true]]",
6,q,a,cx_stage1,,"[[[0, 4], [1, 4]], [], [true, true]]",
7,q,a,cx_stage1,,"[[[0, 13], [4, 13]], [], [true, true]]",
8,q,a,cx_stage3,,"[[[0, 10], [3, 10]], [], [true, true]]",
9,q,a,cx_stage2,,"[[[0, 13], [4, 13]], [], [true, true]]",
10,q,a,cx_stage3,,"[[[0, 13], [4, 13]], [], [true, true]]",
11,q,a,ry,,"[[[0, 14]], [], [true]]",
12,q,a,cx_stage1,,"[[[0, 20], [1, 20]], [], [true, true]]",
13,q,a,cx_stage2,,"[[[0, 20], [1, 20]], [], [true, true]]",
14,q,a,cx_stage3,,"[[[0, 20], [1, 20]], [], [true, true]]",
15,q,a,cx_stage2,,"[[[0, 4], [1, 4]], [], [true, true]]",
16,q,a,cx_stage1,,"[[[0, 23], [2, 23]], [], [true, true]]",
17,q,a,cx_stage2,,"[[[0, 23], [2, 23]], [], [true, true]]",
18,q,a,cx_stage3,,"[[[0, 23], [2, 23]], [], [true, true]]",
19,q,a,cx_stage1,,"[[[0, 26], [3, 26]], [], [true, true]]",
20,q,a,cx_stage2,,"[[[0, 26], [3, 26]], [], [true, true]]",
21,q,a,cx_stage3,,"[[[0, 26], [3, 26]], [], [true, true]]",
22,q,a,cx_stage1,,"[[[0, 29], [4, 29]], [], [true, true]]",
23,q,a,cx_stage2,,"[[[0, 29], [4, 29]], [], [true, true]]",
24,q,a,cx_stage3,,"[[[0, 29], [4, 29]], [], [true, true]]",
25,q,a,ry,,"[[[0, 30]], [], [true]]",
26,q,a,cx_stage3,,"[[[0, 4], [1, 4]], [], [true, true]]",
27,q,a,cx_stage1,,"[[[0, 36], [1, 36]], [], [true, true]]",
28,q,a,cx_stage2,,"[[[0, 36], [1, 36]], [], [true, true]]",
29,q,a,cx_stage3,,"[[[0, 36], [1, 36]], [], [true, true]]",
30,q,a,cx_stage1,,"[[[0, 39], [2, 39]], [], [true, true]]",
31,q,a,cx_stage2,,"[[[0, 39], [2, 39]], [], [true, true]]",
32,q,a,cx_stage3,,"[[[0, 39], [2, 39]], [], [true, true]]",
33,q,a,cx_stage1,,"[[[0, 42], [3, 42]], [], [true, true]]",
34,q,a,cx_stage1,,"[[[0, 7], [2, 7]], [], [true, true]]",
35,q,a,cx_stage2,,"[[[0, 42], [3, 42]], [], [true, true]]",
36,q,a,cx_stage3,,"[[[0, 42], [3, 42]], [], [true, true]]",
