node_id,type,time,realisation
c0_t695,c,695,a
c10_t725,c,725,a
c11_t728,c,728,a
c12_t731,c,731,a
c13_t734,c,734,a
c14_t737,c,737,a
c15_t740,c,740,a
c16_t743,c,743,a
c17_t746,c,746,a
c18_t749,c,749,a
c19_t752,c,752,a
c1_t698,c,698,a
c20_t755,c,755,a
c21_t758,c,758,a
c22_t761,c,761,a
c23_t764,c,764,a
c24_t767,c,767,a
c25_t770,c,770,a
c26_t773,c,773,a
c27_t776,c,776,a
c28_t779,c,779,a
c29_t782,c,782,a
c2_t701,c,701,a
c30_t785,c,785,a
c31_t788,c,788,a
c32_t791,c,791,a
c33_t794,c,794,a
c34_t797,c,797,a
c35_t800,c,800,a
c36_t803,c,803,a
c37_t806,c,806,a
c38_t809,c,809,a
c39_t812,c,812,a
c3_t704,c,704,a
c40_t815,c,815,a
c41_t818,c,818,a
c42_t821,c,821,a
c43_t824,c,824,a
c44_t827,c,827,a
c45_t830,c,830,a
c46_t833,c,833,a
c47_t836,c,836,a
c48_t839,c,839,a
c49_t842,c,842,a
c4_t707,c,707,a
c50_t845,c,845,a
c51_t848,c,848,a
c52_t851,c,851,a
c53_t854,c,854,a
c54_t857,c,857,a
c55_t860,c,860,a
c56_t863,c,863,a
c57_t866,c,866,a
c58_t869,c,869,a
c59_t872,c,872,a
c5_t710,c,710,a
c60_t875,c,875,a
c61_t878,c,878,a
c62_t881,c,881,a
c63_t884,c,884,a
c64_t887,c,887,a
c65_t890,c,890,a
c66_t893,c,893,a
c67_t896,c,896,a
c68_t899,c,899,a
c69_t902,c,902,a
c6_t713,c,713,a
c70_t905,c,905,a
c71_t908,c,908,a
c72_t911,c,911,a
c73_t914,c,914,a
c74_t917,c,917,a
c75_t920,c,920,a
c76_t920,c,920,a
c7_t716,c,716,a
c8_t719,c,719,a
c9_t722,c,722,a
q0_t0,q,0,a
q0_t1,q,1,a
q0_t10,q,10,a
q0_t100,q,100,a
q0_t101,q,101,a
q0_t102,q,102,a
q0_t103,q,103,a
q0_t104,q,104,a
q0_t105,q,105,a
q0_t106,q,106,a
q0_t107,q,107,a
q0_t108,q,108,a
q0_t109,q,109,a
q0_t11,q,11,a
q0_t110,q,110,a
q0_t111,q,111,a
q0_t112,q,112,a
q0_t113,q,113,a
q0_t114,q,114,a
q0_t115,q,115,a
q0_t116,q,116,a
q0_t117,q,117,a
q0_t118,q,118,a
q0_t119,q,119,a
q0_t12,q,12,a
q0_t120,q,120,a
q0_t121,q,121,a
q0_t122,q,122,a
q0_t123,q,123,a
q0_t124,q,124,a
q0_t125,q,125,a
q0_t126,q,126,a
q0_t127,q,127,a
q0_t128,q,128,a
q0_t129,q,129,a
q0_t13,q,13,a
q0_t130,q,130,a
q0_t131,q,131,a
q0_t132,q,132,a
q0_t133,q,133,a
q0_t134,q,134,a
q0_t135,q,135,a
q0_t136,q,136,a
q0_t137,q,137,a
q0_t138,q,138,a
q0_t139,q,139,a
q0_t14,q,14,a
q0_t140,q,140,a
q0_t141,q,141,a
q0_t142,q,142,a
q0_t143,q,143,a
q0_t144,q,144,a
q0_t145,q,145,a
q0_t146,q,146,a
q0_t147,q,147,a
q0_t148,q,148,a
q0_t149,q,149,a
q0_t15,q,15,a
