edge_index,node_id
0,c0_t32
0,q0_t31
1,c1_t32
1,q1_t31
2,c2_t29
2,q2_t28
3,c3_t26
3,q3_t25
4,c4_t23
4,q4_t22
5,c5_t20
5,q5_t19
6,q0_t0
6,q0_t1
7,q0_t1
7,q0_t14
8,q0_t14
8,q0_t15
8,q1_t14
8,q1_t15
9,q0_t15
9,q0_t16
10,q0_t16
10,q0_t17
11,q0_t17
11,q0_t21
12,q0_t21
12,q0_t22
12,q1_t21
12,q1_t22
13,q0_t22
13,q0_t23
14,q0_t23
14,q0_t24
15,q0_t24
15,q0_t28
16,q0_t28
16,q0_t29
16,q1_t28
16,q1_t29
17,q0_t29
17,q0_t30
18,q0_t30
18,q0_t31
19,q1_t0
19,q1_t1
20,q1_t1
20,q1_t11
21,q1_t11
21,q1_t12
21,q2_t11
21,q2_t12
22,q1_t12
22,q1_t13
23,q1_t13
23,q1_t14
24,q1_t15
24,q1_t16
25,q1_t16
25,q1_t17
26,q1_t17
26,q1_t18
27,q1_t18
27,q1_t19
27,q2_t18
27,q2_t19
28,q1_t19
28,q1_t20
29,q1_t20
29,q1_t21
30,q1_t22
30,q1_t23
31,q1_t23
31,q1_t24
32,q1_t24
32,q1_t25
33,q1_t25
33,q1_t26
33,q2_t25
33,q2_t26
34,q1_t26
34,q1_t27
35,q1_t27
35,q1_t28
36,q1_t29
36,q1_t30
37,q1_t30
37,q1_t31
38,q2_t0
38,q2_t1
39,q2_t1
39,q2_t8
40,q2_t10
40,q2_t11
41,q2_t10
41,q2_t9
42,q2_t12
42,q2_t13
43,q2_t13
43,q2_t14
44,q2_t14
44,q2_t15
45,q2_t15
45,q2_t16
45,q3_t15
45,q3_t16
46,q2_t16
46,q2_t17
47,q2_t17
47,q2_t18
48,q2_t19
48,q2_t20
49,q2_t20
49,q2_t21
50,q2_t21
50,q2_t22
51,q2_t22
51,q2_t23
51,q3_t22
51,q3_t23
52,q2_t23
52,q2_t24
53,q2_t24
53,q2_t25
54,q2_t26
54,q2_t27
55,q2_t27
55,q2_t28
56,q2_t8
56,q2_t9
56,q3_t8
56,q3_t9
57,q3_t0
57,q3_t1
58,q3_t1
58,q3_t5
59,q3_t10
59,q3_t11
60,q3_t10
60,q3_t9
61,q3_t11
61,q3_t12
62,q3_t12
62,q3_t13
62,q4_t12
62,q4_t13
63,q3_t13
63,q3_t14
64,q3_t14
64,q3_t15
65,q3_t16
65,q3_t17
66,q3_t17
66,q3_t18
67,q3_t18
67,q3_t19
68,q3_t19
68,q3_t20
68,q4_t19
68,q4_t20
69,q3_t20
69,q3_t21
70,q3_t21
70,q3_t22
71,q3_t23
71,q3_t24
72,q3_t24
72,q3_t25
73,q3_t5
73,q3_t6
73,q4_t5
73,q4_t6
74,q3_t6
74,q3_t7
75,q3_t7
75,q3_t8
76,q4_t0
76,q4_t1
77,q4_t1
77,q4_t2
78,q4_t10
78,q4_t11
79,q4_t10
79,q4_t9
79,q5_t10
79,q5_t9
80,q4_t11
80,q4_t12
81,q4_t13
81,q4_t14
82,q4_t14
82,q4_t15
83,q4_t15
83,q4_t16
84,q4_t16
84,q4_t17
84,q5_t16
84,q5_t17
85,q4_t17
85,q4_t18
86,q4_t18
86,q4_t19
87,q4_t2
87,q4_t3
87,q5_t2
87,q5_t3
88,q4_t20
88,q4_t21
89,q4_t21
89,q4_t22
90,q4_t3
90,q4_t4
91,q4_t4
91,q4_t5
92,q4_t6
92,q4_t7
93,q4_t7
93,q4_t8
94,q4_t8
94,q4_t9
95,q5_t0
95,q5_t1
96,q5_t1
96,q5_t2
97,q5_t10
97,q5_t11
98,q5_t11
98,q5_t12
99,q5_t12
99,q5_t16
100,q5_t17
100,q5_t18
101,q5_t18
101,q5_t19
102,q5_t3
102,q5_t4
103,q5_t4
103,q5_t5
104,q5_t5
104,q5_t9
