edge_index,type,realisation,gate_name,role,edge_args,edge_metadata
0,c,a,measure,,,
1,c,a,measure,,,
2,c,a,measure,,,
3,c,a,measure,,,
4,c,a,measure,,,
5,c,a,measure,,,
6,c,a,measure,,,
7,c,a,measure,,,
8,c,a,measure,,,
9,c,a,measure,,,
10,c,a,measure,,,
11,c,a,measure,,,
12,c,a,measure,,,
13,c,a,measure,,,
14,c,a,measure,,,
15,c,a,measure,,,
16,c,a,measure,,,
17,c,a,measure,,,
18,q,a,h,,"[[[0, 1]], [], [true]]",
19,q,a,cx_stage1,,"[[[8, 29], [0, 29]], [], [true, true]]",
20,q,a,cx_stage2,,"[[[11, 1041], [0, 1041]], [], [true, true]]",
21,q,a,cx_stage1,,"[[[11, 1041], [0, 1041]], [], [true, true]]",
22,q,a,cx_stage3,,"[[[11, 1041], [0, 1041]], [], [true, true]]",
23,q,a,cp_stage1,,"[[[0, 1044], [12, 1044]], [], [true, true]]",
24,q,a,cp_stage2,,"[[[0, 1044], [12, 1044]], [], [true, true]]",
25,q,a,cp_stage3,,"[[[0, 1044], [12, 1044]], [], [true, true]]",
26,q,a,cx_stage1,,"[[[11, 1047], [0, 1047]], [], [true, true]]",
27,q,a,cx_stage2,,"[[[11, 1047], [0, 1047]], [], [true, true]]",
28,q,a,cx_stage3,,"[[[11, 1047], [0, 1047]], [], [true, true]]",
29,q,a,cp_stage1,,"[[[0, 1050], [12, 1050]], [], [true, true]]",
30,q,a,cp_stage2,,"[[[0, 1050], [12, 1050]], [], [true, true]]",
31,q,a,cp_stage3,,"[[[0, 1050], [12, 1050]], [], [true, true]]",
32,q,a,cx_stage1,,"[[[11, 1053], [0, 1053]], [], [true, true]]",
33,q,a,cx_stage2,,"[[[11, 1053], [0, 1053]], [], [true, true]]",
34,q,a,cx_stage3,,"[[[11, 1053], [0, 1053]], [], [true, true]]",
35,q,a,cp_stage1,,"[[[0, 1056], [13, 1056]], [], [true, true]]",
36,q,a,cp_stage2,,"[[[0, 1056], [13, 1056]], [], [true, true]]",
37,q,a,cp_stage3,,"[[[0, 1056], [13, 1056]], [], [true, true]]",
38,q,a,cx_stage1,,"[[[11, 1059], [0, 1059]], [], [true, true]]",
39,q,a,cx_stage2,,"[[[11, 1059], [0, 1059]], [], [true, true]]",
40,q,a,cx_stage3,,"[[[11, 1059], [0, 1059]], [], [true, true]]",
41,q,a,cp_stage1,,"[[[0, 1062], [13, 1062]], [], [true, true]]",
42,q,a,cp_stage2,,"[[[0, 1062], [13, 1062]], [], [true, true]]",
43,q,a,cp_stage3,,"[[[0, 1062], [13, 1062]], [], [true, true]]",
