edge_index,node_id
0,c0_t17751
0,q0_t17750
1,c10_t17189
1,q10_t17188
2,c11_t16922
2,q11_t16921
3,c12_t17729
3,q12_t17728
4,c13_t17732
4,q13_t17731
5,c14_t17735
5,q14_t17734
6,c15_t17738
6,q15_t17737
7,c16_t17739
7,q16_t17738
8,c17_t17640
8,q17_t17639
9,c1_t17754
9,q1_t17753
10,c2_t17757
10,q2_t17756
11,c3_t17760
11,q3_t17759
12,c4_t17763
12,q4_t17762
13,c5_t17766
13,q5_t17765
14,c6_t17769
14,q6_t17768
15,c7_t17770
15,q7_t17769
16,c8_t17723
16,q8_t17722
17,c9_t17456
17,q9_t17455
18,q0_t0
18,q0_t1
19,q0_t1
19,q0_t27
20,q0_t1039
20,q0_t1040
20,q11_t1039
20,q11_t1040
21,q0_t1039
21,q0_t996
22,q0_t1040
22,q0_t1041
23,q0_t1041
23,q0_t1042
24,q0_t1042
24,q0_t1043
24,q12_t1042
24,q12_t1043
25,q0_t1043
25,q0_t1044
26,q0_t1044
26,q0_t1045
27,q0_t1045
27,q0_t1046
27,q11_t1045
27,q11_t1046
28,q0_t1046
28,q0_t1047
29,q0_t1047
29,q0_t1048
30,q0_t1048
30,q0_t1049
30,q12_t1048
30,q12_t1049
31,q0_t1049
31,q0_t1050
32,q0_t1050
32,q0_t1051
33,q0_t1051
33,q0_t1052
33,q11_t1051
33,q11_t1052
34,q0_t1052
34,q0_t1053
35,q0_t1053
35,q0_t1054
36,q0_t1054
36,q0_t1055
36,q13_t1054
36,q13_t1055
37,q0_t1055
37,q0_t1056
38,q0_t1056
38,q0_t1057
39,q0_t1057
39,q0_t1058
39,q11_t1057
39,q11_t1058
40,q0_t1058
40,q0_t1059
41,q0_t1059
41,q0_t1060
42,q0_t1060
42,q0_t1061
42,q13_t1060
42,q13_t1061
43,q0_t1061
43,q0_t1062
44,q0_t1062
44,q0_t1063
45,q0_t1063
45,q0_t1064
45,q11_t1063
45,q11_t1064
46,q0_t1064
46,q0_t1065
47,q0_t1065
47,q0_t1066
48,q0_t1066
48,q0_t1067
48,q14_t1066
48,q14_t1067
49,q0_t1067
49,q0_t1068
50,q0_t1068
50,q0_t1069
51,q0_t1069
51,q0_t1070
51,q11_t1069
51,q11_t1070
52,q0_t1070
52,q0_t1071
53,q0_t1071
53,q0_t1072
54,q0_t1072
54,q0_t1073
54,q14_t1072
54,q14_t1073
55,q0_t1073
55,q0_t1074
56,q0_t1074
56,q0_t1075
57,q0_t1075
57,q0_t1076
57,q11_t1075
57,q11_t1076
58,q0_t1076
58,q0_t1077
59,q0_t1077
59,q0_t1078
60,q0_t1078
60,q0_t1079
60,q15_t1078
60,q15_t1079
61,q0_t1079
61,q0_t1080
62,q0_t1080
62,q0_t1081
63,q0_t1081
63,q0_t1082
63,q11_t1081
63,q11_t1082
64,q0_t1082
64,q0_t1083
65,q0_t1083
65,q0_t1084
66,q0_t1084
66,q0_t1085
66,q15_t1084
66,q15_t1085
67,q0_t1085
67,q0_t1086
68,q0_t1086
68,q0_t1087
69,q0_t1087
69,q0_t1088
69,q11_t1087
69,q11_t1088
70,q0_t1088
70,q0_t1089
71,q0_t1089
71,q0_t1090
72,q0_t1090
72,q0_t1091
72,q16_t1090
72,q16_t1091
73,q0_t1091
73,q0_t1092
74,q0_t1092
74,q0_t1093
75,q0_t1093
75,q0_t1094
75,q11_t1093
75,q11_t1094
76,q0_t1094
76,q0_t1095
77,q0_t1095
77,q0_t1096
78,q0_t1096
78,q0_t1097
78,q16_t1096
78,q16_t1097
79,q0_t1097
79,q0_t1098
80,q0_t1098
80,q0_t1102
81,q0_t1102
81,q0_t1103
81,q12_t1102
81,q12_t1103
81,q8_t1102
81,q8_t1103
82,q0_t1103
82,q0_t1104
83,q0_t1104
83,q0_t1105
84,q0_t1105
84,q0_t1106
84,q13_t1105
84,q13_t1106
84,q9_t1105
84,q9_t1106
85,q0_t1106
85,q0_t1107
86,q0_t1107
86,q0_t1108
87,q0_t1108
87,q0_t1109
87,q10_t1108
87,q10_t1109
87,q14_t1108
87,q14_t1109
88,q0_t1109
88,q0_t1110
89,q0_t1110
89,q0_t1111
90,q0_t1111
90,q0_t1112
90,q11_t1111
90,q11_t1112
90,q15_t1111
90,q15_t1112
91,q0_t1112
91,q0_t1113
92,q0_t1113
92,q0_t1139
93,q0_t1139
93,q0_t1140
93,q11_t1139
93,q11_t1140
94,q0_t1140
94,q0_t1141
95,q0_t1141
95,q0_t1142
96,q0_t1142
96,q0_t1143
96,q12_t1142
96,q12_t1143
97,q0_t1143
97,q0_t1144
98,q0_t1144
98,q0_t1145
99,q0_t1145
99,q0_t1146
99,q11_t1145
99,q11_t1146
100,q0_t1146
100,q0_t1147
101,q0_t1147
101,q0_t1148
102,q0_t1148
102,q0_t1149
102,q12_t1148
102,q12_t1149
103,q0_t1149
103,q0_t1150
104,q0_t1150
104,q0_t1151
105,q0_t1151
105,q0_t1152
105,q11_t1151
105,q11_t1152
106,q0_t1152
106,q0_t1153
107,q0_t1153
107,q0_t1154
108,q0_t1154
108,q0_t1155
108,q13_t1154
108,q13_t1155
109,q0_t1155
109,q0_t1156
110,q0_t1156
110,q0_t1157
111,q0_t1157
111,q0_t1158
111,q11_t1157
111,q11_t1158
112,q0_t1158
112,q0_t1159
113,q0_t1159
113,q0_t1160
114,q0_t1160
114,q0_t1161
114,q13_t1160
114,q13_t1161
115,q0_t1161
115,q0_t1162
116,q0_t1162
116,q0_t1163
117,q0_t1163
117,q0_t1164
117,q11_t1163
117,q11_t1164
118,q0_t1164
118,q0_t1165
119,q0_t1165
119,q0_t1166
120,q0_t1166
120,q0_t1167
120,q14_t1166
120,q14_t1167
121,q0_t1167
121,q0_t1168
122,q0_t1168
122,q0_t1169
123,q0_t1169
123,q0_t1170
123,q11_t1169
123,q11_t1170
124,q0_t1170
124,q0_t1171
125,q0_t1171
125,q0_t1172
126,q0_t1172
126,q0_t1173
126,q14_t1172
126,q14_t1173
127,q0_t1173
127,q0_t1174
128,q0_t1174
128,q0_t1175
129,q0_t1175
129,q0_t1176
129,q11_t1175
129,q11_t1176
130,q0_t1176
130,q0_t1177
131,q0_t1177
131,q0_t1178
132,q0_t1178
132,q0_t1179
132,q15_t1178
132,q15_t1179
133,q0_t1179
133,q0_t1180
134,q0_t1180
134,q0_t1181
135,q0_t1181
135,q0_t1182
135,q11_t1181
135,q11_t1182
136,q0_t1182
136,q0_t1183
137,q0_t1183
137,q0_t1184
138,q0_t1184
138,q0_t1185
138,q15_t1184
138,q15_t1185
139,q0_t1185
139,q0_t1186
140,q0_t1186
140,q0_t1187
141,q0_t1187
141,q0_t1188
141,q11_t1187
141,q11_t1188
142,q0_t1188
142,q0_t1189
143,q0_t1189
143,q0_t1190
144,q0_t1190
144,q0_t1191
144,q16_t1190
144,q16_t1191
145,q0_t1191
145,q0_t1192
146,q0_t1192
146,q0_t1193
147,q0_t1193
147,q0_t1194
147,q11_t1193
147,q11_t1194
148,q0_t1194
148,q0_t1195
149,q0_t1195
149,q0_t1196
150,q0_t1196
150,q0_t1197
150,q16_t1196
150,q16_t1197
151,q0_t1197
151,q0_t1198
152,q0_t1198
152,q0_t1241
153,q0_t1241
153,q0_t1242
153,q11_t1241
153,q11_t1242
154,q0_t1242
154,q0_t1243
155,q0_t1243
155,q0_t1244
156,q0_t1244
156,q0_t1245
156,q12_t1244
156,q12_t1245
157,q0_t1245
157,q0_t1246
158,q0_t1246
158,q0_t1247
159,q0_t1247
159,q0_t1248
159,q11_t1247
159,q11_t1248
160,q0_t1248
160,q0_t1249
161,q0_t1249
161,q0_t1250
162,q0_t1250
162,q0_t1251
162,q12_t1250
162,q12_t1251
163,q0_t1251
163,q0_t1252
164,q0_t1252
164,q0_t1253
165,q0_t1253
165,q0_t1254
165,q11_t1253
165,q11_t1254
166,q0_t1254
166,q0_t1255
167,q0_t1255
167,q0_t1256
168,q0_t1256
168,q0_t1257
168,q13_t1256
168,q13_t1257
169,q0_t1257
169,q0_t1258
170,q0_t1258
170,q0_t1259
171,q0_t1259
171,q0_t1260
171,q11_t1259
171,q11_t1260
172,q0_t1260
172,q0_t1261
173,q0_t1261
173,q0_t1262
174,q0_t1262
174,q0_t1263
174,q13_t1262
174,q13_t1263
175,q0_t1263
175,q0_t1264
176,q0_t1264
176,q0_t1265
177,q0_t1265
177,q0_t1266
177,q11_t1265
177,q11_t1266
178,q0_t1266
178,q0_t1267
179,q0_t1267
179,q0_t1268
180,q0_t1268
180,q0_t1269
180,q14_t1268
180,q14_t1269
181,q0_t1269
181,q0_t1270
182,q0_t1270
182,q0_t1271
183,q0_t1271
183,q0_t1272
183,q11_t1271
183,q11_t1272
184,q0_t1272
184,q0_t1273
185,q0_t1273
185,q0_t1274
186,q0_t1274
186,q0_t1275
186,q14_t1274
186,q14_t1275
187,q0_t1275
187,q0_t1276
188,q0_t1276
188,q0_t1277
189,q0_t1277
189,q0_t1278
189,q11_t1277
189,q11_t1278
190,q0_t1278
190,q0_t1279
191,q0_t1279
191,q0_t1280
192,q0_t1280
192,q0_t1281
192,q15_t1280
192,q15_t1281
193,q0_t1281
193,q0_t1282
194,q0_t1282
194,q0_t1283
195,q0_t1283
195,q0_t1284
195,q11_t1283
195,q11_t1284
196,q0_t1284
196,q0_t1285
197,q0_t1285
197,q0_t1286
198,q0_t1286
198,q0_t1287
198,q15_t1286
198,q15_t1287
199,q0_t1287
199,q0_t1288
200,q0_t1288
200,q0_t1289
201,q0_t1289
201,q0_t1290
201,q11_t1289
201,q11_t1290
202,q0_t1290
202,q0_t1291
203,q0_t1291
203,q0_t1292
204,q0_t1292
204,q0_t1293
204,q16_t1292
204,q16_t1293
205,q0_t1293
205,q0_t1294
206,q0_t1294
206,q0_t1295
207,q0_t1295
207,q0_t1296
207,q11_t1295
207,q11_t1296
208,q0_t1296
208,q0_t1297
209,q0_t1297
209,q0_t1298
210,q0_t1298
210,q0_t1299
210,q16_t1298
210,q16_t1299
211,q0_t1299
211,q0_t1300
212,q0_t1300
212,q0_t1346
213,q0_t133
213,q0_t134
213,q8_t133
213,q8_t134
214,q0_t133
214,q0_t86
215,q0_t134
215,q0_t135
216,q0_t1346
216,q0_t1347
216,q11_t1346
216,q11_t1347
217,q0_t1347
217,q0_t1348
218,q0_t1348
218,q0_t1349
219,q0_t1349
219,q0_t1350
219,q12_t1349
219,q12_t1350
220,q0_t135
220,q0_t136
221,q0_t1350
221,q0_t1351
222,q0_t1351
222,q0_t1352
223,q0_t1352
223,q0_t1353
223,q11_t1352
223,q11_t1353
224,q0_t1353
224,q0_t1354
225,q0_t1354
225,q0_t1355
226,q0_t1355
226,q0_t1356
226,q12_t1355
226,q12_t1356
227,q0_t1356
227,q0_t1357
228,q0_t1357
228,q0_t1358
229,q0_t1358
229,q0_t1359
229,q11_t1358
229,q11_t1359
230,q0_t1359
230,q0_t1360
231,q0_t136
231,q0_t137
231,q12_t136
231,q12_t137
232,q0_t1360
232,q0_t1361
