edge_index,node_id
0,c0_t1037
0,q0_t1036
1,c100_t1337
1,q100_t1336
2,c101_t1340
2,q101_t1339
3,c102_t1343
3,q102_t1342
4,c103_t1346
4,q103_t1345
5,c104_t1349
5,q104_t1348
6,c105_t1352
6,q105_t1351
7,c106_t1355
7,q106_t1354
8,c107_t1358
8,q107_t1357
9,c108_t1361
9,q108_t1360
10,c109_t1364
10,q109_t1363
11,c10_t1067
11,q10_t1066
12,c110_t1367
12,q110_t1366
13,c111_t1370
13,q111_t1369
14,c112_t1373
14,q112_t1372
15,c113_t1376
15,q113_t1375
16,c114_t1376
16,q114_t1375
17,c11_t1070
17,q11_t1069
18,c12_t1073
18,q12_t1072
19,c13_t1076
19,q13_t1075
20,c14_t1079
20,q14_t1078
21,c15_t1082
21,q15_t1081
22,c16_t1085
22,q16_t1084
23,c17_t1088
23,q17_t1087
24,c18_t1091
24,q18_t1090
25,c19_t1094
25,q19_t1093
26,c1_t1040
26,q1_t1039
27,c20_t1097
27,q20_t1096
28,c21_t1100
28,q21_t1099
29,c22_t1103
29,q22_t1102
30,c23_t1106
30,q23_t1105
31,c24_t1109
31,q24_t1108
32,c25_t1112
32,q25_t1111
33,c26_t1115
33,q26_t1114
34,c27_t1118
34,q27_t1117
35,c28_t1121
35,q28_t1120
36,c29_t1124
36,q29_t1123
37,c2_t1043
37,q2_t1042
38,c30_t1127
38,q30_t1126
39,c31_t1130
39,q31_t1129
40,c32_t1133
40,q32_t1132
41,c33_t1136
41,q33_t1135
42,c34_t1139
42,q34_t1138
43,c35_t1142
43,q35_t1141
44,c36_t1145
44,q36_t1144
45,c37_t1148
45,q37_t1147
46,c38_t1151
46,q38_t1150
47,c39_t1154
47,q39_t1153
48,c3_t1046
48,q3_t1045
49,c40_t1157
49,q40_t1156
50,c41_t1160
50,q41_t1159
51,c42_t1163
51,q42_t1162
52,c43_t1166
52,q43_t1165
53,c44_t1169
53,q44_t1168
54,c45_t1172
54,q45_t1171
55,c46_t1175
55,q46_t1174
56,c47_t1178
56,q47_t1177
57,c48_t1181
57,q48_t1180
58,c49_t1184
58,q49_t1183
59,c4_t1049
59,q4_t1048
60,c50_t1187
60,q50_t1186
61,c51_t1190
61,q51_t1189
62,c52_t1193
62,q52_t1192
63,c53_t1196
63,q53_t1195
64,c54_t1199
64,q54_t1198
65,c55_t1202
65,q55_t1201
66,c56_t1205
66,q56_t1204
67,c57_t1208
67,q57_t1207
68,c58_t1211
68,q58_t1210
69,c59_t1214
69,q59_t1213
70,c5_t1052
70,q5_t1051
71,c60_t1217
71,q60_t1216
72,c61_t1220
72,q61_t1219
73,c62_t1223
73,q62_t1222
74,c63_t1226
74,q63_t1225
75,c64_t1229
75,q64_t1228
76,c65_t1232
76,q65_t1231
77,c66_t1235
77,q66_t1234
78,c67_t1238
78,q67_t1237
79,c68_t1241
79,q68_t1240
80,c69_t1244
80,q69_t1243
81,c6_t1055
81,q6_t1054
82,c70_t1247
82,q70_t1246
83,c71_t1250
83,q71_t1249
84,c72_t1253
84,q72_t1252
85,c73_t1256
85,q73_t1255
86,c74_t1259
86,q74_t1258
87,c75_t1262
87,q75_t1261
88,c76_t1265
88,q76_t1264
89,c77_t1268
