edge_index,node_id
0,c0_t34
0,q0_t33
1,c1_t37
1,q1_t36
2,c2_t40
2,q2_t39
3,c3_t40
3,q3_t39
4,q0_t0
4,q0_t1
5,q0_t1
5,q0_t2
6,q0_t10
6,q0_t11
7,q0_t10
7,q0_t9
7,q1_t10
7,q1_t9
8,q0_t11
8,q0_t12
9,q0_t12
9,q0_t16
10,q0_t16
10,q0_t17
10,q1_t16
10,q1_t17
11,q0_t17
11,q0_t18
12,q0_t18
12,q0_t19
13,q0_t19
13,q0_t23
14,q0_t2
14,q0_t3
14,q1_t2
14,q1_t3
15,q0_t23
15,q0_t24
15,q1_t23
15,q1_t24
16,q0_t24
16,q0_t25
17,q0_t25
17,q0_t26
18,q0_t26
18,q0_t30
19,q0_t3
19,q0_t4
20,q0_t30
20,q0_t31
20,q1_t30
20,q1_t31
21,q0_t31
21,q0_t32
22,q0_t32
22,q0_t33
23,q0_t4
23,q0_t5
24,q0_t5
24,q0_t9
25,q1_t0
25,q1_t1
26,q1_t1
26,q1_t2
27,q1_t10
27,q1_t11
28,q1_t11
28,q1_t12
29,q1_t12
29,q1_t13
29,q2_t12
29,q2_t13
30,q1_t13
30,q1_t14
31,q1_t14
31,q1_t15
32,q1_t15
32,q1_t16
33,q1_t17
33,q1_t18
34,q1_t18
34,q1_t19
35,q1_t19
35,q1_t20
35,q2_t19
35,q2_t20
36,q1_t20
36,q1_t21
37,q1_t21
37,q1_t22
38,q1_t22
38,q1_t23
39,q1_t24
39,q1_t25
40,q1_t25
40,q1_t26
41,q1_t26
41,q1_t27
41,q2_t26
41,q2_t27
42,q1_t27
42,q1_t28
43,q1_t28
43,q1_t29
44,q1_t29
44,q1_t30
45,q1_t3
45,q1_t4
46,q1_t31
46,q1_t32
47,q1_t32
47,q1_t33
48,q1_t33
48,q1_t34
48,q2_t33
48,q2_t34
49,q1_t34
49,q1_t35
50,q1_t35
50,q1_t36
51,q1_t4
51,q1_t5
52,q1_t5
52,q1_t6
52,q2_t5
52,q2_t6
53,q1_t6
53,q1_t7
54,q1_t7
54,q1_t8
55,q1_t8
55,q1_t9
56,q2_t0
56,q2_t1
57,q2_t1
57,q2_t5
58,q2_t10
58,q2_t11
59,q2_t10
59,q2_t9
60,q2_t11
60,q2_t12
61,q2_t13
61,q2_t14
62,q2_t14
62,q2_t15
63,q2_t15
63,q2_t16
63,q3_t15
63,q3_t16
64,q2_t16
64,q2_t17
65,q2_t17
65,q2_t18
66,q2_t18
66,q2_t19
67,q2_t20
67,q2_t21
68,q2_t21
68,q2_t22
69,q2_t22
69,q2_t23
69,q3_t22
69,q3_t23
70,q2_t23
70,q2_t24
71,q2_t24
71,q2_t25
72,q2_t25
72,q2_t26
73,q2_t27
73,q2_t28
74,q2_t28
74,q2_t29
75,q2_t29
75,q2_t30
75,q3_t29
75,q3_t30
76,q2_t30
76,q2_t31
77,q2_t31
77,q2_t32
78,q2_t32
78,q2_t33
79,q2_t34
79,q2_t35
80,q2_t35
80,q2_t36
81,q2_t36
81,q2_t37
81,q3_t36
81,q3_t37
82,q2_t37
82,q2_t38
83,q2_t38
83,q2_t39
84,q2_t6
84,q2_t7
85,q2_t7
85,q2_t8
86,q2_t8
86,q2_t9
86,q3_t8
86,q3_t9
87,q3_t0
87,q3_t1
88,q3_t1
88,q3_t8
89,q3_t10
89,q3_t11
90,q3_t10
90,q3_t9
91,q3_t11
91,q3_t15
92,q3_t16
92,q3_t17
93,q3_t17
93,q3_t18
94,q3_t18
94,q3_t22
95,q3_t23
95,q3_t24
96,q3_t24
96,q3_t25
97,q3_t25
97,q3_t29
98,q3_t30
98,q3_t31
99,q3_t31
99,q3_t32
100,q3_t32
100,q3_t36
101,q3_t37
101,q3_t38
102,q3_t38
102,q3_t39
