node_id,type,time,realisation
c0_t1100,c,1100,a
c100_t1400,c,1400,a
c101_t1403,c,1403,a
c102_t1406,c,1406,a
c103_t1409,c,1409,a
c104_t1412,c,1412,a
c105_t1415,c,1415,a
c106_t1418,c,1418,a
c107_t1421,c,1421,a
c108_t1424,c,1424,a
c109_t1427,c,1427,a
c10_t1130,c,1130,a
c110_t1430,c,1430,a
c111_t1433,c,1433,a
c112_t1436,c,1436,a
c113_t1439,c,1439,a
c114_t1442,c,1442,a
c115_t1445,c,1445,a
c116_t1448,c,1448,a
c117_t1451,c,1451,a
c118_t1454,c,1454,a
c119_t1457,c,1457,a
c11_t1133,c,1133,a
c120_t1460,c,1460,a
c121_t1460,c,1460,a
c12_t1136,c,1136,a
c13_t1139,c,1139,a
c14_t1142,c,1142,a
c15_t1145,c,1145,a
c16_t1148,c,1148,a
c17_t1151,c,1151,a
c18_t1154,c,1154,a
c19_t1157,c,1157,a
c1_t1103,c,1103,a
c20_t1160,c,1160,a
c21_t1163,c,1163,a
c22_t1166,c,1166,a
c23_t1169,c,1169,a
c24_t1172,c,1172,a
c25_t1175,c,1175,a
c26_t1178,c,1178,a
c27_t1181,c,1181,a
c28_t1184,c,1184,a
c29_t1187,c,1187,a
c2_t1106,c,1106,a
c30_t1190,c,1190,a
c31_t1193,c,1193,a
c32_t1196,c,1196,a
c33_t1199,c,1199,a
c34_t1202,c,1202,a
c35_t1205,c,1205,a
c36_t1208,c,1208,a
c37_t1211,c,1211,a
c38_t1214,c,1214,a
c39_t1217,c,1217,a
c3_t1109,c,1109,a
c40_t1220,c,1220,a
c41_t1223,c,1223,a
c42_t1226,c,1226,a
c43_t1229,c,1229,a
c44_t1232,c,1232,a
c45_t1235,c,1235,a
c46_t1238,c,1238,a
c47_t1241,c,1241,a
c48_t1244,c,1244,a
c49_t1247,c,1247,a
c4_t1112,c,1112,a
c50_t1250,c,1250,a
c51_t1253,c,1253,a
c52_t1256,c,1256,a
c53_t1259,c,1259,a
c54_t1262,c,1262,a
c55_t1265,c,1265,a
c56_t1268,c,1268,a
c57_t1271,c,1271,a
c58_t1274,c,1274,a
c59_t1277,c,1277,a
c5_t1115,c,1115,a
c60_t1280,c,1280,a
c61_t1283,c,1283,a
c62_t1286,c,1286,a
c63_t1289,c,1289,a
c64_t1292,c,1292,a
c65_t1295,c,1295,a
c66_t1298,c,1298,a
c67_t1301,c,1301,a
c68_t1304,c,1304,a
c69_t1307,c,1307,a
c6_t1118,c,1118,a
c70_t1310,c,1310,a
c71_t1313,c,1313,a
c72_t1316,c,1316,a
c73_t1319,c,1319,a
c74_t1322,c,1322,a
c75_t1325,c,1325,a
c76_t1328,c,1328,a
c77_t1331,c,1331,a
c78_t1334,c,1334,a
c79_t1337,c,1337,a
c7_t1121,c,1121,a
c80_t1340,c,1340,a
c81_t1343,c,1343,a
c82_t1346,c,1346,a
c83_t1349,c,1349,a
c84_t1352,c,1352,a
c85_t1355,c,1355,a
c86_t1358,c,1358,a
c87_t1361,c,1361,a
c88_t1364,c,1364,a
c89_t1367,c,1367,a
c8_t1124,c,1124,a
c90_t1370,c,1370,a
c91_t1373,c,1373,a
c92_t1376,c,1376,a
c93_t1379,c,1379,a
c94_t1382,c,1382,a
c95_t1385,c,1385,a
c96_t1388,c,1388,a
c97_t1391,c,1391,a
c98_t1394,c,1394,a
c99_t1397,c,1397,a
c9_t1127,c,1127,a
q0_t0,q,0,a
q0_t1,q,1,a
q0_t10,q,10,a
q0_t100,q,100,a
q0_t1000,q,1000,a
q0_t1001,q,1001,a
q0_t1002,q,1002,a
q0_t1003,q,1003,a
q0_t1004,q,1004,a
q0_t1005,q,1005,a
q0_t1006,q,1006,a
q0_t1007,q,1007,a
q0_t1008,q,1008,a
q0_t1009,q,1009,a
q0_t101,q,101,a
q0_t1010,q,1010,a
q0_t1011,q,1011,a
q0_t1012,q,1012,a
q0_t1013,q,1013,a
q0_t1014,q,1014,a
q0_t1015,q,1015,a
q0_t1016,q,1016,a
q0_t1017,q,1017,a
q0_t1018,q,1018,a
q0_t1019,q,1019,a
q0_t102,q,102,a
q0_t1020,q,1020,a
q0_t1021,q,1021,a
q0_t1022,q,1022,a
q0_t1023,q,1023,a
q0_t1024,q,1024,a
q0_t1025,q,1025,a
q0_t1026,q,1026,a
q0_t1027,q,1027,a
q0_t1028,q,1028,a
q0_t1029,q,1029,a
q0_t103,q,103,a
q0_t1030,q,1030,a
q0_t1031,q,1031,a
q0_t1032,q,1032,a
q0_t1033,q,1033,a
q0_t1034,q,1034,a
q0_t1035,q,1035,a
q0_t1036,q,1036,a
q0_t1037,q,1037,a
q0_t1038,q,1038,a
q0_t1039,q,1039,a
q0_t104,q,104,a
q0_t1040,q,1040,a
q0_t1041,q,1041,a
q0_t1042,q,1042,a
q0_t1043,q,1043,a
q0_t1044,q,1044,a
q0_t1045,q,1045,a
q0_t1046,q,1046,a
q0_t1047,q,1047,a
q0_t1048,q,1048,a
q0_t1049,q,1049,a
q0_t105,q,105,a
q0_t1050,q,1050,a
q0_t1051,q,1051,a
q0_t1052,q,1052,a
q0_t1053,q,1053,a
q0_t1054,q,1054,a
q0_t1055,q,1055,a
q0_t1056,q,1056,a
q0_t1057,q,1057,a
q0_t1058,q,1058,a
q0_t1059,q,1059,a
q0_t106,q,106,a
q0_t1060,q,1060,a
q0_t1061,q,1061,a
q0_t1062,q,1062,a
q0_t1063,q,1063,a
q0_t1064,q,1064,a
q0_t1065,q,1065,a
q0_t1066,q,1066,a
q0_t1067,q,1067,a
q0_t1068,q,1068,a
q0_t1069,q,1069,a
q0_t107,q,107,a
q0_t1070,q,1070,a
q0_t1071,q,1071,a
q0_t1072,q,1072,a
q0_t1073,q,1073,a
q0_t1074,q,1074,a
q0_t1075,q,1075,a
q0_t1076,q,1076,a
q0_t1077,q,1077,a
q0_t1078,q,1078,a
q0_t1079,q,1079,a
q0_t108,q,108,a
q0_t1080,q,1080,a
q0_t1081,q,1081,a
q0_t1082,q,1082,a
q0_t1083,q,1083,a
q0_t1084,q,1084,a
q0_t1085,q,1085,a
q0_t1086,q,1086,a
q0_t1087,q,1087,a
q0_t1088,q,1088,a
q0_t1089,q,1089,a
q0_t109,q,109,a
q0_t1090,q,1090,a
q0_t1091,q,1091,a
q0_t1092,q,1092,a
q0_t1093,q,1093,a
q0_t1094,q,1094,a
q0_t1095,q,1095,a
q0_t1096,q,1096,a
q0_t1097,q,1097,a
q0_t1098,q,1098,a
q0_t1099,q,1099,a
q0_t11,q,11,a
q0_t110,q,110,a
q0_t111,q,111,a
q0_t112,q,112,a
q0_t113,q,113,a
q0_t114,q,114,a
q0_t115,q,115,a
q0_t116,q,116,a
q0_t117,q,117,a
q0_t118,q,118,a
q0_t119,q,119,a
q0_t12,q,12,a
q0_t120,q,120,a
q0_t121,q,121,a
q0_t122,q,122,a
q0_t123,q,123,a
q0_t124,q,124,a
q0_t125,q,125,a
q0_t126,q,126,a
q0_t127,q,127,a
q0_t128,q,128,a
q0_t129,q,129,a
q0_t13,q,13,a
q0_t130,q,130,a
q0_t131,q,131,a
q0_t132,q,132,a
q0_t133,q,133,a
q0_t134,q,134,a
q0_t135,q,135,a
q0_t136,q,136,a
q0_t137,q,137,a
q0_t138,q,138,a
q0_t139,q,139,a
q0_t14,q,14,a
q0_t140,q,140,a
q0_t141,q,141,a
q0_t142,q,142,a
q0_t143,q,143,a
q0_t144,q,144,a
q0_t145,q,145,a
q0_t146,q,146,a
q0_t147,q,147,a
q0_t148,q,148,a
q0_t149,q,149,a
q0_t15,q,15,a
q0_t150,q,150,a
q0_t151,q,151,a
q0_t152,q,152,a
q0_t153,q,153,a
q0_t154,q,154,a
q0_t155,q,155,a
q0_t156,q,156,a
q0_t157,q,157,a
q0_t158,q,158,a
q0_t159,q,159,a
q0_t16,q,16,a
q0_t160,q,160,a
q0_t161,q,161,a
q0_t162,q,162,a
q0_t163,q,163,a
q0_t164,q,164,a
q0_t165,q,165,a
q0_t166,q,166,a
q0_t167,q,167,a
q0_t168,q,168,a
q0_t169,q,169,a
q0_t17,q,17,a
q0_t170,q,170,a
q0_t171,q,171,a
q0_t172,q,172,a
q0_t173,q,173,a
q0_t174,q,174,a
q0_t175,q,175,a
q0_t176,q,176,a
q0_t177,q,177,a
q0_t178,q,178,a
q0_t179,q,179,a
q0_t18,q,18,a
q0_t180,q,180,a
q0_t181,q,181,a
q0_t182,q,182,a
q0_t183,q,183,a
q0_t184,q,184,a
q0_t185,q,185,a
q0_t186,q,186,a
q0_t187,q,187,a
q0_t188,q,188,a
q0_t189,q,189,a
q0_t19,q,19,a
q0_t190,q,190,a
q0_t191,q,191,a
q0_t192,q,192,a
q0_t193,q,193,a
q0_t194,q,194,a
q0_t195,q,195,a
q0_t196,q,196,a
q0_t197,q,197,a
q0_t198,q,198,a
q0_t199,q,199,a
q0_t2,q,2,a
q0_t20,q,20,a
q0_t200,q,200,a
q0_t201,q,201,a
q0_t202,q,202,a
q0_t203,q,203,a
q0_t204,q,204,a
q0_t205,q,205,a
q0_t206,q,206,a
q0_t207,q,207,a
q0_t208,q,208,a
q0_t209,q,209,a
q0_t21,q,21,a
q0_t210,q,210,a
q0_t211,q,211,a
q0_t212,q,212,a
q0_t213,q,213,a
q0_t214,q,214,a
q0_t215,q,215,a
q0_t216,q,216,a
q0_t217,q,217,a
q0_t218,q,218,a
q0_t219,q,219,a
q0_t22,q,22,a
q0_t220,q,220,a
q0_t221,q,221,a
q0_t222,q,222,a
q0_t223,q,223,a
q0_t224,q,224,a
q0_t225,q,225,a
q0_t226,q,226,a
q0_t227,q,227,a
q0_t228,q,228,a
q0_t229,q,229,a
q0_t23,q,23,a
q0_t230,q,230,a
q0_t231,q,231,a
q0_t232,q,232,a
q0_t233,q,233,a
q0_t234,q,234,a
q0_t235,q,235,a
q0_t236,q,236,a
q0_t237,q,237,a
q0_t238,q,238,a
q0_t239,q,239,a
q0_t24,q,24,a
q0_t240,q,240,a
q0_t241,q,241,a
q0_t242,q,242,a
q0_t243,q,243,a
q0_t244,q,244,a
q0_t245,q,245,a
q0_t246,q,246,a
q0_t247,q,247,a
q0_t248,q,248,a
q0_t249,q,249,a
q0_t25,q,25,a
q0_t250,q,250,a
q0_t251,q,251,a
q0_t252,q,252,a
q0_t253,q,253,a
q0_t254,q,254,a
q0_t255,q,255,a
q0_t256,q,256,a
q0_t257,q,257,a
q0_t258,q,258,a
q0_t259,q,259,a
q0_t26,q,26,a
q0_t260,q,260,a
q0_t261,q,261,a
q0_t262,q,262,a
q0_t263,q,263,a
