edge_index,node_id
0,c0_t65
0,q0_t64
1,c1_t68
1,q1_t67
2,c2_t71
2,q2_t70
3,c3_t74
3,q3_t73
4,c4_t77
4,q4_t76
5,c5_t80
5,q5_t79
6,c6_t80
6,q6_t79
7,q0_t0
7,q0_t1
8,q0_t1
8,q0_t2
9,q0_t10
9,q0_t11
10,q0_t10
10,q0_t9
11,q0_t11
11,q0_t12
11,q4_t11
11,q4_t12
12,q0_t12
12,q0_t13
13,q0_t13
13,q0_t14
14,q0_t14
14,q0_t15
14,q5_t14
14,q5_t15
15,q0_t15
15,q0_t16
16,q0_t16
16,q0_t17
17,q0_t17
17,q0_t18
17,q6_t17
17,q6_t18
18,q0_t18
18,q0_t19
19,q0_t19
19,q0_t20
20,q0_t2
20,q0_t3
20,q1_t2
20,q1_t3
21,q0_t20
21,q0_t24
22,q0_t24
22,q0_t25
22,q1_t24
22,q1_t25
23,q0_t25
23,q0_t26
24,q0_t26
24,q0_t27
25,q0_t27
25,q0_t28
25,q2_t27
25,q2_t28
26,q0_t28
26,q0_t29
27,q0_t29
27,q0_t30
28,q0_t3
28,q0_t4
29,q0_t30
29,q0_t31
29,q3_t30
29,q3_t31
30,q0_t31
30,q0_t32
31,q0_t32
31,q0_t33
32,q0_t33
32,q0_t34
32,q4_t33
32,q4_t34
33,q0_t34
33,q0_t35
34,q0_t35
34,q0_t36
35,q0_t36
35,q0_t37
35,q5_t36
35,q5_t37
36,q0_t37
36,q0_t38
37,q0_t38
37,q0_t39
38,q0_t39
38,q0_t40
38,q6_t39
38,q6_t40
39,q0_t4
39,q0_t5
40,q0_t40
40,q0_t41
41,q0_t41
41,q0_t42
42,q0_t42
42,q0_t46
43,q0_t46
43,q0_t47
43,q1_t46
43,q1_t47
44,q0_t47
44,q0_t48
45,q0_t48
45,q0_t49
46,q0_t49
46,q0_t50
46,q2_t49
46,q2_t50
47,q0_t5
47,q0_t6
47,q2_t5
47,q2_t6
48,q0_t50
48,q0_t51
49,q0_t51
49,q0_t52
50,q0_t52
50,q0_t53
50,q3_t52
50,q3_t53
51,q0_t53
51,q0_t54
52,q0_t54
52,q0_t55
53,q0_t55
53,q0_t56
53,q4_t55
53,q4_t56
54,q0_t56
54,q0_t57
55,q0_t57
55,q0_t58
56,q0_t58
56,q0_t59
56,q5_t58
56,q5_t59
57,q0_t59
57,q0_t60
58,q0_t6
58,q0_t7
59,q0_t60
59,q0_t61
60,q0_t61
60,q0_t62
60,q6_t61
60,q6_t62
61,q0_t62
61,q0_t63
62,q0_t63
62,q0_t64
63,q0_t7
63,q0_t8
64,q0_t8
64,q0_t9
64,q3_t8
64,q3_t9
65,q1_t0
65,q1_t1
66,q1_t1
66,q1_t2
67,q1_t10
67,q1_t11
68,q1_t10
68,q1_t9
69,q1_t11
69,q1_t12
69,q3_t11
69,q3_t12
70,q1_t12
70,q1_t13
71,q1_t13
71,q1_t14
72,q1_t14
72,q1_t15
72,q4_t14
72,q4_t15
73,q1_t15
73,q1_t16
74,q1_t16
74,q1_t17
75,q1_t17
75,q1_t18
75,q5_t17
75,q5_t18
76,q1_t18
76,q1_t19
77,q1_t19
77,q1_t20
78,q1_t20
78,q1_t21
78,q6_t20
78,q6_t21
79,q1_t21
79,q1_t22
80,q1_t22
80,q1_t23
81,q1_t23
81,q1_t24
82,q1_t25
82,q1_t26
83,q1_t26
83,q1_t30
84,q1_t3
84,q1_t4
85,q1_t30
85,q1_t31
85,q2_t30
85,q2_t31
86,q1_t31
86,q1_t32
87,q1_t32
87,q1_t33
88,q1_t33
88,q1_t34
88,q3_t33
88,q3_t34
89,q1_t34
89,q1_t35
90,q1_t35
90,q1_t36
91,q1_t36
91,q1_t37
91,q4_t36
91,q4_t37
92,q1_t37
92,q1_t38
93,q1_t38
93,q1_t39
94,q1_t39
94,q1_t40
94,q5_t39
94,q5_t40
95,q1_t4
95,q1_t8
96,q1_t40
96,q1_t41
97,q1_t41
97,q1_t42
98,q1_t42
98,q1_t43
98,q6_t42
98,q6_t43
99,q1_t43
99,q1_t44
100,q1_t44
100,q1_t45
101,q1_t45
101,q1_t46
102,q1_t47
102,q1_t48
103,q1_t48
103,q1_t52
104,q1_t52
104,q1_t53
104,q2_t52
104,q2_t53
105,q1_t53
105,q1_t54
106,q1_t54
106,q1_t55
107,q1_t55
107,q1_t56
107,q3_t55
107,q3_t56
108,q1_t56
108,q1_t57
109,q1_t57
109,q1_t58
110,q1_t58
110,q1_t59
110,q4_t58
110,q4_t59
111,q1_t59
111,q1_t60
112,q1_t60
112,q1_t61
113,q1_t61
113,q1_t62
113,q5_t61
113,q5_t62
114,q1_t62
114,q1_t63
115,q1_t63
115,q1_t64
116,q1_t64
116,q1_t65
116,q6_t64
116,q6_t65
117,q1_t65
117,q1_t66
118,q1_t66
118,q1_t67
119,q1_t8
119,q1_t9
119,q2_t8
119,q2_t9
120,q2_t0
120,q2_t1
121,q2_t1
121,q2_t5
122,q2_t10
122,q2_t14
123,q2_t10
123,q2_t9
124,q2_t14
124,q2_t15
124,q3_t14
124,q3_t15
125,q2_t15
125,q2_t16
126,q2_t16
126,q2_t17
127,q2_t17
127,q2_t18
127,q4_t17
127,q4_t18
128,q2_t18
128,q2_t19
129,q2_t19
129,q2_t20
130,q2_t20
130,q2_t21
130,q5_t20
130,q5_t21
131,q2_t21
131,q2_t22
132,q2_t22
132,q2_t23
133,q2_t23
133,q2_t24
133,q6_t23
133,q6_t24
134,q2_t24
134,q2_t25
135,q2_t25
135,q2_t26
136,q2_t26
136,q2_t27
137,q2_t28
137,q2_t29
138,q2_t29
138,q2_t30
139,q2_t31
139,q2_t32
140,q2_t32
140,q2_t36
141,q2_t36
141,q2_t37
141,q3_t36
141,q3_t37
142,q2_t37
142,q2_t38
143,q2_t38
143,q2_t39
144,q2_t39
144,q2_t40
144,q4_t39
144,q4_t40
145,q2_t40
145,q2_t41
146,q2_t41
146,q2_t42
147,q2_t42
147,q2_t43
147,q5_t42
147,q5_t43
148,q2_t43
148,q2_t44
149,q2_t44
149,q2_t45
150,q2_t45
150,q2_t46
150,q6_t45
150,q6_t46
151,q2_t46
151,q2_t47
152,q2_t47
152,q2_t48
153,q2_t48
153,q2_t49
154,q2_t50
154,q2_t51
155,q2_t51
155,q2_t52
156,q2_t53
156,q2_t54
157,q2_t54
157,q2_t58
158,q2_t58
158,q2_t59
158,q3_t58
158,q3_t59
159,q2_t59
159,q2_t60
160,q2_t6
160,q2_t7
161,q2_t60
161,q2_t61
162,q2_t61
162,q2_t62
162,q4_t61
162,q4_t62
163,q2_t62
163,q2_t63
164,q2_t63
164,q2_t64
165,q2_t64
165,q2_t65
165,q5_t64
165,q5_t65
166,q2_t65
166,q2_t66
167,q2_t66
167,q2_t67
168,q2_t67
168,q2_t68
168,q6_t67
168,q6_t68
169,q2_t68
169,q2_t69
170,q2_t69
170,q2_t70
171,q2_t7
171,q2_t8
172,q3_t0
172,q3_t1
173,q3_t1
173,q3_t8
174,q3_t10
174,q3_t11
175,q3_t10
175,q3_t9
176,q3_t12
176,q3_t13
177,q3_t13
177,q3_t14
178,q3_t15
178,q3_t16
179,q3_t16
179,q3_t20
180,q3_t20
180,q3_t21
180,q4_t20
180,q4_t21
181,q3_t21
181,q3_t22
182,q3_t22
182,q3_t23
183,q3_t23
183,q3_t24
183,q5_t23
183,q5_t24
184,q3_t24
184,q3_t25
185,q3_t25
185,q3_t26
186,q3_t26
186,q3_t27
186,q6_t26
186,q6_t27
187,q3_t27
187,q3_t28
188,q3_t28
188,q3_t29
189,q3_t29
189,q3_t30
190,q3_t31
190,q3_t32
191,q3_t32
191,q3_t33
192,q3_t34
192,q3_t35
193,q3_t35
193,q3_t36
194,q3_t37
194,q3_t38
195,q3_t38
195,q3_t42
196,q3_t42
196,q3_t43
196,q4_t42
196,q4_t43
197,q3_t43
197,q3_t44
198,q3_t44
198,q3_t45
199,q3_t45
199,q3_t46
199,q5_t45
199,q5_t46
200,q3_t46
200,q3_t47
201,q3_t47
201,q3_t48
202,q3_t48
202,q3_t49
202,q6_t48
202,q6_t49
203,q3_t49
203,q3_t50
204,q3_t50
204,q3_t51
205,q3_t51
205,q3_t52
206,q3_t53
206,q3_t54
207,q3_t54
207,q3_t55
208,q3_t56
208,q3_t57
209,q3_t57
209,q3_t58
210,q3_t59
210,q3_t60
211,q3_t60
211,q3_t64
212,q3_t64
212,q3_t65
212,q4_t64
212,q4_t65
213,q3_t65
213,q3_t66
214,q3_t66
214,q3_t67
215,q3_t67
215,q3_t68
215,q5_t67
215,q5_t68
216,q3_t68
216,q3_t69
217,q3_t69
217,q3_t70
218,q3_t70
218,q3_t71
218,q6_t70
218,q6_t71
219,q3_t71
219,q3_t72
220,q3_t72
220,q3_t73
221,q4_t0
221,q4_t1
222,q4_t1
222,q4_t11
223,q4_t12
223,q4_t13
224,q4_t13
224,q4_t14
225,q4_t15
225,q4_t16
226,q4_t16
226,q4_t17
227,q4_t18
227,q4_t19
228,q4_t19
228,q4_t20
229,q4_t21
229,q4_t22
230,q4_t22
230,q4_t26
231,q4_t26
231,q4_t27
231,q5_t26
231,q5_t27
232,q4_t27
232,q4_t28
233,q4_t28
233,q4_t29
234,q4_t29
234,q4_t30
234,q6_t29
234,q6_t30
235,q4_t30
235,q4_t31
236,q4_t31
236,q4_t32
237,q4_t32
237,q4_t33
238,q4_t34
238,q4_t35
239,q4_t35
239,q4_t36
240,q4_t37
240,q4_t38
241,q4_t38
241,q4_t39
242,q4_t40
242,q4_t41
243,q4_t41
243,q4_t42
244,q4_t43
244,q4_t44
245,q4_t44
245,q4_t48
246,q4_t48
246,q4_t49
246,q5_t48
246,q5_t49
247,q4_t49
247,q4_t50
248,q4_t50
248,q4_t51
249,q4_t51
249,q4_t52
249,q6_t51
249,q6_t52
250,q4_t52
250,q4_t53
251,q4_t53
251,q4_t54
252,q4_t54
252,q4_t55
253,q4_t56
253,q4_t57
254,q4_t57
254,q4_t58
255,q4_t59
255,q4_t60
256,q4_t60
256,q4_t61
257,q4_t62
257,q4_t63
258,q4_t63
258,q4_t64
259,q4_t65
259,q4_t66
260,q4_t66
260,q4_t70
261,q4_t70
261,q4_t71
261,q5_t70
261,q5_t71
262,q4_t71
262,q4_t72
263,q4_t72
263,q4_t73
264,q4_t73
264,q4_t74
264,q6_t73
264,q6_t74
265,q4_t74
265,q4_t75
266,q4_t75
266,q4_t76
267,q5_t0
267,q5_t1
