edge_index,type,realisation,gate_name,role,edge_args,edge_metadata
0,c,a,measure,,,
1,c,a,measure,,,
2,c,a,measure,,,
3,c,a,measure,,,
4,c,a,measure,,,
5,c,a,measure,,,
6,c,a,measure,,,
7,c,a,measure,,,
8,c,a,measure,,,
9,c,a,measure,,,
10,c,a,measure,,,
11,c,a,measure,,,
12,c,a,measure,,,
13,c,a,measure,,,
14,c,a,measure,,,
15,c,a,measure,,,
16,q,a,ry,,"[[[0, 1]], [], [true]]",
17,q,a,cx_stage1,,"[[[0, 46], [1, 46]], [], [true, true]]",
18,q,a,cx_stage2,,"[[[0, 46], [1, 46]], [], [true, true]]",
19,q,a,cx_stage3,,"[[[0, 46], [1, 46]], [], [true, true]]",
20,q,a,ry,,"[[[0, 47]], [], [true]]",
21,q,a,cx_stage1,,"[[[0, 53], [1, 53]], [], [true, true]]",
22,q,a,cx_stage2,,"[[[0, 53], [1, 53]], [], [true, true]]",
23,q,a,cx_stage3,,"[[[0, 53], [1, 53]], [], [true, true]]",
24,q,a,ry,,"[[[0, 54]], [], [true]]",
25,q,a,ry,,"[[[10, 1]], [], [true]]",
26,q,a,cx_stage1,,"[[[10, 16], [11, 16]], [], [true, true]]",
27,q,a,cx_stage2,,"[[[10, 16], [11, 16]], [], [true, true]]",
28,q,a,cx_stage3,,"[[[10, 16], [11, 16]], [], [true, true]]",
29,q,a,cx_stage1,,"[[[9, 19], [10, 19]], [], [true, true]]",
30,q,a,cx_stage2,,"[[[9, 19], [10, 19]], [], [true, true]]",
31,q,a,cx_stage3,,"[[[9, 19], [10, 19]], [], [true, true]]",
32,q,a,ry,,"[[[10, 20]], [], [true]]",
33,q,a,cx_stage1,,"[[[10, 23], [11, 23]], [], [true, true]]",
34,q,a,cx_stage2,,"[[[10, 23], [11, 23]], [], [true, true]]",
35,q,a,cx_stage3,,"[[[10, 23], [11, 23]], [], [true, true]]",
36,q,a,cx_stage1,,"[[[9, 26], [10, 26]], [], [true, true]]",
37,q,a,cx_stage2,,"[[[9, 26], [10, 26]], [], [true, true]]",
38,q,a,cx_stage3,,"[[[9, 26], [10, 26]], [], [true, true]]",
39,q,a,ry,,"[[[10, 27]], [], [true]]",
40,q,a,ry,,"[[[11, 1]], [], [true]]",
41,q,a,cx_stage1,,"[[[11, 13], [12, 13]], [], [true, true]]",
42,q,a,cx_stage2,,"[[[11, 13], [12, 13]], [], [true, true]]",
43,q,a,cx_stage3,,"[[[11, 13], [12, 13]], [], [true, true]]",
44,q,a,cx_stage1,,"[[[10, 16], [11, 16]], [], [true, true]]",
