edge_index,node_id
0,c0_t31
0,q0_t30
1,c1_t31
1,q1_t30
2,c2_t28
2,q2_t27
3,c3_t25
3,q3_t24
4,c4_t22
4,q4_t21
5,c5_t19
5,q5_t18
6,c6_t16
6,q6_t15
7,c7_t13
7,q7_t12
8,q0_t0
8,q0_t1
9,q0_t1
9,q0_t20
10,q0_t20
10,q0_t21
10,q1_t20
10,q1_t21
11,q0_t21
11,q0_t22
12,q0_t22
12,q0_t23
13,q0_t23
13,q0_t27
14,q0_t27
14,q0_t28
14,q1_t27
14,q1_t28
15,q0_t28
15,q0_t29
16,q0_t29
16,q0_t30
17,q1_t0
17,q1_t1
18,q1_t1
18,q1_t17
19,q1_t17
19,q1_t18
19,q2_t17
19,q2_t18
20,q1_t18
20,q1_t19
21,q1_t19
21,q1_t20
22,q1_t21
22,q1_t22
23,q1_t22
23,q1_t23
24,q1_t23
24,q1_t24
25,q1_t24
25,q1_t25
25,q2_t24
25,q2_t25
26,q1_t25
26,q1_t26
27,q1_t26
27,q1_t27
28,q1_t28
28,q1_t29
29,q1_t29
29,q1_t30
30,q2_t0
30,q2_t1
31,q2_t1
31,q2_t14
32,q2_t14
32,q2_t15
32,q3_t14
32,q3_t15
33,q2_t15
33,q2_t16
34,q2_t16
34,q2_t17
35,q2_t18
35,q2_t19
36,q2_t19
36,q2_t20
37,q2_t20
37,q2_t21
38,q2_t21
38,q2_t22
38,q3_t21
38,q3_t22
39,q2_t22
39,q2_t23
40,q2_t23
40,q2_t24
41,q2_t25
41,q2_t26
42,q2_t26
42,q2_t27
43,q3_t0
43,q3_t1
44,q3_t1
44,q3_t11
45,q3_t11
45,q3_t12
45,q4_t11
45,q4_t12
46,q3_t12
46,q3_t13
47,q3_t13
47,q3_t14
48,q3_t15
48,q3_t16
49,q3_t16
49,q3_t17
50,q3_t17
50,q3_t18
51,q3_t18
51,q3_t19
51,q4_t18
51,q4_t19
52,q3_t19
52,q3_t20
53,q3_t20
53,q3_t21
54,q3_t22
54,q3_t23
55,q3_t23
55,q3_t24
56,q4_t0
56,q4_t1
57,q4_t1
57,q4_t8
58,q4_t10
58,q4_t11
59,q4_t10
59,q4_t9
60,q4_t12
60,q4_t13
61,q4_t13
61,q4_t14
62,q4_t14
62,q4_t15
63,q4_t15
63,q4_t16
63,q5_t15
63,q5_t16
64,q4_t16
64,q4_t17
65,q4_t17
65,q4_t18
66,q4_t19
66,q4_t20
67,q4_t20
67,q4_t21
68,q4_t8
68,q4_t9
68,q5_t8
68,q5_t9
69,q5_t0
69,q5_t1
70,q5_t1
70,q5_t5
71,q5_t10
71,q5_t11
72,q5_t10
72,q5_t9
73,q5_t11
73,q5_t12
74,q5_t12
74,q5_t13
74,q6_t12
74,q6_t13
75,q5_t13
75,q5_t14
76,q5_t14
76,q5_t15
77,q5_t16
77,q5_t17
78,q5_t17
78,q5_t18
79,q5_t5
79,q5_t6
79,q6_t5
79,q6_t6
80,q5_t6
80,q5_t7
81,q5_t7
81,q5_t8
82,q6_t0
82,q6_t1
83,q6_t1
83,q6_t2
84,q6_t10
84,q6_t11
85,q6_t10
85,q6_t9
85,q7_t10
85,q7_t9
86,q6_t11
86,q6_t12
87,q6_t13
87,q6_t14
88,q6_t14
88,q6_t15
89,q6_t2
89,q6_t3
89,q7_t2
89,q7_t3
90,q6_t3
90,q6_t4
91,q6_t4
91,q6_t5
92,q6_t6
92,q6_t7
93,q6_t7
93,q6_t8
94,q6_t8
94,q6_t9
95,q7_t0
95,q7_t1
96,q7_t1
96,q7_t2
97,q7_t10
97,q7_t11
98,q7_t11
98,q7_t12
99,q7_t3
99,q7_t4
100,q7_t4
100,q7_t5
101,q7_t5
101,q7_t9
