node_id,type,time,realisation
c0_t463,c,463,a
c100_t68,c,68,a
c101_t64,c,64,a
c102_t60,c,60,a
c103_t56,c,56,a
c104_t52,c,52,a
c105_t48,c,48,a
c106_t44,c,44,a
c107_t40,c,40,a
c108_t36,c,36,a
c109_t32,c,32,a
c10_t428,c,428,a
c110_t28,c,28,a
c111_t24,c,24,a
c112_t20,c,20,a
c113_t16,c,16,a
c114_t12,c,12,a
c11_t424,c,424,a
c12_t420,c,420,a
c13_t416,c,416,a
c14_t412,c,412,a
c15_t408,c,408,a
c16_t404,c,404,a
c17_t400,c,400,a
c18_t396,c,396,a
c19_t392,c,392,a
c1_t463,c,463,a
c20_t388,c,388,a
c21_t384,c,384,a
c22_t380,c,380,a
c23_t376,c,376,a
c24_t372,c,372,a
c25_t368,c,368,a
c26_t364,c,364,a
c27_t360,c,360,a
c28_t356,c,356,a
c29_t352,c,352,a
c2_t460,c,460,a
c30_t348,c,348,a
c31_t344,c,344,a
c32_t340,c,340,a
c33_t336,c,336,a
c34_t332,c,332,a
c35_t328,c,328,a
c36_t324,c,324,a
c37_t320,c,320,a
c38_t316,c,316,a
c39_t312,c,312,a
c3_t456,c,456,a
c40_t308,c,308,a
c41_t304,c,304,a
c42_t300,c,300,a
c43_t296,c,296,a
c44_t292,c,292,a
c45_t288,c,288,a
c46_t284,c,284,a
c47_t280,c,280,a
c48_t276,c,276,a
c49_t272,c,272,a
c4_t452,c,452,a
c50_t268,c,268,a
c51_t264,c,264,a
c52_t260,c,260,a
c53_t256,c,256,a
c54_t252,c,252,a
c55_t248,c,248,a
c56_t244,c,244,a
c57_t240,c,240,a
c58_t236,c,236,a
c59_t232,c,232,a
c5_t448,c,448,a
c60_t228,c,228,a
c61_t224,c,224,a
c62_t220,c,220,a
c63_t216,c,216,a
c64_t212,c,212,a
c65_t208,c,208,a
c66_t204,c,204,a
c67_t200,c,200,a
c68_t196,c,196,a
c69_t192,c,192,a
c6_t444,c,444,a
c70_t188,c,188,a
c71_t184,c,184,a
c72_t180,c,180,a
c73_t176,c,176,a
c74_t172,c,172,a
c75_t168,c,168,a
c76_t164,c,164,a
c77_t160,c,160,a
c78_t156,c,156,a
c79_t152,c,152,a
c7_t440,c,440,a
c80_t148,c,148,a
c81_t144,c,144,a
c82_t140,c,140,a
c83_t136,c,136,a
c84_t132,c,132,a
c85_t128,c,128,a
c86_t124,c,124,a
c87_t120,c,120,a
c88_t116,c,116,a
c89_t112,c,112,a
c8_t436,c,436,a
c90_t108,c,108,a
c91_t104,c,104,a
c92_t100,c,100,a
c93_t96,c,96,a
c94_t92,c,92,a
c95_t88,c,88,a
c96_t84,c,84,a
c97_t80,c,80,a
c98_t76,c,76,a
c99_t72,c,72,a
c9_t432,c,432,a
q0_t0,q,0,a
q0_t1,q,1,a
q0_t454,q,454,a
q0_t455,q,455,a
q0_t456,q,456,a
q0_t457,q,457,a
q0_t460,q,460,a
q0_t461,q,461,a
q0_t462,q,462,a
q100_t0,q,0,a
q100_t1,q,1,a
q100_t54,q,54,a
q100_t55,q,55,a
q100_t56,q,56,a
q100_t57,q,57,a
q100_t58,q,58,a
q100_t59,q,59,a
q100_t60,q,60,a
q100_t61,q,61,a
q100_t62,q,62,a
q100_t63,q,63,a
q100_t65,q,65,a
q100_t66,q,66,a
q100_t67,q,67,a
q101_t0,q,0,a
q101_t1,q,1,a
q101_t50,q,50,a
q101_t51,q,51,a
q101_t52,q,52,a
q101_t53,q,53,a
q101_t54,q,54,a
q101_t55,q,55,a
q101_t56,q,56,a
q101_t57,q,57,a
q101_t58,q,58,a
q101_t59,q,59,a
q101_t61,q,61,a
q101_t62,q,62,a
q101_t63,q,63,a
q102_t0,q,0,a
q102_t1,q,1,a
q102_t46,q,46,a
q102_t47,q,47,a
q102_t48,q,48,a
q102_t49,q,49,a
q102_t50,q,50,a
q102_t51,q,51,a
q102_t52,q,52,a
q102_t53,q,53,a
q102_t54,q,54,a
q102_t55,q,55,a
q102_t57,q,57,a
q102_t58,q,58,a
q102_t59,q,59,a
q103_t0,q,0,a
q103_t1,q,1,a
q103_t42,q,42,a
q103_t43,q,43,a
q103_t44,q,44,a
q103_t45,q,45,a
q103_t46,q,46,a
q103_t47,q,47,a
q103_t48,q,48,a
q103_t49,q,49,a
q103_t50,q,50,a
q103_t51,q,51,a
q103_t53,q,53,a
q103_t54,q,54,a
q103_t55,q,55,a
q104_t0,q,0,a
q104_t1,q,1,a
q104_t38,q,38,a
q104_t39,q,39,a
q104_t40,q,40,a
q104_t41,q,41,a
q104_t42,q,42,a
q104_t43,q,43,a
q104_t44,q,44,a
q104_t45,q,45,a
q104_t46,q,46,a
q104_t47,q,47,a
q104_t49,q,49,a
q104_t50,q,50,a
q104_t51,q,51,a
q105_t0,q,0,a
q105_t1,q,1,a
q105_t34,q,34,a
q105_t35,q,35,a
q105_t36,q,36,a
q105_t37,q,37,a
q105_t38,q,38,a
q105_t39,q,39,a
q105_t40,q,40,a
q105_t41,q,41,a
q105_t42,q,42,a
q105_t43,q,43,a
q105_t45,q,45,a
q105_t46,q,46,a
q105_t47,q,47,a
q106_t0,q,0,a
q106_t1,q,1,a
q106_t30,q,30,a
q106_t31,q,31,a
q106_t32,q,32,a
q106_t33,q,33,a
q106_t34,q,34,a
q106_t35,q,35,a
q106_t36,q,36,a
q106_t37,q,37,a
q106_t38,q,38,a
q106_t39,q,39,a
