node_id,type,time,realisation
c0_t348,c,348,a
c100_t448,c,448,a
c101_t449,c,449,a
c102_t450,c,450,a
c103_t451,c,451,a
c104_t452,c,452,a
c105_t453,c,453,a
c106_t454,c,454,a
c107_t455,c,455,a
c108_t456,c,456,a
c109_t457,c,457,a
c10_t358,c,358,a
c110_t458,c,458,a
c111_t459,c,459,a
c112_t460,c,460,a
c113_t461,c,461,a
c114_t1028,c,1028,a
c11_t359,c,359,a
c12_t360,c,360,a
c13_t361,c,361,a
c14_t362,c,362,a
c15_t363,c,363,a
c16_t364,c,364,a
c17_t365,c,365,a
c18_t366,c,366,a
c19_t367,c,367,a
c1_t349,c,349,a
c20_t368,c,368,a
c21_t369,c,369,a
c22_t370,c,370,a
c23_t371,c,371,a
c24_t372,c,372,a
c25_t373,c,373,a
c26_t374,c,374,a
c27_t375,c,375,a
c28_t376,c,376,a
c29_t377,c,377,a
c2_t350,c,350,a
c30_t378,c,378,a
c31_t379,c,379,a
c32_t380,c,380,a
c33_t381,c,381,a
c34_t382,c,382,a
c35_t383,c,383,a
c36_t384,c,384,a
c37_t385,c,385,a
c38_t386,c,386,a
c39_t387,c,387,a
c3_t351,c,351,a
c40_t388,c,388,a
c41_t389,c,389,a
c42_t390,c,390,a
c43_t391,c,391,a
c44_t392,c,392,a
c45_t393,c,393,a
c46_t394,c,394,a
c47_t395,c,395,a
c48_t396,c,396,a
c49_t397,c,397,a
c4_t352,c,352,a
c50_t398,c,398,a
c51_t399,c,399,a
c52_t400,c,400,a
c53_t401,c,401,a
c54_t402,c,402,a
c55_t403,c,403,a
c56_t404,c,404,a
c57_t405,c,405,a
c58_t406,c,406,a
c59_t407,c,407,a
c5_t353,c,353,a
c60_t408,c,408,a
c61_t409,c,409,a
c62_t410,c,410,a
c63_t411,c,411,a
c64_t412,c,412,a
c65_t413,c,413,a
c66_t414,c,414,a
c67_t415,c,415,a
c68_t416,c,416,a
c69_t417,c,417,a
c6_t354,c,354,a
c70_t418,c,418,a
c71_t419,c,419,a
c72_t420,c,420,a
c73_t421,c,421,a
c74_t422,c,422,a
c75_t423,c,423,a
c76_t424,c,424,a
c77_t425,c,425,a
c78_t426,c,426,a
c79_t427,c,427,a
c7_t355,c,355,a
c80_t428,c,428,a
c81_t429,c,429,a
c82_t430,c,430,a
c83_t431,c,431,a
c84_t432,c,432,a
c85_t433,c,433,a
c86_t434,c,434,a
c87_t435,c,435,a
c88_t436,c,436,a
c89_t437,c,437,a
c8_t356,c,356,a
c90_t438,c,438,a
c91_t439,c,439,a
c92_t440,c,440,a
c93_t441,c,441,a
c94_t442,c,442,a
c95_t443,c,443,a
c96_t444,c,444,a
c97_t445,c,445,a
c98_t446,c,446,a
c99_t447,c,447,a
c9_t357,c,357,a
q0_t0,q,0,a
q0_t1,q,1,a
q0_t10,q,10,a
q0_t100,q,100,a
q0_t101,q,101,a
q0_t102,q,102,a
q0_t103,q,103,a
q0_t104,q,104,a
q0_t105,q,105,a
q0_t106,q,106,a
q0_t107,q,107,a
q0_t108,q,108,a
q0_t109,q,109,a
q0_t11,q,11,a
q0_t110,q,110,a
q0_t111,q,111,a
q0_t112,q,112,a
q0_t113,q,113,a
q0_t114,q,114,a
q0_t115,q,115,a
q0_t116,q,116,a
q0_t117,q,117,a
q0_t118,q,118,a
q0_t119,q,119,a
q0_t12,q,12,a
q0_t120,q,120,a
q0_t121,q,121,a
q0_t122,q,122,a
q0_t123,q,123,a
q0_t124,q,124,a
q0_t125,q,125,a
q0_t126,q,126,a
q0_t127,q,127,a
q0_t128,q,128,a
q0_t129,q,129,a
q0_t13,q,13,a
q0_t130,q,130,a
q0_t131,q,131,a
q0_t132,q,132,a
q0_t133,q,133,a
q0_t134,q,134,a
q0_t135,q,135,a
q0_t136,q,136,a
q0_t137,q,137,a
q0_t138,q,138,a
q0_t139,q,139,a
q0_t14,q,14,a
q0_t140,q,140,a
q0_t141,q,141,a
q0_t142,q,142,a
q0_t143,q,143,a
q0_t144,q,144,a
q0_t145,q,145,a
q0_t146,q,146,a
q0_t147,q,147,a
q0_t148,q,148,a
q0_t149,q,149,a
q0_t15,q,15,a
q0_t150,q,150,a
q0_t151,q,151,a
q0_t152,q,152,a
q0_t153,q,153,a
q0_t154,q,154,a
q0_t155,q,155,a
q0_t156,q,156,a
q0_t157,q,157,a
q0_t158,q,158,a
q0_t159,q,159,a
q0_t16,q,16,a
q0_t160,q,160,a
q0_t161,q,161,a
q0_t162,q,162,a
q0_t163,q,163,a
q0_t164,q,164,a
q0_t165,q,165,a
q0_t166,q,166,a
q0_t167,q,167,a
q0_t168,q,168,a
q0_t169,q,169,a
q0_t17,q,17,a
q0_t170,q,170,a
q0_t171,q,171,a
q0_t172,q,172,a
q0_t173,q,173,a
q0_t174,q,174,a
q0_t175,q,175,a
q0_t176,q,176,a
q0_t177,q,177,a
q0_t178,q,178,a
q0_t179,q,179,a
q0_t18,q,18,a
q0_t180,q,180,a
q0_t181,q,181,a
q0_t182,q,182,a
q0_t183,q,183,a
q0_t184,q,184,a
q0_t185,q,185,a
q0_t186,q,186,a
q0_t187,q,187,a
q0_t188,q,188,a
q0_t189,q,189,a
q0_t19,q,19,a
q0_t190,q,190,a
q0_t191,q,191,a
q0_t192,q,192,a
q0_t193,q,193,a
q0_t194,q,194,a
q0_t195,q,195,a
q0_t196,q,196,a
q0_t197,q,197,a
q0_t198,q,198,a
q0_t199,q,199,a
q0_t2,q,2,a
q0_t20,q,20,a
q0_t200,q,200,a
q0_t201,q,201,a
q0_t202,q,202,a
q0_t203,q,203,a
q0_t204,q,204,a
q0_t205,q,205,a
