edge_index,node_id
0,q0_t0
0,q0_t1
1,q0_t1
1,q0_t2
2,q0_t10
2,q0_t11
3,q0_t10
3,q0_t9
4,q0_t2
4,q0_t3
4,q2_t4
4,q2_t5
5,q0_t3
5,q0_t4
6,q0_t4
6,q0_t5
7,q0_t5
7,q0_t6
7,q2_t8
7,q2_t9
8,q0_t6
8,q0_t7
9,q0_t7
9,q0_t8
10,q0_t8
10,q0_t9
10,q1_t10
10,q1_t11
11,q1_t1
11,q1_t2
12,q1_t10
12,q1_t9
13,q1_t11
13,q1_t12
14,q1_t2
14,q1_t3
15,q1_t3
15,q1_t4
15,q2_t12
15,q2_t13
16,q1_t4
16,q1_t5
17,q1_t5
17,q1_t6
18,q1_t6
18,q1_t7
18,q2_t16
18,q2_t17
19,q1_t7
19,q1_t8
20,q1_t8
20,q1_t9
21,q2_t10
21,q2_t11
22,q2_t10
22,q2_t9
23,q2_t11
23,q2_t12
24,q2_t13
24,q2_t14
25,q2_t14
25,q2_t15
26,q2_t15
26,q2_t16
27,q2_t17
27,q2_t18
28,q2_t18
28,q2_t19
29,q2_t2
29,q2_t3
30,q2_t3
30,q2_t4
31,q2_t5
31,q2_t6
32,q2_t6
32,q2_t7
33,q2_t7
33,q2_t8
