edge_index,node_id
0,q0_t0
0,q0_t1
1,q0_t1
1,q0_t2
2,q0_t10
2,q0_t11
3,q0_t10
3,q0_t9
4,q0_t11
4,q0_t12
5,q0_t12
5,q0_t13
5,q11_t138
5,q11_t139
6,q0_t13
6,q0_t14
7,q0_t14
7,q0_t15
8,q0_t15
8,q0_t16
8,q11_t142
8,q11_t143
9,q0_t16
9,q0_t17
10,q0_t17
10,q0_t18
11,q0_t18
11,q0_t19
12,q0_t19
12,q0_t20
12,q10_t133
12,q10_t134
13,q0_t2
13,q0_t3
14,q0_t20
14,q0_t21
15,q0_t21
15,q0_t22
16,q0_t22
16,q0_t23
16,q10_t137
16,q10_t138
17,q0_t23
17,q0_t24
18,q0_t24
18,q0_t25
19,q0_t25
19,q0_t26
20,q0_t26
20,q0_t27
20,q9_t128
20,q9_t129
21,q0_t27
21,q0_t28
22,q0_t28
22,q0_t29
23,q0_t29
23,q0_t30
23,q9_t132
23,q9_t133
24,q0_t3
24,q0_t4
25,q0_t30
25,q0_t31
26,q0_t31
26,q0_t32
27,q0_t32
27,q0_t33
28,q0_t33
28,q0_t34
28,q8_t123
28,q8_t124
29,q0_t34
29,q0_t35
30,q0_t35
30,q0_t36
31,q0_t36
31,q0_t37
31,q8_t127
31,q8_t128
32,q0_t37
32,q0_t38
33,q0_t38
33,q0_t39
34,q0_t39
34,q0_t40
35,q0_t4
35,q0_t5
36,q0_t40
36,q0_t41
36,q7_t118
36,q7_t119
37,q0_t41
37,q0_t42
38,q0_t42
38,q0_t43
39,q0_t43
39,q0_t44
39,q7_t122
39,q7_t123
40,q0_t44
40,q0_t45
41,q0_t45
41,q0_t46
42,q0_t46
42,q0_t47
43,q0_t47
43,q0_t48
43,q6_t113
43,q6_t114
44,q0_t48
44,q0_t49
45,q0_t49
45,q0_t50
46,q0_t5
46,q0_t6
46,q12_t55
46,q12_t56
47,q0_t50
47,q0_t51
47,q6_t117
47,q6_t118
48,q0_t51
48,q0_t52
49,q0_t52
49,q0_t53
50,q0_t53
50,q0_t54
51,q0_t54
51,q0_t55
51,q5_t108
51,q5_t109
52,q0_t55
52,q0_t56
53,q0_t56
53,q0_t57
54,q0_t57
54,q0_t58
54,q5_t112
54,q5_t113
55,q0_t58
55,q0_t59
56,q0_t59
56,q0_t60
57,q0_t6
57,q0_t7
58,q0_t60
58,q0_t61
59,q0_t61
59,q0_t62
59,q4_t103
59,q4_t104
60,q0_t62
60,q0_t63
61,q0_t63
61,q0_t64
62,q0_t64
62,q0_t65
62,q4_t107
62,q4_t108
63,q0_t65
63,q0_t66
64,q0_t66
64,q0_t67
65,q0_t67
65,q0_t68
66,q0_t68
66,q0_t69
66,q3_t98
66,q3_t99
67,q0_t69
67,q0_t70
68,q0_t7
68,q0_t8
69,q0_t70
69,q0_t71
70,q0_t71
70,q0_t72
70,q3_t102
70,q3_t103
71,q0_t72
71,q0_t73
72,q0_t73
72,q0_t74
73,q0_t74
73,q0_t75
74,q0_t75
74,q0_t76
74,q2_t93
74,q2_t94
75,q0_t76
75,q0_t77
76,q0_t77
76,q0_t78
77,q0_t78
77,q0_t79
77,q2_t97
77,q2_t98
78,q0_t79
78,q0_t80
79,q0_t8
79,q0_t9
79,q12_t63
79,q12_t64
80,q0_t80
80,q0_t81
81,q0_t81
81,q0_t82
82,q0_t82
82,q0_t83
82,q1_t88
82,q1_t89
83,q0_t83
83,q0_t84
84,q0_t84
84,q0_t85
85,q0_t85
85,q0_t86
85,q1_t92
85,q1_t93
86,q0_t86
86,q0_t87
87,q0_t87
87,q0_t88
88,q0_t88
88,q0_t89
89,q0_t89
89,q0_t90
90,q10_t100
90,q10_t101
91,q10_t100
91,q10_t99
92,q10_t101
92,q10_t102
92,q4_t35
92,q4_t36
93,q10_t102
93,q10_t103
94,q10_t103
94,q10_t104
95,q10_t104
95,q10_t105
96,q10_t105
96,q10_t106
96,q4_t38
96,q4_t39
97,q10_t106
97,q10_t107
98,q10_t107
98,q10_t108
99,q10_t108
