edge_index,type,realisation,gate_name,role,edge_args,edge_metadata
0,q,a,rz,,"[[[0, 1]], [], [true]]",
1,q,a,sx,,"[[[0, 2]], [], [true]]",
2,q,a,rz,,"[[[0, 11]], [], [true]]",
3,q,a,cx_stage3,,"[[[0, 10], [7, 45]], [], [true, true]]",
4,q,a,cx_stage1,,"[[[0, 14], [6, 80]], [], [true, true]]",
5,q,a,cx_stage2,,"[[[0, 14], [6, 80]], [], [true, true]]",
6,q,a,cx_stage3,,"[[[0, 14], [6, 80]], [], [true, true]]",
7,q,a,cx_stage1,,"[[[0, 17], [6, 84]], [], [true, true]]",
8,q,a,cx_stage2,,"[[[0, 17], [6, 84]], [], [true, true]]",
9,q,a,cx_stage3,,"[[[0, 17], [6, 84]], [], [true, true]]",
10,q,a,rz,,"[[[0, 18]], [], [true]]",
11,q,a,cx_stage1,,"[[[0, 21], [5, 75]], [], [true, true]]",
12,q,a,cx_stage2,,"[[[0, 21], [5, 75]], [], [true, true]]",
13,q,a,rz,,"[[[0, 3]], [], [true]]",
14,q,a,cx_stage3,,"[[[0, 21], [5, 75]], [], [true, true]]",
15,q,a,cx_stage1,,"[[[0, 24], [5, 79]], [], [true, true]]",
16,q,a,cx_stage2,,"[[[0, 24], [5, 79]], [], [true, true]]",
17,q,a,cx_stage3,,"[[[0, 24], [5, 79]], [], [true, true]]",
18,q,a,rz,,"[[[0, 25]], [], [true]]",
19,q,a,cx_stage1,,"[[[0, 28], [4, 70]], [], [true, true]]",
20,q,a,cx_stage2,,"[[[0, 28], [4, 70]], [], [true, true]]",
21,q,a,cx_stage3,,"[[[0, 28], [4, 70]], [], [true, true]]",
22,q,a,cx_stage1,,"[[[0, 31], [4, 74]], [], [true, true]]",
23,q,a,cx_stage2,,"[[[0, 31], [4, 74]], [], [true, true]]",
24,q,a,rz,,"[[[0, 4]], [], [true]]",
25,q,a,cx_stage3,,"[[[0, 31], [4, 74]], [], [true, true]]",
26,q,a,rz,,"[[[0, 32]], [], [true]]",
27,q,a,cx_stage1,,"[[[0, 35], [3, 65]], [], [true, true]]",
28,q,a,cx_stage2,,"[[[0, 35], [3, 65]], [], [true, true]]",
29,q,a,cx_stage3,,"[[[0, 35], [3, 65]], [], [true, true]]",
30,q,a,cx_stage1,,"[[[0, 38], [3, 69]], [], [true, true]]",
31,q,a,cx_stage2,,"[[[0, 38], [3, 69]], [], [true, true]]",
32,q,a,cx_stage3,,"[[[0, 38], [3, 69]], [], [true, true]]",
33,q,a,rz,,"[[[0, 39]], [], [true]]",
34,q,a,cx_stage1,,"[[[0, 42], [2, 60]], [], [true, true]]",
35,q,a,cx_stage1,,"[[[0, 7], [7, 37]], [], [true, true]]",
36,q,a,cx_stage2,,"[[[0, 42], [2, 60]], [], [true, true]]",
37,q,a,cx_stage3,,"[[[0, 42], [2, 60]], [], [true, true]]",
38,q,a,cx_stage1,,"[[[0, 45], [2, 64]], [], [true, true]]",
39,q,a,cx_stage2,,"[[[0, 45], [2, 64]], [], [true, true]]",
40,q,a,cx_stage3,,"[[[0, 45], [2, 64]], [], [true, true]]",
41,q,a,rz,,"[[[0, 46]], [], [true]]",
42,q,a,cx_stage1,,"[[[0, 49], [1, 55]], [], [true, true]]",
43,q,a,cx_stage2,,"[[[0, 49], [1, 55]], [], [true, true]]",
44,q,a,cx_stage3,,"[[[0, 49], [1, 55]], [], [true, true]]",
45,q,a,cx_stage1,,"[[[0, 52], [1, 59]], [], [true, true]]",
46,q,a,cx_stage2,,"[[[0, 7], [7, 37]], [], [true, true]]",
47,q,a,cx_stage2,,"[[[0, 52], [1, 59]], [], [true, true]]",
48,q,a,cx_stage3,,"[[[0, 52], [1, 59]], [], [true, true]]",
49,q,a,rz,,"[[[0, 53]], [], [true]]",
50,q,a,sx,,"[[[0, 54]], [], [true]]",
51,q,a,rz,,"[[[0, 55]], [], [true]]",
52,q,a,cx_stage3,,"[[[0, 7], [7, 37]], [], [true, true]]",
53,q,a,cx_stage1,,"[[[0, 10], [7, 45]], [], [true, true]]",
54,q,a,cx_stage2,,"[[[0, 10], [7, 45]], [], [true, true]]",
55,q,a,cx_stage3,,"[[[1, 11], [7, 54]], [], [true, true]]",
56,q,a,cx_stage2,,"[[[1, 11], [7, 54]], [], [true, true]]",
57,q,a,cx_stage1,,"[[[1, 14], [7, 62]], [], [true, true]]",
58,q,a,cx_stage2,,"[[[1, 14], [7, 62]], [], [true, true]]",
59,q,a,cx_stage3,,"[[[1, 14], [7, 62]], [], [true, true]]",
60,q,a,rz,,"[[[1, 15]], [], [true]]",
61,q,a,cx_stage1,,"[[[1, 18], [6, 72]], [], [true, true]]",
62,q,a,cx_stage2,,"[[[1, 18], [6, 72]], [], [true, true]]",
63,q,a,cx_stage3,,"[[[1, 18], [6, 72]], [], [true, true]]",
64,q,a,cx_stage1,,"[[[1, 21], [6, 76]], [], [true, true]]",
