edge_index,type,realisation,gate_name,role,edge_args,edge_metadata
0,q,a,u2,,"[[[0, 1]], [], [true]]",
1,q,a,cx_stage1,,"[[[0, 4], [74, 78]], [], [true, true]]",
2,q,a,cx_stage2,,"[[[0, 4], [74, 78]], [], [true, true]]",
3,q,a,cx_stage3,,"[[[0, 4], [74, 78]], [], [true, true]]",
4,q,a,u2,,"[[[0, 5]], [], [true]]",
5,q,a,h,,"[[[10, 11]], [], [true]]",
6,q,a,cx_stage1,,"[[[10, 14], [74, 108]], [], [true, true]]",
7,q,a,cx_stage2,,"[[[10, 14], [74, 108]], [], [true, true]]",
8,q,a,cx_stage3,,"[[[10, 14], [74, 108]], [], [true, true]]",
9,q,a,h,,"[[[10, 15]], [], [true]]",
10,q,a,u2,,"[[[11, 12]], [], [true]]",
11,q,a,cx_stage1,,"[[[11, 15], [74, 111]], [], [true, true]]",
12,q,a,cx_stage2,,"[[[11, 15], [74, 111]], [], [true, true]]",
13,q,a,cx_stage3,,"[[[11, 15], [74, 111]], [], [true, true]]",
14,q,a,u2,,"[[[11, 16]], [], [true]]",
15,q,a,u2,,"[[[12, 13]], [], [true]]",
16,q,a,cx_stage1,,"[[[12, 16], [74, 114]], [], [true, true]]",
17,q,a,cx_stage2,,"[[[12, 16], [74, 114]], [], [true, true]]",
18,q,a,cx_stage3,,"[[[12, 16], [74, 114]], [], [true, true]]",
19,q,a,u2,,"[[[12, 17]], [], [true]]",
20,q,a,h,,"[[[13, 14]], [], [true]]",
21,q,a,cx_stage1,,"[[[13, 17], [74, 117]], [], [true, true]]",
22,q,a,cx_stage2,,"[[[13, 17], [74, 117]], [], [true, true]]",
23,q,a,cx_stage3,,"[[[13, 17], [74, 117]], [], [true, true]]",
24,q,a,h,,"[[[13, 18]], [], [true]]",
25,q,a,h,,"[[[14, 15]], [], [true]]",
26,q,a,cx_stage1,,"[[[14, 18], [74, 120]], [], [true, true]]",
27,q,a,cx_stage2,,"[[[14, 18], [74, 120]], [], [true, true]]",
28,q,a,cx_stage3,,"[[[14, 18], [74, 120]], [], [true, true]]",
29,q,a,h,,"[[[14, 19]], [], [true]]",
30,q,a,u2,,"[[[15, 16]], [], [true]]",
31,q,a,cx_stage1,,"[[[15, 19], [74, 123]], [], [true, true]]",
32,q,a,cx_stage2,,"[[[15, 19], [74, 123]], [], [true, true]]",
33,q,a,cx_stage3,,"[[[15, 19], [74, 123]], [], [true, true]]",
34,q,a,u2,,"[[[15, 20]], [], [true]]",
35,q,a,h,,"[[[16, 17]], [], [true]]",
36,q,a,cx_stage1,,"[[[16, 20], [74, 126]], [], [true, true]]",
37,q,a,cx_stage2,,"[[[16, 20], [74, 126]], [], [true, true]]",
38,q,a,cx_stage3,,"[[[16, 20], [74, 126]], [], [true, true]]",
39,q,a,h,,"[[[16, 21]], [], [true]]",
40,q,a,h,,"[[[17, 18]], [], [true]]",
41,q,a,cx_stage1,,"[[[17, 21], [74, 129]], [], [true, true]]",
42,q,a,cx_stage2,,"[[[17, 21], [74, 129]], [], [true, true]]",
43,q,a,cx_stage3,,"[[[17, 21], [74, 129]], [], [true, true]]",
44,q,a,h,,"[[[17, 22]], [], [true]]",
45,q,a,h,,"[[[18, 19]], [], [true]]",
46,q,a,cx_stage1,,"[[[18, 22], [74, 132]], [], [true, true]]",
47,q,a,cx_stage2,,"[[[18, 22], [74, 132]], [], [true, true]]",
48,q,a,cx_stage3,,"[[[18, 22], [74, 132]], [], [true, true]]",
49,q,a,h,,"[[[18, 23]], [], [true]]",
50,q,a,h,,"[[[19, 20]], [], [true]]",
51,q,a,cx_stage1,,"[[[19, 23], [74, 135]], [], [true, true]]",
52,q,a,cx_stage2,,"[[[19, 23], [74, 135]], [], [true, true]]",
53,q,a,cx_stage3,,"[[[19, 23], [74, 135]], [], [true, true]]",
54,q,a,h,,"[[[19, 24]], [], [true]]",
55,q,a,u2,,"[[[1, 2]], [], [true]]",
56,q,a,cx_stage1,,"[[[1, 5], [74, 81]], [], [true, true]]",
57,q,a,cx_stage2,,"[[[1, 5], [74, 81]], [], [true, true]]",
58,q,a,cx_stage3,,"[[[1, 5], [74, 81]], [], [true, true]]",
59,q,a,u2,,"[[[1, 6]], [], [true]]",
60,q,a,h,,"[[[20, 21]], [], [true]]",
61,q,a,cx_stage1,,"[[[20, 24], [74, 138]], [], [true, true]]",
62,q,a,cx_stage2,,"[[[20, 24], [74, 138]], [], [true, true]]",
63,q,a,cx_stage3,,"[[[20, 24], [74, 138]], [], [true, true]]",
64,q,a,h,,"[[[20, 25]], [], [true]]",
65,q,a,u2,,"[[[21, 22]], [], [true]]",
66,q,a,cx_stage1,,"[[[21, 25], [74, 141]], [], [true, true]]",
67,q,a,cx_stage2,,"[[[21, 25], [74, 141]], [], [true, true]]",
68,q,a,cx_stage3,,"[[[21, 25], [74, 141]], [], [true, true]]",
69,q,a,u2,,"[[[21, 26]], [], [true]]",
70,q,a,h,,"[[[22, 23]], [], [true]]",
71,q,a,cx_stage1,,"[[[22, 26], [74, 144]], [], [true, true]]",
72,q,a,cx_stage2,,"[[[22, 26], [74, 144]], [], [true, true]]",
73,q,a,cx_stage3,,"[[[22, 26], [74, 144]], [], [true, true]]",
74,q,a,h,,"[[[22, 27]], [], [true]]",
75,q,a,h,,"[[[23, 24]], [], [true]]",
76,q,a,cx_stage1,,"[[[23, 27], [74, 147]], [], [true, true]]",
77,q,a,cx_stage2,,"[[[23, 27], [74, 147]], [], [true, true]]",
78,q,a,cx_stage3,,"[[[23, 27], [74, 147]], [], [true, true]]",
79,q,a,h,,"[[[23, 28]], [], [true]]",
80,q,a,u2,,"[[[24, 25]], [], [true]]",
81,q,a,cx_stage1,,"[[[24, 28], [74, 150]], [], [true, true]]",
82,q,a,cx_stage2,,"[[[24, 28], [74, 150]], [], [true, true]]",
83,q,a,cx_stage3,,"[[[24, 28], [74, 150]], [], [true, true]]",
84,q,a,u2,,"[[[24, 29]], [], [true]]",
85,q,a,u2,,"[[[25, 26]], [], [true]]",
86,q,a,cx_stage1,,"[[[25, 29], [74, 153]], [], [true, true]]",
87,q,a,cx_stage2,,"[[[25, 29], [74, 153]], [], [true, true]]",
88,q,a,cx_stage3,,"[[[25, 29], [74, 153]], [], [true, true]]",
89,q,a,u2,,"[[[25, 30]], [], [true]]",
90,q,a,h,,"[[[26, 27]], [], [true]]",
91,q,a,cx_stage1,,"[[[26, 30], [74, 156]], [], [true, true]]",
92,q,a,cx_stage2,,"[[[26, 30], [74, 156]], [], [true, true]]",
93,q,a,cx_stage3,,"[[[26, 30], [74, 156]], [], [true, true]]",
94,q,a,h,,"[[[26, 31]], [], [true]]",
95,q,a,h,,"[[[27, 28]], [], [true]]",
96,q,a,cx_stage1,,"[[[27, 31], [74, 159]], [], [true, true]]",
97,q,a,cx_stage2,,"[[[27, 31], [74, 159]], [], [true, true]]",
98,q,a,cx_stage3,,"[[[27, 31], [74, 159]], [], [true, true]]",
99,q,a,h,,"[[[27, 32]], [], [true]]",
100,q,a,u2,,"[[[28, 29]], [], [true]]",
101,q,a,cx_stage1,,"[[[28, 32], [74, 162]], [], [true, true]]",
102,q,a,cx_stage2,,"[[[28, 32], [74, 162]], [], [true, true]]",
103,q,a,cx_stage3,,"[[[28, 32], [74, 162]], [], [true, true]]",
104,q,a,u2,,"[[[28, 33]], [], [true]]",
105,q,a,h,,"[[[29, 30]], [], [true]]",
106,q,a,cx_stage1,,"[[[29, 33], [74, 165]], [], [true, true]]",
107,q,a,cx_stage2,,"[[[29, 33], [74, 165]], [], [true, true]]",
108,q,a,cx_stage3,,"[[[29, 33], [74, 165]], [], [true, true]]",
109,q,a,h,,"[[[29, 34]], [], [true]]",
110,q,a,h,,"[[[2, 3]], [], [true]]",
111,q,a,cx_stage1,,"[[[2, 6], [74, 84]], [], [true, true]]",
112,q,a,cx_stage2,,"[[[2, 6], [74, 84]], [], [true, true]]",
113,q,a,cx_stage3,,"[[[2, 6], [74, 84]], [], [true, true]]",
114,q,a,h,,"[[[2, 7]], [], [true]]",
115,q,a,h,,"[[[30, 31]], [], [true]]",
116,q,a,cx_stage1,,"[[[30, 34], [74, 168]], [], [true, true]]",
117,q,a,cx_stage2,,"[[[30, 34], [74, 168]], [], [true, true]]",
118,q,a,cx_stage3,,"[[[30, 34], [74, 168]], [], [true, true]]",
119,q,a,h,,"[[[30, 35]], [], [true]]",
120,q,a,u2,,"[[[31, 32]], [], [true]]",
121,q,a,cx_stage1,,"[[[31, 35], [74, 171]], [], [true, true]]",
122,q,a,cx_stage2,,"[[[31, 35], [74, 171]], [], [true, true]]",
123,q,a,cx_stage3,,"[[[31, 35], [74, 171]], [], [true, true]]",
124,q,a,u2,,"[[[31, 36]], [], [true]]",
125,q,a,h,,"[[[32, 33]], [], [true]]",
126,q,a,cx_stage1,,"[[[32, 36], [74, 174]], [], [true, true]]",
127,q,a,cx_stage2,,"[[[32, 36], [74, 174]], [], [true, true]]",
128,q,a,cx_stage3,,"[[[32, 36], [74, 174]], [], [true, true]]",
129,q,a,h,,"[[[32, 37]], [], [true]]",
130,q,a,h,,"[[[33, 34]], [], [true]]",
131,q,a,cx_stage1,,"[[[33, 37], [74, 177]], [], [true, true]]",
132,q,a,cx_stage2,,"[[[33, 37], [74, 177]], [], [true, true]]",
133,q,a,cx_stage3,,"[[[33, 37], [74, 177]], [], [true, true]]",
134,q,a,h,,"[[[33, 38]], [], [true]]",
135,q,a,h,,"[[[34, 35]], [], [true]]",
136,q,a,cx_stage1,,"[[[34, 38], [74, 180]], [], [true, true]]",
137,q,a,cx_stage2,,"[[[34, 38], [74, 180]], [], [true, true]]",
138,q,a,cx_stage3,,"[[[34, 38], [74, 180]], [], [true, true]]",
139,q,a,h,,"[[[34, 39]], [], [true]]",
140,q,a,u2,,"[[[35, 36]], [], [true]]",
141,q,a,cx_stage1,,"[[[35, 39], [74, 183]], [], [true, true]]",
142,q,a,cx_stage2,,"[[[35, 39], [74, 183]], [], [true, true]]",
143,q,a,cx_stage3,,"[[[35, 39], [74, 183]], [], [true, true]]",
144,q,a,u2,,"[[[35, 40]], [], [true]]",
145,q,a,u2,,"[[[36, 37]], [], [true]]",
146,q,a,cx_stage1,,"[[[36, 40], [74, 186]], [], [true, true]]",
147,q,a,cx_stage2,,"[[[36, 40], [74, 186]], [], [true, true]]",
148,q,a,cx_stage3,,"[[[36, 40], [74, 186]], [], [true, true]]",
149,q,a,u2,,"[[[36, 41]], [], [true]]",
150,q,a,h,,"[[[37, 38]], [], [true]]",
151,q,a,cx_stage1,,"[[[37, 41], [74, 189]], [], [true, true]]",
152,q,a,cx_stage2,,"[[[37, 41], [74, 189]], [], [true, true]]",
153,q,a,cx_stage3,,"[[[37, 41], [74, 189]], [], [true, true]]",
154,q,a,h,,"[[[37, 42]], [], [true]]",
155,q,a,u2,,"[[[38, 39]], [], [true]]",
156,q,a,cx_stage1,,"[[[38, 42], [74, 192]], [], [true, true]]",
157,q,a,cx_stage2,,"[[[38, 42], [74, 192]], [], [true, true]]",
158,q,a,cx_stage3,,"[[[38, 42], [74, 192]], [], [true, true]]",
159,q,a,u2,,"[[[38, 43]], [], [true]]",
160,q,a,u2,,"[[[39, 40]], [], [true]]",
161,q,a,cx_stage1,,"[[[39, 43], [74, 195]], [], [true, true]]",
162,q,a,cx_stage2,,"[[[39, 43], [74, 195]], [], [true, true]]",
163,q,a,cx_stage3,,"[[[39, 43], [74, 195]], [], [true, true]]",
164,q,a,u2,,"[[[39, 44]], [], [true]]",
165,q,a,u2,,"[[[3, 4]], [], [true]]",
166,q,a,cx_stage1,,"[[[3, 7], [74, 87]], [], [true, true]]",
167,q,a,cx_stage2,,"[[[3, 7], [74, 87]], [], [true, true]]",
168,q,a,cx_stage3,,"[[[3, 7], [74, 87]], [], [true, true]]",
169,q,a,u2,,"[[[3, 8]], [], [true]]",
170,q,a,u2,,"[[[40, 41]], [], [true]]",
171,q,a,cx_stage1,,"[[[40, 44], [74, 198]], [], [true, true]]",
172,q,a,cx_stage2,,"[[[40, 44], [74, 198]], [], [true, true]]",
173,q,a,cx_stage3,,"[[[40, 44], [74, 198]], [], [true, true]]",
174,q,a,u2,,"[[[40, 45]], [], [true]]",
175,q,a,u2,,"[[[41, 42]], [], [true]]",
176,q,a,cx_stage1,,"[[[41, 45], [74, 201]], [], [true, true]]",
177,q,a,cx_stage2,,"[[[41, 45], [74, 201]], [], [true, true]]",
178,q,a,cx_stage3,,"[[[41, 45], [74, 201]], [], [true, true]]",
179,q,a,u2,,"[[[41, 46]], [], [true]]",
180,q,a,u2,,"[[[42, 43]], [], [true]]",
181,q,a,cx_stage1,,"[[[42, 46], [74, 204]], [], [true, true]]",
182,q,a,cx_stage2,,"[[[42, 46], [74, 204]], [], [true, true]]",
183,q,a,cx_stage3,,"[[[42, 46], [74, 204]], [], [true, true]]",
184,q,a,u2,,"[[[42, 47]], [], [true]]",
185,q,a,h,,"[[[43, 44]], [], [true]]",
186,q,a,cx_stage1,,"[[[43, 47], [74, 207]], [], [true, true]]",
187,q,a,cx_stage2,,"[[[43, 47], [74, 207]], [], [true, true]]",
188,q,a,cx_stage3,,"[[[43, 47], [74, 207]], [], [true, true]]",
189,q,a,h,,"[[[43, 48]], [], [true]]",
190,q,a,u2,,"[[[44, 45]], [], [true]]",
191,q,a,cx_stage1,,"[[[44, 48], [74, 210]], [], [true, true]]",
192,q,a,cx_stage2,,"[[[44, 48], [74, 210]], [], [true, true]]",
193,q,a,cx_stage3,,"[[[44, 48], [74, 210]], [], [true, true]]",
194,q,a,u2,,"[[[44, 49]], [], [true]]",
195,q,a,h,,"[[[45, 46]], [], [true]]",
196,q,a,cx_stage1,,"[[[45, 49], [74, 213]], [], [true, true]]",
197,q,a,cx_stage2,,"[[[45, 49], [74, 213]], [], [true, true]]",
198,q,a,cx_stage3,,"[[[45, 49], [74, 213]], [], [true, true]]",
199,q,a,h,,"[[[45, 50]], [], [true]]",
200,q,a,h,,"[[[46, 47]], [], [true]]",
201,q,a,cx_stage1,,"[[[46, 50], [74, 216]], [], [true, true]]",
202,q,a,cx_stage2,,"[[[46, 50], [74, 216]], [], [true, true]]",
203,q,a,cx_stage3,,"[[[46, 50], [74, 216]], [], [true, true]]",
204,q,a,h,,"[[[46, 51]], [], [true]]",
205,q,a,h,,"[[[47, 48]], [], [true]]",
206,q,a,cx_stage1,,"[[[47, 51], [74, 219]], [], [true, true]]",
207,q,a,cx_stage2,,"[[[47, 51], [74, 219]], [], [true, true]]",
208,q,a,cx_stage3,,"[[[47, 51], [74, 219]], [], [true, true]]",
209,q,a,h,,"[[[47, 52]], [], [true]]",
210,q,a,h,,"[[[48, 49]], [], [true]]",
211,q,a,cx_stage1,,"[[[48, 52], [74, 222]], [], [true, true]]",
212,q,a,cx_stage2,,"[[[48, 52], [74, 222]], [], [true, true]]",
213,q,a,cx_stage3,,"[[[48, 52], [74, 222]], [], [true, true]]",
214,q,a,h,,"[[[48, 53]], [], [true]]",
215,q,a,u2,,"[[[49, 50]], [], [true]]",
216,q,a,cx_stage1,,"[[[49, 53], [74, 225]], [], [true, true]]",
217,q,a,cx_stage2,,"[[[49, 53], [74, 225]], [], [true, true]]",
218,q,a,cx_stage3,,"[[[49, 53], [74, 225]], [], [true, true]]",
219,q,a,u2,,"[[[49, 54]], [], [true]]",
220,q,a,h,,"[[[4, 5]], [], [true]]",
221,q,a,cx_stage1,,"[[[4, 8], [74, 90]], [], [true, true]]",
222,q,a,cx_stage2,,"[[[4, 8], [74, 90]], [], [true, true]]",
223,q,a,cx_stage3,,"[[[4, 8], [74, 90]], [], [true, true]]",
224,q,a,h,,"[[[4, 9]], [], [true]]",
225,q,a,h,,"[[[50, 51]], [], [true]]",
226,q,a,cx_stage1,,"[[[50, 54], [74, 228]], [], [true, true]]",
227,q,a,cx_stage2,,"[[[50, 54], [74, 228]], [], [true, true]]",
228,q,a,cx_stage3,,"[[[50, 54], [74, 228]], [], [true, true]]",
229,q,a,h,,"[[[50, 55]], [], [true]]",
230,q,a,u2,,"[[[51, 52]], [], [true]]",
231,q,a,cx_stage1,,"[[[51, 55], [74, 231]], [], [true, true]]",
232,q,a,cx_stage2,,"[[[51, 55], [74, 231]], [], [true, true]]",
233,q,a,cx_stage3,,"[[[51, 55], [74, 231]], [], [true, true]]",
234,q,a,u2,,"[[[51, 56]], [], [true]]",
235,q,a,u2,,"[[[52, 53]], [], [true]]",
236,q,a,cx_stage1,,"[[[52, 56], [74, 234]], [], [true, true]]",
237,q,a,cx_stage2,,"[[[52, 56], [74, 234]], [], [true, true]]",
238,q,a,cx_stage3,,"[[[52, 56], [74, 234]], [], [true, true]]",
239,q,a,u2,,"[[[52, 57]], [], [true]]",
240,q,a,u2,,"[[[53, 54]], [], [true]]",
241,q,a,cx_stage1,,"[[[53, 57], [74, 237]], [], [true, true]]",
242,q,a,cx_stage2,,"[[[53, 57], [74, 237]], [], [true, true]]",
243,q,a,cx_stage3,,"[[[53, 57], [74, 237]], [], [true, true]]",
244,q,a,u2,,"[[[53, 58]], [], [true]]",
245,q,a,h,,"[[[54, 55]], [], [true]]",
246,q,a,cx_stage1,,"[[[54, 58], [74, 240]], [], [true, true]]",
247,q,a,cx_stage2,,"[[[54, 58], [74, 240]], [], [true, true]]",
248,q,a,cx_stage3,,"[[[54, 58], [74, 240]], [], [true, true]]",
249,q,a,h,,"[[[54, 59]], [], [true]]",
250,q,a,u2,,"[[[55, 56]], [], [true]]",
251,q,a,cx_stage1,,"[[[55, 59], [74, 243]], [], [true, true]]",
252,q,a,cx_stage2,,"[[[55, 59], [74, 243]], [], [true, true]]",
253,q,a,cx_stage3,,"[[[55, 59], [74, 243]], [], [true, true]]",
254,q,a,u2,,"[[[55, 60]], [], [true]]",
255,q,a,h,,"[[[56, 57]], [], [true]]",
256,q,a,cx_stage1,,"[[[56, 60], [74, 246]], [], [true, true]]",
257,q,a,cx_stage2,,"[[[56, 60], [74, 246]], [], [true, true]]",
258,q,a,cx_stage3,,"[[[56, 60], [74, 246]], [], [true, true]]",
259,q,a,h,,"[[[56, 61]], [], [true]]",
260,q,a,u2,,"[[[57, 58]], [], [true]]",
261,q,a,cx_stage1,,"[[[57, 61], [74, 249]], [], [true, true]]",
262,q,a,cx_stage2,,"[[[57, 61], [74, 249]], [], [true, true]]",
263,q,a,cx_stage3,,"[[[57, 61], [74, 249]], [], [true, true]]",
264,q,a,u2,,"[[[57, 62]], [], [true]]",
265,q,a,u2,,"[[[58, 59]], [], [true]]",
266,q,a,cx_stage1,,"[[[58, 62], [74, 252]], [], [true, true]]",
267,q,a,cx_stage2,,"[[[58, 62], [74, 252]], [], [true, true]]",
268,q,a,cx_stage3,,"[[[58, 62], [74, 252]], [], [true, true]]",
269,q,a,u2,,"[[[58, 63]], [], [true]]",
270,q,a,h,,"[[[59, 60]], [], [true]]",
271,q,a,cx_stage1,,"[[[59, 63], [74, 255]], [], [true, true]]",
272,q,a,cx_stage2,,"[[[59, 63], [74, 255]], [], [true, true]]",
273,q,a,cx_stage3,,"[[[59, 63], [74, 255]], [], [true, true]]",
274,q,a,h,,"[[[59, 64]], [], [true]]",
