edge_index,node_id
0,q0_t0
0,q0_t1
1,q0_t1
1,q0_t2
2,q0_t10
2,q0_t11
3,q0_t10
3,q0_t9
4,q0_t2
4,q0_t3
5,q0_t3
5,q0_t4
6,q0_t4
6,q0_t5
7,q0_t5
7,q0_t6
7,q13_t53
7,q13_t54
8,q0_t6
8,q0_t7
9,q0_t7
9,q0_t8
10,q0_t8
10,q0_t9
11,q10_t37
11,q10_t38
12,q10_t38
12,q10_t39
13,q10_t39
13,q10_t40
14,q10_t40
14,q10_t41
15,q10_t41
15,q10_t42
15,q13_t83
15,q13_t84
16,q10_t42
16,q10_t43
17,q10_t43
17,q10_t44
18,q10_t44
18,q10_t45
19,q10_t45
19,q10_t46
20,q11_t40
20,q11_t41
21,q11_t41
21,q11_t42
22,q11_t42
22,q11_t43
23,q11_t43
23,q11_t44
24,q11_t44
24,q11_t45
25,q11_t45
25,q11_t46
25,q13_t86
25,q13_t87
26,q11_t46
26,q11_t47
27,q11_t47
27,q11_t48
28,q11_t48
28,q11_t49
29,q11_t49
29,q11_t50
30,q11_t50
30,q11_t51
31,q12_t44
31,q12_t45
32,q12_t45
32,q12_t46
33,q12_t46
33,q12_t47
34,q12_t47
34,q12_t48
35,q12_t48
35,q12_t49
36,q12_t49
36,q12_t50
36,q13_t89
36,q13_t90
37,q12_t50
37,q12_t51
38,q12_t51
38,q12_t52
39,q12_t52
39,q12_t53
40,q12_t53
40,q12_t54
41,q12_t54
41,q12_t55
42,q13_t48
42,q13_t49
43,q13_t49
43,q13_t50
44,q13_t50
44,q13_t51
45,q13_t51
45,q13_t52
46,q13_t52
46,q13_t53
47,q13_t54
47,q13_t55
48,q13_t55
48,q13_t56
49,q13_t56
49,q13_t57
49,q1_t10
49,q1_t9
50,q13_t57
50,q13_t58
51,q13_t58
51,q13_t59
52,q13_t59
52,q13_t60
52,q2_t12
52,q2_t13
53,q13_t60
53,q13_t61
54,q13_t61
54,q13_t62
55,q13_t62
55,q13_t63
55,q3_t16
55,q3_t17
56,q13_t63
56,q13_t64
57,q13_t64
57,q13_t65
58,q13_t65
58,q13_t66
58,q4_t19
58,q4_t20
59,q13_t66
59,q13_t67
60,q13_t67
60,q13_t68
61,q13_t68
61,q13_t69
61,q5_t23
61,q5_t24
62,q13_t69
62,q13_t70
63,q13_t70
63,q13_t71
64,q13_t71
64,q13_t72
64,q6_t27
64,q6_t28
65,q13_t72
65,q13_t73
66,q13_t73
66,q13_t74
67,q13_t74
67,q13_t75
67,q7_t30
67,q7_t31
68,q13_t75
68,q13_t76
69,q13_t76
69,q13_t77
70,q13_t77
70,q13_t78
70,q8_t34
70,q8_t35
71,q13_t78
71,q13_t79
72,q13_t79
72,q13_t80
73,q13_t80
73,q13_t81
73,q9_t38
73,q9_t39
74,q13_t81
74,q13_t82
75,q13_t82
75,q13_t83
76,q13_t84
76,q13_t85
77,q13_t85
77,q13_t86
78,q13_t87
78,q13_t88
79,q13_t88
79,q13_t89
80,q13_t90
80,q13_t91
81,q1_t10
81,q1_t11
82,q1_t11
82,q1_t12
83,q1_t12
83,q1_t13
84,q1_t13
84,q1_t14
85,q1_t14
85,q1_t15
86,q1_t4
86,q1_t5
87,q1_t5
87,q1_t6
88,q1_t6
88,q1_t7
89,q1_t7
89,q1_t8
90,q1_t8
90,q1_t9
91,q2_t10
91,q2_t11
92,q2_t10
92,q2_t9
93,q2_t11
93,q2_t12
94,q2_t13
94,q2_t14
95,q2_t14
95,q2_t15
96,q2_t15
96,q2_t16
97,q2_t16
97,q2_t17
98,q2_t8
98,q2_t9
99,q3_t11
99,q3_t12
100,q3_t12
100,q3_t13
101,q3_t13
101,q3_t14
102,q3_t14
102,q3_t15
103,q3_t15
103,q3_t16
104,q3_t17
104,q3_t18
105,q3_t18
105,q3_t19
106,q3_t19
106,q3_t20
107,q3_t20
107,q3_t21
108,q3_t21
108,q3_t22
109,q4_t15
109,q4_t16
110,q4_t16
110,q4_t17
111,q4_t17
111,q4_t18
112,q4_t18
