edge_index,type,realisation,gate_name,role,edge_args,edge_metadata
0,q,a,cx_stage1,,"[[[1, 43], [0, 43]], [], [true, true]]",
1,q,a,cx_stage2,,"[[[1, 43], [0, 43]], [], [true, true]]",
2,q,a,cx_stage3,,"[[[1, 43], [0, 43]], [], [true, true]]",
3,q,a,cx_stage1,,"[[[11, 13], [10, 13]], [], [true, true]]",
4,q,a,cx_stage2,,"[[[11, 13], [10, 13]], [], [true, true]]",
5,q,a,cx_stage3,,"[[[11, 13], [10, 13]], [], [true, true]]",
6,q,a,cx_stage1,,"[[[10, 16], [9, 16]], [], [true, true]]",
7,q,a,cx_stage2,,"[[[10, 16], [9, 16]], [], [true, true]]",
8,q,a,cx_stage3,,"[[[10, 16], [9, 16]], [], [true, true]]",
9,q,a,cx_stage1,,"[[[11, 13], [10, 13]], [], [true, true]]",
10,q,a,cx_stage3,,"[[[12, 10], [11, 10]], [], [true, true]]",
11,q,a,cx_stage3,,"[[[11, 13], [10, 13]], [], [true, true]]",
12,q,a,cx_stage1,,"[[[12, 10], [11, 10]], [], [true, true]]",
13,q,a,cx_stage2,,"[[[12, 10], [11, 10]], [], [true, true]]",
14,q,a,cx_stage3,,"[[[12, 10], [11, 10]], [], [true, true]]",
15,q,a,cx_stage1,,"[[[13, 7], [12, 7]], [], [true, true]]",
16,q,a,cx_stage2,,"[[[13, 7], [12, 7]], [], [true, true]]",
17,q,a,cx_stage3,,"[[[13, 7], [12, 7]], [], [true, true]]",
18,q,a,cx_stage1,,"[[[12, 10], [11, 10]], [], [true, true]]",
19,q,a,cx_stage1,,"[[[14, 4], [13, 4]], [], [true, true]]",
20,q,a,cx_stage2,,"[[[14, 4], [13, 4]], [], [true, true]]",
21,q,a,cx_stage3,,"[[[14, 4], [13, 4]], [], [true, true]]",
22,q,a,cx_stage1,,"[[[13, 7], [12, 7]], [], [true, true]]",
23,q,a,cx_stage3,,"[[[13, 7], [12, 7]], [], [true, true]]",
24,q,a,h,,"[[[14, 1]], [], [true]]",
25,q,a,cx_stage1,,"[[[14, 4], [13, 4]], [], [true, true]]",
26,q,a,cx_stage3,,"[[[14, 4], [13, 4]], [], [true, true]]",
27,q,a,cx_stage1,,"[[[2, 40], [1, 40]], [], [true, true]]",
28,q,a,cx_stage2,,"[[[2, 40], [1, 40]], [], [true, true]]",
29,q,a,cx_stage3,,"[[[2, 40], [1, 40]], [], [true, true]]",
30,q,a,cx_stage1,,"[[[1, 43], [0, 43]], [], [true, true]]",
31,q,a,cx_stage3,,"[[[1, 43], [0, 43]], [], [true, true]]",
32,q,a,cx_stage1,,"[[[3, 37], [2, 37]], [], [true, true]]",
33,q,a,cx_stage2,,"[[[3, 37], [2, 37]], [], [true, true]]",
34,q,a,cx_stage3,,"[[[3, 37], [2, 37]], [], [true, true]]",
35,q,a,cx_stage1,,"[[[2, 40], [1, 40]], [], [true, true]]",
36,q,a,cx_stage3,,"[[[2, 40], [1, 40]], [], [true, true]]",
37,q,a,cx_stage1,,"[[[4, 34], [3, 34]], [], [true, true]]",
38,q,a,cx_stage2,,"[[[4, 34], [3, 34]], [], [true, true]]",
39,q,a,cx_stage3,,"[[[4, 34], [3, 34]], [], [true, true]]",
40,q,a,cx_stage1,,"[[[3, 37], [2, 37]], [], [true, true]]",
41,q,a,cx_stage3,,"[[[3, 37], [2, 37]], [], [true, true]]",
42,q,a,cx_stage1,,"[[[5, 31], [4, 31]], [], [true, true]]",
43,q,a,cx_stage2,,"[[[5, 31], [4, 31]], [], [true, true]]",
44,q,a,cx_stage3,,"[[[5, 31], [4, 31]], [], [true, true]]",
45,q,a,cx_stage1,,"[[[4, 34], [3, 34]], [], [true, true]]",
46,q,a,cx_stage3,,"[[[4, 34], [3, 34]], [], [true, true]]",
47,q,a,cx_stage1,,"[[[6, 28], [5, 28]], [], [true, true]]",
48,q,a,cx_stage2,,"[[[6, 28], [5, 28]], [], [true, true]]",
49,q,a,cx_stage3,,"[[[6, 28], [5, 28]], [], [true, true]]",
50,q,a,cx_stage1,,"[[[5, 31], [4, 31]], [], [true, true]]",
51,q,a,cx_stage3,,"[[[5, 31], [4, 31]], [], [true, true]]",
52,q,a,cx_stage1,,"[[[7, 25], [6, 25]], [], [true, true]]",
53,q,a,cx_stage2,,"[[[7, 25], [6, 25]], [], [true, true]]",
54,q,a,cx_stage3,,"[[[7, 25], [6, 25]], [], [true, true]]",
55,q,a,cx_stage1,,"[[[6, 28], [5, 28]], [], [true, true]]",
56,q,a,cx_stage3,,"[[[6, 28], [5, 28]], [], [true, true]]",
57,q,a,cx_stage1,,"[[[8, 22], [7, 22]], [], [true, true]]",
58,q,a,cx_stage2,,"[[[8, 22], [7, 22]], [], [true, true]]",
59,q,a,cx_stage3,,"[[[8, 22], [7, 22]], [], [true, true]]",
60,q,a,cx_stage1,,"[[[7, 25], [6, 25]], [], [true, true]]",
61,q,a,cx_stage3,,"[[[7, 25], [6, 25]], [], [true, true]]",
62,q,a,cx_stage1,,"[[[9, 19], [8, 19]], [], [true, true]]",
63,q,a,cx_stage2,,"[[[9, 19], [8, 19]], [], [true, true]]",
