edge_index,node_id
0,q0_t181
0,q0_t182
1,q0_t182
1,q0_t183
1,q1_t182
1,q1_t183
2,q0_t183
2,q0_t184
3,q10_t151
3,q10_t152
4,q10_t152
4,q10_t153
4,q11_t152
4,q11_t153
5,q10_t153
5,q10_t154
6,q10_t154
6,q10_t155
7,q10_t155
7,q10_t156
7,q9_t155
7,q9_t156
8,q10_t156
8,q10_t157
9,q11_t148
9,q11_t149
10,q11_t149
10,q11_t150
10,q12_t149
10,q12_t150
11,q11_t150
11,q11_t151
12,q11_t151
12,q11_t152
13,q11_t153
13,q11_t154
14,q12_t145
14,q12_t146
15,q12_t146
15,q12_t147
15,q13_t146
15,q13_t147
16,q12_t147
16,q12_t148
17,q12_t148
17,q12_t149
18,q12_t150
18,q12_t151
19,q13_t142
19,q13_t143
20,q13_t143
20,q13_t144
20,q14_t143
20,q14_t144
21,q13_t144
21,q13_t145
22,q13_t145
22,q13_t146
23,q13_t147
23,q13_t148
24,q14_t139
24,q14_t140
25,q14_t140
25,q14_t141
25,q15_t140
25,q15_t141
26,q14_t141
26,q14_t142
27,q14_t142
27,q14_t143
28,q14_t144
28,q14_t145
29,q15_t136
29,q15_t137
30,q15_t137
30,q15_t138
30,q16_t137
30,q16_t138
31,q15_t138
31,q15_t139
32,q15_t139
32,q15_t140
33,q15_t141
33,q15_t142
34,q16_t133
34,q16_t134
35,q16_t134
35,q16_t135
35,q17_t134
35,q17_t135
36,q16_t135
36,q16_t136
37,q16_t136
37,q16_t137
38,q16_t138
38,q16_t139
39,q17_t130
39,q17_t131
40,q17_t131
40,q17_t132
40,q18_t131
40,q18_t132
41,q17_t132
41,q17_t133
42,q17_t133
42,q17_t134
43,q17_t135
43,q17_t136
44,q18_t127
44,q18_t128
45,q18_t128
45,q18_t129
45,q19_t128
45,q19_t129
46,q18_t129
46,q18_t130
47,q18_t130
47,q18_t131
48,q18_t132
48,q18_t133
49,q19_t124
49,q19_t125
50,q19_t125
50,q19_t126
50,q20_t125
50,q20_t126
51,q19_t126
51,q19_t127
52,q19_t127
52,q19_t128
53,q19_t129
53,q19_t130
54,q1_t178
54,q1_t179
55,q1_t179
55,q1_t180
55,q2_t179
55,q2_t180
56,q1_t180
56,q1_t181
57,q1_t181
57,q1_t182
58,q1_t183
58,q1_t184
59,q20_t121
59,q20_t122
60,q20_t122
60,q20_t123
60,q21_t122
60,q21_t123
61,q20_t123
61,q20_t124
62,q20_t124
62,q20_t125
63,q20_t126
63,q20_t127
64,q21_t118
64,q21_t119
65,q21_t119
65,q21_t120
65,q22_t119
65,q22_t120
66,q21_t120
66,q21_t121
67,q21_t121
67,q21_t122
68,q21_t123
68,q21_t124
69,q22_t115
69,q22_t116
70,q22_t116
70,q22_t117
70,q23_t116
70,q23_t117
71,q22_t117
71,q22_t118
72,q22_t118
72,q22_t119
73,q22_t120
73,q22_t121
74,q23_t112
74,q23_t113
75,q23_t113
75,q23_t114
75,q24_t113
75,q24_t114
76,q23_t114
76,q23_t115
77,q23_t115
77,q23_t116
78,q23_t117
78,q23_t118
79,q24_t109
79,q24_t110
80,q24_t110
80,q24_t111
80,q25_t110
80,q25_t111
81,q24_t111
81,q24_t112
82,q24_t112
82,q24_t113
83,q24_t114
83,q24_t115
84,q25_t106
84,q25_t107
85,q25_t107
85,q25_t108
85,q26_t107
85,q26_t108
86,q25_t108
86,q25_t109
87,q25_t109
87,q25_t110
88,q25_t111
88,q25_t112
89,q26_t103
89,q26_t104
90,q26_t104
90,q26_t105
90,q27_t104
90,q27_t105
91,q26_t105
91,q26_t106
92,q26_t106
92,q26_t107
93,q26_t108
93,q26_t109
94,q27_t100
94,q27_t101
95,q27_t101
95,q27_t102
95,q28_t101
95,q28_t102
96,q27_t102
96,q27_t103
97,q27_t103
97,q27_t104
98,q27_t105
98,q27_t106
99,q28_t100
99,q28_t101
100,q28_t100
100,q28_t99
101,q28_t102
101,q28_t103
102,q28_t97
102,q28_t98
103,q28_t98
103,q28_t99
103,q29_t98
103,q29_t99
104,q29_t100
104,q29_t99
105,q29_t94
105,q29_t95
106,q29_t95
106,q29_t96
106,q30_t95
106,q30_t96
107,q29_t96
107,q29_t97
108,q29_t97
108,q29_t98
109,q2_t175
109,q2_t176
110,q2_t176
110,q2_t177
110,q3_t176
110,q3_t177
111,q2_t177
111,q2_t178
112,q2_t178
112,q2_t179
113,q2_t180
113,q2_t181
114,q30_t91
114,q30_t92
115,q30_t92
115,q30_t93
115,q31_t92
115,q31_t93
116,q30_t93
116,q30_t94
117,q30_t94
117,q30_t95
118,q30_t96
118,q30_t97
119,q31_t88
119,q31_t89
120,q31_t89
120,q31_t90
120,q32_t89
120,q32_t90
121,q31_t90
121,q31_t91
122,q31_t91
122,q31_t92
123,q31_t93
123,q31_t94
124,q32_t85
124,q32_t86
125,q32_t86
125,q32_t87
125,q33_t86
125,q33_t87
126,q32_t87
126,q32_t88
127,q32_t88
127,q32_t89
128,q32_t90
