node_id,type,time,realisation
c0_t239,c,239,a
c10_t212,c,212,a
c11_t209,c,209,a
c12_t206,c,206,a
c13_t203,c,203,a
c14_t200,c,200,a
c15_t197,c,197,a
c16_t194,c,194,a
c17_t191,c,191,a
c18_t188,c,188,a
c19_t185,c,185,a
c1_t239,c,239,a
c20_t182,c,182,a
c21_t179,c,179,a
c22_t176,c,176,a
c23_t173,c,173,a
c24_t170,c,170,a
c25_t167,c,167,a
c26_t164,c,164,a
c27_t161,c,161,a
c28_t158,c,158,a
c29_t155,c,155,a
c2_t236,c,236,a
c30_t152,c,152,a
c31_t149,c,149,a
c32_t146,c,146,a
c33_t143,c,143,a
c34_t140,c,140,a
c35_t137,c,137,a
c36_t134,c,134,a
c37_t131,c,131,a
c38_t128,c,128,a
c39_t125,c,125,a
c3_t233,c,233,a
c40_t122,c,122,a
c41_t119,c,119,a
c42_t116,c,116,a
c43_t113,c,113,a
c44_t110,c,110,a
c45_t107,c,107,a
c46_t104,c,104,a
c47_t101,c,101,a
c48_t98,c,98,a
c49_t95,c,95,a
c4_t230,c,230,a
c50_t92,c,92,a
c51_t89,c,89,a
c52_t86,c,86,a
c53_t83,c,83,a
c54_t80,c,80,a
c55_t77,c,77,a
c56_t74,c,74,a
c57_t71,c,71,a
c58_t68,c,68,a
c59_t65,c,65,a
c5_t227,c,227,a
c60_t62,c,62,a
c61_t59,c,59,a
c62_t56,c,56,a
c63_t53,c,53,a
c64_t50,c,50,a
c65_t47,c,47,a
c66_t44,c,44,a
c67_t41,c,41,a
c68_t38,c,38,a
c69_t35,c,35,a
c6_t224,c,224,a
c70_t32,c,32,a
c71_t29,c,29,a
c72_t26,c,26,a
c73_t23,c,23,a
c74_t20,c,20,a
c75_t17,c,17,a
c76_t14,c,14,a
c77_t11,c,11,a
c78_t8,c,8,a
c79_t5,c,5,a
c7_t221,c,221,a
c8_t218,c,218,a
c9_t215,c,215,a
q0_t235,q,235,a
q0_t236,q,236,a
q0_t237,q,237,a
q0_t238,q,238,a
q10_t205,q,205,a
q10_t206,q,206,a
q10_t207,q,207,a
q10_t208,q,208,a
q10_t209,q,209,a
q10_t210,q,210,a
q10_t211,q,211,a
q11_t202,q,202,a
q11_t203,q,203,a
q11_t204,q,204,a
q11_t205,q,205,a
q11_t206,q,206,a
q11_t207,q,207,a
q11_t208,q,208,a
q12_t199,q,199,a
q12_t200,q,200,a
q12_t201,q,201,a
q12_t202,q,202,a
q12_t203,q,203,a
q12_t204,q,204,a
q12_t205,q,205,a
q13_t196,q,196,a
q13_t197,q,197,a
q13_t198,q,198,a
q13_t199,q,199,a
q13_t200,q,200,a
q13_t201,q,201,a
q13_t202,q,202,a
q14_t193,q,193,a
q14_t194,q,194,a
q14_t195,q,195,a
q14_t196,q,196,a
q14_t197,q,197,a
q14_t198,q,198,a
q14_t199,q,199,a
q15_t190,q,190,a
q15_t191,q,191,a
q15_t192,q,192,a
q15_t193,q,193,a
q15_t194,q,194,a
q15_t195,q,195,a
q15_t196,q,196,a
q16_t187,q,187,a
q16_t188,q,188,a
q16_t189,q,189,a
q16_t190,q,190,a
q16_t191,q,191,a
