node_id,type,time,realisation
c0_t187,c,187,a
c10_t160,c,160,a
c11_t157,c,157,a
c12_t154,c,154,a
c13_t151,c,151,a
c14_t148,c,148,a
c15_t145,c,145,a
c16_t142,c,142,a
c17_t139,c,139,a
c18_t136,c,136,a
c19_t133,c,133,a
c1_t187,c,187,a
c20_t130,c,130,a
c21_t127,c,127,a
c22_t124,c,124,a
c23_t121,c,121,a
c24_t118,c,118,a
c25_t115,c,115,a
c26_t112,c,112,a
c27_t109,c,109,a
c28_t106,c,106,a
c29_t103,c,103,a
c2_t184,c,184,a
c30_t100,c,100,a
c31_t97,c,97,a
c32_t94,c,94,a
c33_t91,c,91,a
c34_t88,c,88,a
c35_t85,c,85,a
c36_t82,c,82,a
c37_t79,c,79,a
c38_t76,c,76,a
c39_t73,c,73,a
c3_t181,c,181,a
c40_t70,c,70,a
c41_t67,c,67,a
c42_t64,c,64,a
c43_t61,c,61,a
c44_t58,c,58,a
c45_t55,c,55,a
c46_t52,c,52,a
c47_t49,c,49,a
c48_t46,c,46,a
c49_t43,c,43,a
c4_t178,c,178,a
c50_t40,c,40,a
c51_t37,c,37,a
c52_t34,c,34,a
c53_t31,c,31,a
c54_t28,c,28,a
c55_t25,c,25,a
c56_t22,c,22,a
c57_t19,c,19,a
c58_t16,c,16,a
c59_t13,c,13,a
c5_t175,c,175,a
c60_t10,c,10,a
c61_t7,c,7,a
c6_t172,c,172,a
c7_t169,c,169,a
c8_t166,c,166,a
c9_t163,c,163,a
q0_t183,q,183,a
q0_t184,q,184,a
q0_t185,q,185,a
q0_t186,q,186,a
q10_t153,q,153,a
q10_t154,q,154,a
q10_t155,q,155,a
q10_t156,q,156,a
q10_t157,q,157,a
q10_t158,q,158,a
q10_t159,q,159,a
q11_t150,q,150,a
q11_t151,q,151,a
q11_t152,q,152,a
q11_t153,q,153,a
q11_t154,q,154,a
q11_t155,q,155,a
q11_t156,q,156,a
q12_t147,q,147,a
q12_t148,q,148,a
q12_t149,q,149,a
q12_t150,q,150,a
q12_t151,q,151,a
q12_t152,q,152,a
q12_t153,q,153,a
q13_t144,q,144,a
q13_t145,q,145,a
q13_t146,q,146,a
q13_t147,q,147,a
q13_t148,q,148,a
q13_t149,q,149,a
q13_t150,q,150,a
q14_t141,q,141,a
q14_t142,q,142,a
q14_t143,q,143,a
q14_t144,q,144,a
q14_t145,q,145,a
q14_t146,q,146,a
q14_t147,q,147,a
q15_t138,q,138,a
q15_t139,q,139,a
q15_t140,q,140,a
q15_t141,q,141,a
q15_t142,q,142,a
q15_t143,q,143,a
q15_t144,q,144,a
q16_t135,q,135,a
q16_t136,q,136,a
q16_t137,q,137,a
q16_t138,q,138,a
q16_t139,q,139,a
q16_t140,q,140,a
q16_t141,q,141,a
q17_t132,q,132,a
q17_t133,q,133,a
q17_t134,q,134,a
q17_t135,q,135,a
q17_t136,q,136,a
q17_t137,q,137,a
q17_t138,q,138,a
q18_t129,q,129,a
q18_t130,q,130,a
q18_t131,q,131,a
q18_t132,q,132,a
q18_t133,q,133,a
q18_t134,q,134,a
q18_t135,q,135,a
q19_t126,q,126,a
q19_t127,q,127,a
q19_t128,q,128,a
q19_t129,q,129,a
q19_t130,q,130,a
q19_t131,q,131,a
q19_t132,q,132,a
q1_t180,q,180,a
q1_t181,q,181,a
q1_t182,q,182,a
q1_t183,q,183,a
q1_t184,q,184,a
q1_t185,q,185,a
q1_t186,q,186,a
q20_t123,q,123,a
q20_t124,q,124,a
q20_t125,q,125,a
q20_t126,q,126,a
q20_t127,q,127,a
q20_t128,q,128,a
q20_t129,q,129,a
q21_t120,q,120,a
q21_t121,q,121,a
q21_t122,q,122,a
q21_t123,q,123,a
q21_t124,q,124,a
q21_t125,q,125,a
q21_t126,q,126,a
q22_t117,q,117,a
q22_t118,q,118,a
q22_t119,q,119,a
q22_t120,q,120,a
q22_t121,q,121,a
q22_t122,q,122,a
q22_t123,q,123,a
q23_t114,q,114,a
q23_t115,q,115,a
q23_t116,q,116,a
q23_t117,q,117,a
q23_t118,q,118,a
q23_t119,q,119,a
q23_t120,q,120,a
q24_t111,q,111,a
q24_t112,q,112,a
q24_t113,q,113,a
q24_t114,q,114,a
q24_t115,q,115,a
q24_t116,q,116,a
q24_t117,q,117,a
q25_t108,q,108,a
q25_t109,q,109,a
q25_t110,q,110,a
q25_t111,q,111,a
q25_t112,q,112,a
q25_t113,q,113,a
q25_t114,q,114,a
q26_t105,q,105,a
q26_t106,q,106,a
q26_t107,q,107,a
q26_t108,q,108,a
q26_t109,q,109,a
q26_t110,q,110,a
q26_t111,q,111,a
q27_t102,q,102,a
q27_t103,q,103,a
q27_t104,q,104,a
q27_t105,q,105,a
q27_t106,q,106,a
q27_t107,q,107,a
q27_t108,q,108,a
q28_t100,q,100,a
q28_t101,q,101,a
q28_t102,q,102,a
q28_t103,q,103,a
q28_t104,q,104,a
q28_t105,q,105,a
q28_t99,q,99,a
q29_t100,q,100,a
q29_t101,q,101,a
q29_t102,q,102,a
q29_t96,q,96,a
q29_t97,q,97,a
q29_t98,q,98,a
q29_t99,q,99,a
q2_t177,q,177,a
q2_t178,q,178,a
q2_t179,q,179,a
q2_t180,q,180,a
q2_t181,q,181,a
