edge_index,node_id
0,q0_t243
0,q0_t244
1,q0_t244
1,q0_t245
1,q1_t244
1,q1_t245
2,q0_t245
2,q0_t246
3,q10_t213
3,q10_t214
4,q10_t214
4,q10_t215
4,q11_t214
4,q11_t215
5,q10_t215
5,q10_t216
6,q10_t216
6,q10_t217
7,q10_t217
7,q10_t218
7,q9_t217
7,q9_t218
8,q10_t218
8,q10_t219
9,q11_t210
9,q11_t211
10,q11_t211
10,q11_t212
10,q12_t211
10,q12_t212
11,q11_t212
11,q11_t213
12,q11_t213
12,q11_t214
13,q11_t215
13,q11_t216
14,q12_t207
14,q12_t208
15,q12_t208
15,q12_t209
15,q13_t208
15,q13_t209
16,q12_t209
16,q12_t210
17,q12_t210
17,q12_t211
18,q12_t212
18,q12_t213
19,q13_t204
19,q13_t205
20,q13_t205
20,q13_t206
20,q14_t205
20,q14_t206
21,q13_t206
21,q13_t207
22,q13_t207
22,q13_t208
23,q13_t209
23,q13_t210
24,q14_t201
24,q14_t202
25,q14_t202
25,q14_t203
25,q15_t202
25,q15_t203
26,q14_t203
26,q14_t204
27,q14_t204
27,q14_t205
28,q14_t206
28,q14_t207
29,q15_t198
29,q15_t199
30,q15_t199
30,q15_t200
30,q16_t199
30,q16_t200
31,q15_t200
31,q15_t201
32,q15_t201
32,q15_t202
33,q15_t203
33,q15_t204
34,q16_t195
34,q16_t196
35,q16_t196
35,q16_t197
35,q17_t196
35,q17_t197
36,q16_t197
36,q16_t198
37,q16_t198
37,q16_t199
38,q16_t200
38,q16_t201
39,q17_t192
39,q17_t193
40,q17_t193
40,q17_t194
40,q18_t193
40,q18_t194
41,q17_t194
41,q17_t195
42,q17_t195
42,q17_t196
43,q17_t197
43,q17_t198
44,q18_t189
44,q18_t190
45,q18_t190
45,q18_t191
45,q19_t190
45,q19_t191
46,q18_t191
46,q18_t192
47,q18_t192
47,q18_t193
48,q18_t194
48,q18_t195
49,q19_t186
49,q19_t187
50,q19_t187
50,q19_t188
50,q20_t187
50,q20_t188
51,q19_t188
51,q19_t189
52,q19_t189
52,q19_t190
53,q19_t191
53,q19_t192
54,q1_t240
54,q1_t241
55,q1_t241
55,q1_t242
55,q2_t241
55,q2_t242
56,q1_t242
56,q1_t243
57,q1_t243
57,q1_t244
58,q1_t245
58,q1_t246
59,q20_t183
59,q20_t184
60,q20_t184
60,q20_t185
60,q21_t184
60,q21_t185
61,q20_t185
61,q20_t186
62,q20_t186
62,q20_t187
63,q20_t188
63,q20_t189
64,q21_t180
64,q21_t181
65,q21_t181
65,q21_t182
65,q22_t181
65,q22_t182
66,q21_t182
66,q21_t183
67,q21_t183
67,q21_t184
68,q21_t185
68,q21_t186
69,q22_t177
69,q22_t178
70,q22_t178
70,q22_t179
70,q23_t178
70,q23_t179
71,q22_t179
71,q22_t180
72,q22_t180
72,q22_t181
73,q22_t182
73,q22_t183
74,q23_t174
74,q23_t175
75,q23_t175
75,q23_t176
75,q24_t175
75,q24_t176
76,q23_t176
76,q23_t177
77,q23_t177
77,q23_t178
78,q23_t179
78,q23_t180
79,q24_t171
79,q24_t172
80,q24_t172
80,q24_t173
80,q25_t172
80,q25_t173
81,q24_t173
81,q24_t174
82,q24_t174
82,q24_t175
83,q24_t176
83,q24_t177
84,q25_t168
84,q25_t169
85,q25_t169
85,q25_t170
85,q26_t169
85,q26_t170
86,q25_t170
86,q25_t171
87,q25_t171
87,q25_t172
88,q25_t173
88,q25_t174
89,q26_t165
89,q26_t166
90,q26_t166
90,q26_t167
90,q27_t166
90,q27_t167
91,q26_t167
91,q26_t168
92,q26_t168
92,q26_t169
93,q26_t170
93,q26_t171
94,q27_t162
94,q27_t163
95,q27_t163
95,q27_t164
95,q28_t163
95,q28_t164
96,q27_t164
96,q27_t165
97,q27_t165
97,q27_t166
98,q27_t167
98,q27_t168
99,q28_t159
99,q28_t160
100,q28_t160
100,q28_t161
100,q29_t160
100,q29_t161
101,q28_t161
101,q28_t162
102,q28_t162
102,q28_t163
103,q28_t164
103,q28_t165
104,q29_t156
104,q29_t157
105,q29_t157
105,q29_t158
105,q30_t157
105,q30_t158
106,q29_t158
106,q29_t159
107,q29_t159
107,q29_t160
108,q29_t161
108,q29_t162
109,q2_t237
109,q2_t238
110,q2_t238
110,q2_t239
110,q3_t238
110,q3_t239
111,q2_t239
111,q2_t240
112,q2_t240
112,q2_t241
113,q2_t242
113,q2_t243
114,q30_t153
114,q30_t154
115,q30_t154
115,q30_t155
115,q31_t154
115,q31_t155
116,q30_t155
116,q30_t156
117,q30_t156
117,q30_t157
118,q30_t158
118,q30_t159
119,q31_t150
119,q31_t151
120,q31_t151
120,q31_t152
120,q32_t151
120,q32_t152
121,q31_t152
121,q31_t153
122,q31_t153
122,q31_t154
123,q31_t155
123,q31_t156
124,q32_t147
124,q32_t148
125,q32_t148
125,q32_t149
125,q33_t148
125,q33_t149
126,q32_t149
126,q32_t150
127,q32_t150
127,q32_t151
128,q32_t152
128,q32_t153
129,q33_t144
129,q33_t145
130,q33_t145
130,q33_t146
130,q34_t145
130,q34_t146
131,q33_t146
131,q33_t147
132,q33_t147
132,q33_t148
133,q33_t149
133,q33_t150
134,q34_t141
134,q34_t142
135,q34_t142
135,q34_t143
135,q35_t142
135,q35_t143
136,q34_t143
136,q34_t144
137,q34_t144
137,q34_t145
138,q34_t146
138,q34_t147
139,q35_t138
139,q35_t139
140,q35_t139
140,q35_t140
140,q36_t139
140,q36_t140
141,q35_t140
141,q35_t141
142,q35_t141
142,q35_t142
143,q35_t143
143,q35_t144
144,q36_t135
144,q36_t136
145,q36_t136
145,q36_t137
145,q37_t136
145,q37_t137
146,q36_t137
146,q36_t138
147,q36_t138
147,q36_t139
148,q36_t140
148,q36_t141
149,q37_t132
149,q37_t133
150,q37_t133
150,q37_t134
150,q38_t133
150,q38_t134
151,q37_t134
151,q37_t135
152,q37_t135
152,q37_t136
153,q37_t137
153,q37_t138
154,q38_t129
154,q38_t130
155,q38_t130
155,q38_t131
155,q39_t130
155,q39_t131
156,q38_t131
156,q38_t132
157,q38_t132
157,q38_t133
158,q38_t134
158,q38_t135
159,q39_t126
159,q39_t127
160,q39_t127
160,q39_t128
160,q40_t127
160,q40_t128
161,q39_t128
161,q39_t129
162,q39_t129
162,q39_t130
163,q39_t131
163,q39_t132
164,q3_t234
164,q3_t235
165,q3_t235
165,q3_t236
165,q4_t235
165,q4_t236
166,q3_t236
166,q3_t237
167,q3_t237
167,q3_t238
168,q3_t239
168,q3_t240
169,q40_t123
169,q40_t124
170,q40_t124
170,q40_t125
170,q41_t124
170,q41_t125
171,q40_t125
171,q40_t126
172,q40_t126
172,q40_t127
173,q40_t128
173,q40_t129
174,q41_t120
174,q41_t121
175,q41_t121
175,q41_t122
175,q42_t121
175,q42_t122
176,q41_t122
176,q41_t123
177,q41_t123
177,q41_t124
178,q41_t125
178,q41_t126
179,q42_t117
179,q42_t118
180,q42_t118
180,q42_t119
180,q43_t118
180,q43_t119
181,q42_t119
181,q42_t120
182,q42_t120
182,q42_t121
183,q42_t122
183,q42_t123
184,q43_t114
184,q43_t115
185,q43_t115
185,q43_t116
185,q44_t115
185,q44_t116
186,q43_t116
186,q43_t117
187,q43_t117
187,q43_t118
188,q43_t119
188,q43_t120
189,q44_t111
189,q44_t112
190,q44_t112
190,q44_t113
190,q45_t112
190,q45_t113
191,q44_t113
191,q44_t114
192,q44_t114
192,q44_t115
193,q44_t116
193,q44_t117
194,q45_t108
194,q45_t109
195,q45_t109
195,q45_t110
195,q46_t109
195,q46_t110
196,q45_t110
196,q45_t111
197,q45_t111
197,q45_t112
198,q45_t113
198,q45_t114
199,q46_t105
199,q46_t106
200,q46_t106
200,q46_t107
200,q47_t106
200,q47_t107
201,q46_t107
201,q46_t108
202,q46_t108
202,q46_t109
203,q46_t110
203,q46_t111
204,q47_t102
204,q47_t103
205,q47_t103
205,q47_t104
205,q48_t103
205,q48_t104
206,q47_t104
206,q47_t105
207,q47_t105
207,q47_t106
208,q47_t107
208,q47_t108
209,q48_t100
209,q48_t101
209,q49_t100
209,q49_t101
210,q48_t100
210,q48_t99
211,q48_t101
211,q48_t102
212,q48_t102
212,q48_t103
213,q48_t104
213,q48_t105
214,q49_t100
214,q49_t99
215,q49_t101
215,q49_t102
216,q49_t96
216,q49_t97
217,q49_t97
217,q49_t98
217,q50_t97
217,q50_t98
218,q49_t98
218,q49_t99
219,q4_t231
219,q4_t232
220,q4_t232
220,q4_t233
220,q5_t232
220,q5_t233
221,q4_t233
221,q4_t234
222,q4_t234
222,q4_t235
223,q4_t236
223,q4_t237
224,q50_t93
224,q50_t94
225,q50_t94
225,q50_t95
225,q51_t94
225,q51_t95
226,q50_t95
226,q50_t96
227,q50_t96
227,q50_t97
228,q50_t98
228,q50_t99
229,q51_t90
229,q51_t91
230,q51_t91
230,q51_t92
230,q52_t91
230,q52_t92
231,q51_t92
231,q51_t93
232,q51_t93
232,q51_t94
233,q51_t95
233,q51_t96
234,q52_t87
234,q52_t88
235,q52_t88
235,q52_t89
235,q53_t88
235,q53_t89
236,q52_t89
236,q52_t90
237,q52_t90
237,q52_t91
238,q52_t92
238,q52_t93
239,q53_t84
239,q53_t85
240,q53_t85
240,q53_t86
240,q54_t85
240,q54_t86
241,q53_t86
241,q53_t87
242,q53_t87
242,q53_t88
243,q53_t89
243,q53_t90
244,q54_t81
244,q54_t82
245,q54_t82
245,q54_t83
245,q55_t82
245,q55_t83
246,q54_t83
246,q54_t84
247,q54_t84
247,q54_t85
248,q54_t86
248,q54_t87
249,q55_t78
249,q55_t79
250,q55_t79
250,q55_t80
250,q56_t79
250,q56_t80
251,q55_t80
251,q55_t81
252,q55_t81
252,q55_t82
253,q55_t83
253,q55_t84
254,q56_t75
254,q56_t76
255,q56_t76
255,q56_t77
255,q57_t76
255,q57_t77
256,q56_t77
256,q56_t78
257,q56_t78
257,q56_t79
258,q56_t80
258,q56_t81
259,q57_t72
259,q57_t73
260,q57_t73
260,q57_t74
260,q58_t73
260,q58_t74
261,q57_t74
261,q57_t75
262,q57_t75
262,q57_t76
263,q57_t77
263,q57_t78
264,q58_t69
264,q58_t70
265,q58_t70
265,q58_t71
265,q59_t70
265,q59_t71
266,q58_t71
266,q58_t72
267,q58_t72
267,q58_t73
268,q58_t74
268,q58_t75
269,q59_t66
269,q59_t67
270,q59_t67
270,q59_t68
270,q60_t67
270,q60_t68
271,q59_t68
271,q59_t69
272,q59_t69
272,q59_t70
273,q59_t71
273,q59_t72
274,q5_t228
274,q5_t229
275,q5_t229
275,q5_t230
275,q6_t229
275,q6_t230
276,q5_t230
276,q5_t231
277,q5_t231
277,q5_t232
278,q5_t233
278,q5_t234
279,q60_t63
279,q60_t64
280,q60_t64
280,q60_t65
280,q61_t64
280,q61_t65
281,q60_t65
281,q60_t66
282,q60_t66
282,q60_t67
