edge_index,node_id
0,q0_t0
0,q0_t1
1,q0_t1
1,q0_t2
2,q0_t2
2,q0_t3
2,q1_t3
2,q1_t4
3,q0_t3
3,q0_t4
4,q0_t4
4,q0_t5
5,q0_t5
5,q0_t6
5,q28_t84
5,q28_t85
6,q0_t6
6,q0_t7
7,q10_t28
7,q10_t29
8,q10_t29
8,q10_t30
9,q10_t30
9,q10_t31
9,q11_t31
9,q11_t32
10,q10_t31
10,q10_t32
11,q10_t32
11,q10_t33
12,q10_t33
12,q10_t34
12,q39_t122
12,q39_t123
13,q10_t34
13,q10_t35
14,q11_t29
14,q11_t30
15,q11_t30
15,q11_t31
16,q11_t32
16,q11_t33
17,q11_t33
17,q11_t34
18,q11_t34
18,q11_t35
18,q17_t52
18,q17_t53
19,q11_t35
19,q11_t36
20,q12_t33
20,q12_t34
21,q12_t34
21,q12_t35
22,q12_t35
22,q12_t36
22,q13_t39
22,q13_t40
23,q12_t36
23,q12_t37
24,q12_t37
24,q12_t38
25,q12_t38
25,q12_t39
25,q40_t126
25,q40_t127
26,q12_t39
26,q12_t40
27,q13_t34
27,q13_t35
28,q13_t35
28,q13_t36
29,q13_t36
29,q13_t37
29,q3_t11
29,q3_t12
30,q13_t37
30,q13_t38
31,q13_t38
31,q13_t39
32,q13_t40
32,q13_t41
33,q14_t41
33,q14_t42
34,q14_t42
34,q14_t43
35,q14_t43
35,q14_t44
35,q6_t20
35,q6_t21
36,q14_t44
36,q14_t45
37,q14_t45
37,q14_t46
38,q14_t46
38,q14_t47
38,q34_t102
38,q34_t103
39,q14_t47
39,q14_t48
40,q15_t45
40,q15_t46
41,q15_t46
41,q15_t47
42,q15_t47
42,q15_t48
42,q16_t48
42,q16_t49
43,q15_t48
43,q15_t49
44,q15_t49
44,q15_t50
45,q15_t50
45,q15_t51
45,q73_t279
45,q73_t280
46,q15_t51
46,q15_t52
47,q16_t46
47,q16_t47
48,q16_t47
48,q16_t48
49,q16_t49
49,q16_t50
50,q16_t50
50,q16_t51
51,q16_t51
51,q16_t52
51,q77_t304
51,q77_t305
52,q16_t52
52,q16_t53
53,q17_t50
53,q17_t51
54,q17_t51
54,q17_t52
55,q17_t53
55,q17_t54
56,q17_t54
56,q17_t55
57,q17_t55
57,q17_t56
57,q48_t152
57,q48_t153
58,q17_t56
58,q17_t57
59,q18_t54
59,q18_t55
60,q18_t55
60,q18_t56
61,q18_t56
61,q18_t57
61,q9_t29
61,q9_t30
62,q18_t57
62,q18_t58
63,q18_t58
63,q18_t59
64,q18_t59
64,q18_t60
64,q19_t60
64,q19_t61
65,q18_t60
65,q18_t61
66,q19_t58
66,q19_t59
67,q19_t59
67,q19_t60
68,q19_t61
68,q19_t62
69,q19_t62
69,q19_t63
70,q19_t63
70,q19_t64
70,q65_t229
70,q65_t230
71,q19_t64
71,q19_t65
72,q1_t1
72,q1_t2
73,q1_t2
73,q1_t3
74,q1_t4
74,q1_t5
75,q1_t5
75,q1_t6
76,q1_t6
76,q1_t7
76,q70_t261
76,q70_t262
77,q1_t7
77,q1_t8
78,q20_t62
78,q20_t63
79,q20_t63
79,q20_t64
80,q20_t64
80,q20_t65
80,q21_t65
80,q21_t66
81,q20_t65
81,q20_t66
82,q20_t66
82,q20_t67
83,q20_t67
83,q20_t68
83,q63_t215
83,q63_t216
84,q20_t68
84,q20_t69
85,q21_t63
85,q21_t64
86,q21_t64
86,q21_t65
87,q21_t66
87,q21_t67
88,q21_t67
88,q21_t68
89,q21_t68
89,q21_t69
89,q71_t268
89,q71_t269
90,q21_t69
90,q21_t70
91,q22_t67
91,q22_t68
92,q22_t68
92,q22_t69
93,q22_t69
93,q22_t70
93,q23_t70
93,q23_t71
94,q22_t70
94,q22_t71
95,q22_t71
95,q22_t72
96,q22_t72
96,q22_t73
96,q57_t188
96,q57_t189
97,q22_t73
97,q22_t74
98,q23_t68
98,q23_t69
99,q23_t69
99,q23_t70
100,q23_t71
100,q23_t72
101,q23_t72
101,q23_t73
102,q23_t73
