node_id,type,time,realisation
c0_t8,c,8,a
c10_t33,c,33,a
c11_t34,c,34,a
c12_t38,c,38,a
c13_t39,c,39,a
c14_t46,c,46,a
c15_t47,c,47,a
c16_t51,c,51,a
c17_t52,c,52,a
c18_t56,c,56,a
c19_t57,c,57,a
c1_t9,c,9,a
c20_t61,c,61,a
c21_t62,c,62,a
c22_t66,c,66,a
c23_t67,c,67,a
c24_t71,c,71,a
c25_t75,c,75,a
c26_t76,c,76,a
c27_t80,c,80,a
c28_t81,c,81,a
c29_t85,c,85,a
c2_t13,c,13,a
c30_t86,c,86,a
c31_t90,c,90,a
c32_t94,c,94,a
c33_t98,c,98,a
c34_t105,c,105,a
c35_t109,c,109,a
c36_t113,c,113,a
c37_t114,c,114,a
c38_t118,c,118,a
c39_t119,c,119,a
c3_t14,c,14,a
c40_t126,c,126,a
c41_t127,c,127,a
c42_t131,c,131,a
c43_t135,c,135,a
c44_t139,c,139,a
c45_t140,c,140,a
c46_t144,c,144,a
c47_t148,c,148,a
c48_t155,c,155,a
c49_t159,c,159,a
c4_t18,c,18,a
c50_t163,c,163,a
c51_t170,c,170,a
c52_t171,c,171,a
c53_t178,c,178,a
c54_t179,c,179,a
c55_t183,c,183,a
c56_t184,c,184,a
c57_t188,c,188,a
c58_t189,c,189,a
c59_t196,c,196,a
c5_t19,c,19,a
c60_t203,c,203,a
c61_t210,c,210,a
c62_t217,c,217,a
c63_t218,c,218,a
c64_t225,c,225,a
c65_t229,c,229,a
c66_t233,c,233,a
c67_t237,c,237,a
c68_t244,c,244,a
c69_t251,c,251,a
c6_t23,c,23,a
c70_t252,c,252,a
c71_t256,c,256,a
c72_t260,c,260,a
c73_t267,c,267,a
c74_t268,c,268,a
c75_t275,c,275,a
c76_t279,c,279,a
c77_t286,c,286,a
c78_t293,c,293,a
c79_t300,c,300,a
c7_t24,c,24,a
c80_t307,c,307,a
c81_t314,c,314,a
c82_t318,c,318,a
c83_t325,c,325,a
c84_t329,c,329,a
c85_t333,c,333,a
c86_t340,c,340,a
c87_t347,c,347,a
c88_t354,c,354,a
c89_t361,c,361,a
c8_t28,c,28,a
c9_t29,c,29,a
q0_t0,q,0,a
q0_t1,q,1,a
q0_t2,q,2,a
q0_t3,q,3,a
q0_t4,q,4,a
q0_t5,q,5,a
q0_t6,q,6,a
q0_t7,q,7,a
q10_t25,q,25,a
q10_t26,q,26,a
q10_t27,q,27,a
q10_t28,q,28,a
q10_t29,q,29,a
q10_t30,q,30,a
q10_t31,q,31,a
q10_t32,q,32,a
q11_t26,q,26,a
q11_t27,q,27,a
q11_t28,q,28,a
q11_t29,q,29,a
q11_t30,q,30,a
q11_t31,q,31,a
q11_t32,q,32,a
q11_t33,q,33,a
q12_t30,q,30,a
q12_t31,q,31,a
q12_t32,q,32,a
q12_t33,q,33,a
q12_t34,q,34,a
q12_t35,q,35,a
q12_t36,q,36,a
q12_t37,q,37,a
q13_t31,q,31,a
q13_t32,q,32,a
q13_t33,q,33,a
q13_t34,q,34,a
q13_t35,q,35,a
q13_t36,q,36,a
q13_t37,q,37,a
q13_t38,q,38,a
q14_t38,q,38,a
q14_t39,q,39,a
q14_t40,q,40,a
q14_t41,q,41,a
q14_t42,q,42,a
q14_t43,q,43,a
q14_t44,q,44,a
q14_t45,q,45,a
q15_t39,q,39,a
q15_t40,q,40,a
q15_t41,q,41,a
q15_t42,q,42,a
q15_t43,q,43,a
q15_t44,q,44,a
q15_t45,q,45,a
q15_t46,q,46,a
q16_t43,q,43,a
q16_t44,q,44,a
q16_t45,q,45,a
q16_t46,q,46,a
q16_t47,q,47,a
q16_t48,q,48,a
q16_t49,q,49,a
q16_t50,q,50,a
q17_t44,q,44,a
q17_t45,q,45,a
q17_t46,q,46,a
q17_t47,q,47,a
q17_t48,q,48,a
q17_t49,q,49,a
q17_t50,q,50,a
q17_t51,q,51,a
q18_t48,q,48,a
q18_t49,q,49,a
q18_t50,q,50,a
q18_t51,q,51,a
q18_t52,q,52,a
q18_t53,q,53,a
q18_t54,q,54,a
q18_t55,q,55,a
q19_t49,q,49,a
q19_t50,q,50,a
q19_t51,q,51,a
q19_t52,q,52,a
q19_t53,q,53,a
q19_t54,q,54,a
q19_t55,q,55,a
q19_t56,q,56,a
q1_t1,q,1,a
q1_t2,q,2,a
q1_t3,q,3,a
q1_t4,q,4,a
q1_t5,q,5,a
q1_t6,q,6,a
q1_t7,q,7,a
q1_t8,q,8,a
q20_t53,q,53,a
q20_t54,q,54,a
q20_t55,q,55,a
q20_t56,q,56,a
q20_t57,q,57,a
q20_t58,q,58,a
q20_t59,q,59,a
q20_t60,q,60,a
q21_t54,q,54,a
q21_t55,q,55,a
q21_t56,q,56,a
q21_t57,q,57,a
q21_t58,q,58,a
