edge_index,type,realisation,gate_name,role,edge_args,edge_metadata
0,q,a,rz,,"[[[0, 1]], [], [true]]",
1,q,a,sx,,"[[[0, 2]], [], [true]]",
2,q,a,rz,,"[[[0, 3]], [], [true]]",
3,q,a,cx_stage1,,"[[[0, 6], [1, 12]], [], [true, true]]",
4,q,a,cx_stage2,,"[[[0, 6], [1, 12]], [], [true, true]]",
5,q,a,cx_stage3,,"[[[0, 6], [1, 12]], [], [true, true]]",
6,q,a,cx_stage1,,"[[[0, 9], [8, 69]], [], [true, true]]",
7,q,a,cx_stage2,,"[[[0, 9], [8, 69]], [], [true, true]]",
8,q,a,cx_stage3,,"[[[0, 9], [8, 69]], [], [true, true]]",
9,q,a,rz,,"[[[100, 1165]], [], [true]]",
10,q,a,sx,,"[[[100, 1166]], [], [true]]",
11,q,a,rz,,"[[[100, 1167]], [], [true]]",
12,q,a,rz,,"[[[100, 1168]], [], [true]]",
13,q,a,sx,,"[[[100, 1169]], [], [true]]",
14,q,a,rz,,"[[[100, 1170]], [], [true]]",
15,q,a,cx_stage1,,"[[[2, 24], [100, 1173]], [], [true, true]]",
16,q,a,cx_stage2,,"[[[2, 24], [100, 1173]], [], [true, true]]",
17,q,a,cx_stage3,,"[[[2, 24], [100, 1173]], [], [true, true]]",
18,q,a,rz,,"[[[100, 1174]], [], [true]]",
19,q,a,sx,,"[[[100, 1175]], [], [true]]",
20,q,a,rz,,"[[[100, 1176]], [], [true]]",
21,q,a,cx_stage1,,"[[[100, 1179], [102, 1215]], [], [true, true]]",
22,q,a,cx_stage2,,"[[[100, 1179], [102, 1215]], [], [true, true]]",
23,q,a,cx_stage3,,"[[[100, 1179], [102, 1215]], [], [true, true]]",
24,q,a,rz,,"[[[101, 1177]], [], [true]]",
25,q,a,sx,,"[[[101, 1178]], [], [true]]",
26,q,a,rz,,"[[[101, 1179]], [], [true]]",
27,q,a,rz,,"[[[101, 1180]], [], [true]]",
28,q,a,sx,,"[[[101, 1181]], [], [true]]",
29,q,a,rz,,"[[[101, 1182]], [], [true]]",
30,q,a,cx_stage1,,"[[[47, 447], [101, 1185]], [], [true, true]]",
31,q,a,cx_stage2,,"[[[47, 447], [101, 1185]], [], [true, true]]",
32,q,a,cx_stage3,,"[[[47, 447], [101, 1185]], [], [true, true]]",
33,q,a,rz,,"[[[101, 1186]], [], [true]]",
34,q,a,sx,,"[[[101, 1187]], [], [true]]",
35,q,a,rz,,"[[[101, 1188]], [], [true]]",
36,q,a,rz,,"[[[101, 1189]], [], [true]]",
37,q,a,sx,,"[[[101, 1190]], [], [true]]",
38,q,a,rz,,"[[[101, 1191]], [], [true]]",
39,q,a,cx_stage1,,"[[[83, 897], [101, 1194]], [], [true, true]]",
40,q,a,cx_stage2,,"[[[83, 897], [101, 1194]], [], [true, true]]",
41,q,a,cx_stage3,,"[[[83, 897], [101, 1194]], [], [true, true]]",
42,q,a,rz,,"[[[101, 1195]], [], [true]]",
43,q,a,sx,,"[[[101, 1196]], [], [true]]",
44,q,a,rz,,"[[[101, 1197]], [], [true]]",
45,q,a,rz,,"[[[102, 1198]], [], [true]]",
46,q,a,sx,,"[[[102, 1199]], [], [true]]",
47,q,a,rz,,"[[[102, 1200]], [], [true]]",
48,q,a,rz,,"[[[102, 1201]], [], [true]]",
49,q,a,sx,,"[[[102, 1202]], [], [true]]",
50,q,a,rz,,"[[[102, 1203]], [], [true]]",
51,q,a,cx_stage1,,"[[[79, 858], [102, 1206]], [], [true, true]]",
52,q,a,cx_stage2,,"[[[79, 858], [102, 1206]], [], [true, true]]",
53,q,a,cx_stage3,,"[[[79, 858], [102, 1206]], [], [true, true]]",
54,q,a,rz,,"[[[102, 1207]], [], [true]]",
55,q,a,sx,,"[[[102, 1208]], [], [true]]",
56,q,a,rz,,"[[[102, 1209]], [], [true]]",
57,q,a,rz,,"[[[102, 1210]], [], [true]]",
58,q,a,sx,,"[[[102, 1211]], [], [true]]",
59,q,a,rz,,"[[[102, 1212]], [], [true]]",
60,q,a,cx_stage1,,"[[[100, 1179], [102, 1215]], [], [true, true]]",
61,q,a,cx_stage3,,"[[[100, 1179], [102, 1215]], [], [true, true]]",
62,q,a,rz,,"[[[102, 1216]], [], [true]]",
63,q,a,sx,,"[[[102, 1217]], [], [true]]",
64,q,a,rz,,"[[[102, 1218]], [], [true]]",
65,q,a,rz,,"[[[103, 1219]], [], [true]]",
66,q,a,sx,,"[[[103, 1220]], [], [true]]",
67,q,a,rz,,"[[[103, 1221]], [], [true]]",
68,q,a,rz,,"[[[103, 1222]], [], [true]]",
69,q,a,sx,,"[[[103, 1223]], [], [true]]",
70,q,a,rz,,"[[[103, 1224]], [], [true]]",
71,q,a,cx_stage1,,"[[[27, 249], [103, 1227]], [], [true, true]]",
72,q,a,cx_stage2,,"[[[27, 249], [103, 1227]], [], [true, true]]",
73,q,a,cx_stage3,,"[[[27, 249], [103, 1227]], [], [true, true]]",
