edge_index,node_id
0,q0_t0
0,q0_t1
1,q0_t1
1,q0_t2
2,q0_t2
2,q0_t3
3,q0_t3
3,q0_t4
4,q0_t4
4,q0_t5
4,q1_t10
4,q1_t11
5,q0_t5
5,q0_t6
6,q0_t6
6,q0_t7
7,q0_t7
7,q0_t8
7,q59_t553
7,q59_t554
8,q0_t8
8,q0_t9
9,q100_t1128
9,q100_t1129
10,q100_t1129
10,q100_t1130
11,q100_t1130
11,q100_t1131
12,q100_t1131
12,q100_t1132
13,q100_t1132
13,q100_t1133
14,q100_t1133
14,q100_t1134
15,q100_t1134
15,q100_t1135
16,q100_t1135
16,q100_t1136
16,q84_t913
16,q84_t914
17,q100_t1136
17,q100_t1137
18,q100_t1137
18,q100_t1138
19,q100_t1138
19,q100_t1139
20,q100_t1139
20,q100_t1140
21,q100_t1140
21,q100_t1141
22,q100_t1141
22,q100_t1142
22,q112_t1324
22,q112_t1325
23,q100_t1142
23,q100_t1143
24,q101_t1140
24,q101_t1141
25,q101_t1141
25,q101_t1142
26,q101_t1142
26,q101_t1143
27,q101_t1143
27,q101_t1144
28,q101_t1144
28,q101_t1145
29,q101_t1145
29,q101_t1146
30,q101_t1146
30,q101_t1147
31,q101_t1147
31,q101_t1148
31,q56_t526
31,q56_t527
32,q101_t1148
32,q101_t1149
33,q101_t1149
33,q101_t1150
34,q101_t1150
34,q101_t1151
35,q101_t1151
35,q101_t1152
36,q101_t1152
36,q101_t1153
37,q101_t1153
37,q101_t1154
38,q101_t1154
38,q101_t1155
39,q101_t1155
39,q101_t1156
40,q101_t1156
40,q101_t1157
40,q90_t994
40,q90_t995
41,q101_t1157
41,q101_t1158
42,q101_t1158
42,q101_t1159
43,q101_t1159
43,q101_t1160
44,q101_t1160
44,q101_t1161
45,q102_t1161
45,q102_t1162
46,q102_t1162
46,q102_t1163
47,q102_t1163
47,q102_t1164
48,q102_t1164
48,q102_t1165
49,q102_t1165
49,q102_t1166
50,q102_t1166
50,q102_t1167
51,q102_t1167
51,q102_t1168
52,q102_t1168
52,q102_t1169
52,q48_t427
52,q48_t428
53,q102_t1169
53,q102_t1170
54,q102_t1170
54,q102_t1171
55,q102_t1171
55,q102_t1172
56,q102_t1172
56,q102_t1173
57,q102_t1173
57,q102_t1174
58,q102_t1174
58,q102_t1175
59,q102_t1175
59,q102_t1176
60,q102_t1176
60,q102_t1177
61,q102_t1177
61,q102_t1178
61,q80_t850
61,q80_t851
62,q102_t1178
62,q102_t1179
63,q102_t1179
63,q102_t1180
64,q102_t1180
64,q102_t1181
65,q102_t1181
65,q102_t1182
66,q103_t1182
66,q103_t1183
67,q103_t1183
67,q103_t1184
68,q103_t1184
68,q103_t1185
69,q103_t1185
69,q103_t1186
70,q103_t1186
70,q103_t1187
70,q104_t1192
70,q104_t1193
71,q103_t1187
71,q103_t1188
72,q103_t1188
72,q103_t1189
73,q103_t1189
73,q103_t1190
73,q106_t1225
73,q106_t1226
74,q103_t1190
74,q103_t1191
75,q104_t1185
75,q104_t1186
76,q104_t1186
76,q104_t1187
77,q104_t1187
77,q104_t1188
78,q104_t1188
78,q104_t1189
79,q104_t1189
79,q104_t1190
80,q104_t1190
80,q104_t1191
81,q104_t1191
81,q104_t1192
82,q104_t1193
82,q104_t1194
83,q104_t1194
83,q104_t1195
84,q104_t1195
84,q104_t1196
85,q104_t1196
85,q104_t1197
86,q104_t1197
86,q104_t1198
87,q104_t1198
87,q104_t1199
87,q106_t1234
87,q106_t1235
88,q104_t1199
88,q104_t1200
89,q105_t1197
89,q105_t1198
90,q105_t1198
90,q105_t1199
91,q105_t1199
91,q105_t1200
92,q105_t1200
92,q105_t1201
93,q105_t1201
93,q105_t1202
94,q105_t1202
94,q105_t1203
95,q105_t1203
95,q105_t1204
96,q105_t1204
96,q105_t1205
96,q26_t220
96,q26_t221
97,q105_t1205
97,q105_t1206
98,q105_t1206
98,q105_t1207
99,q105_t1207
99,q105_t1208
100,q105_t1208
100,q105_t1209
101,q105_t1209
