node_id,type,time,realisation
c0_t10,c,10,a
c100_t1144,c,1144,a
c101_t1162,c,1162,a
c102_t1183,c,1183,a
c103_t1192,c,1192,a
c104_t1201,c,1201,a
c105_t1219,c,1219,a
c106_t1240,c,1240,a
c107_t1249,c,1249,a
c108_t1258,c,1258,a
c109_t1270,c,1270,a
c10_t91,c,91,a
c110_t1288,c,1288,a
c111_t1309,c,1309,a
c112_t1330,c,1330,a
c113_t1351,c,1351,a
c114_t1372,c,1372,a
c115_t1393,c,1393,a
c11_t97,c,97,a
c12_t106,c,106,a
c13_t112,c,112,a
c14_t121,c,121,a
c15_t127,c,127,a
c16_t136,c,136,a
c17_t142,c,142,a
c18_t151,c,151,a
c19_t163,c,163,a
c1_t19,c,19,a
c20_t175,c,175,a
c21_t181,c,181,a
c22_t190,c,190,a
c23_t202,c,202,a
c24_t208,c,208,a
c25_t217,c,217,a
c26_t223,c,223,a
c27_t232,c,232,a
c28_t250,c,250,a
c29_t259,c,259,a
c2_t25,c,25,a
c30_t268,c,268,a
c31_t274,c,274,a
c32_t283,c,283,a
c33_t295,c,295,a
c34_t307,c,307,a
c35_t313,c,313,a
c36_t322,c,322,a
c37_t328,c,328,a
c38_t337,c,337,a
c39_t343,c,343,a
c3_t34,c,34,a
c40_t352,c,352,a
c41_t370,c,370,a
c42_t385,c,385,a
c43_t391,c,391,a
c44_t400,c,400,a
c45_t406,c,406,a
c46_t415,c,415,a
c47_t421,c,421,a
c48_t430,c,430,a
c49_t442,c,442,a
c4_t40,c,40,a
c50_t448,c,448,a
c51_t463,c,463,a
c52_t478,c,478,a
c53_t496,c,496,a
c54_t511,c,511,a
c55_t523,c,523,a
c56_t529,c,529,a
c57_t538,c,538,a
c58_t550,c,550,a
c59_t568,c,568,a
c5_t49,c,49,a
c60_t583,c,583,a
c61_t595,c,595,a
c62_t607,c,607,a
c63_t613,c,613,a
c64_t622,c,622,a
c65_t634,c,634,a
c66_t652,c,652,a
c67_t673,c,673,a
c68_t688,c,688,a
c69_t700,c,700,a
c6_t61,c,61,a
c70_t712,c,712,a
c71_t724,c,724,a
c72_t736,c,736,a
c73_t754,c,754,a
c74_t763,c,763,a
c75_t778,c,778,a
c76_t793,c,793,a
c77_t805,c,805,a
c78_t823,c,823,a
c79_t844,c,844,a
c7_t67,c,67,a
c80_t853,c,853,a
c81_t868,c,868,a
c82_t889,c,889,a
c83_t904,c,904,a
c84_t916,c,916,a
c85_t928,c,928,a
c86_t940,c,940,a
c87_t958,c,958,a
c88_t967,c,967,a
c89_t982,c,982,a
c8_t76,c,76,a
c90_t997,c,997,a
c91_t1009,c,1009,a
c92_t1021,c,1021,a
c93_t1027,c,1027,a
c94_t1042,c,1042,a
c95_t1057,c,1057,a
c96_t1075,c,1075,a
c97_t1096,c,1096,a
c98_t1111,c,1111,a
c99_t1129,c,1129,a
c9_t82,c,82,a
q0_t0,q,0,a
q0_t1,q,1,a
q0_t2,q,2,a
q0_t3,q,3,a
q0_t4,q,4,a
q0_t5,q,5,a
q0_t6,q,6,a
q0_t7,q,7,a
q0_t8,q,8,a
q0_t9,q,9,a
q100_t1128,q,1128,a
q100_t1129,q,1129,a
q100_t1130,q,1130,a
q100_t1131,q,1131,a
q100_t1132,q,1132,a
q100_t1133,q,1133,a
q100_t1134,q,1134,a
q100_t1135,q,1135,a
q100_t1136,q,1136,a
q100_t1137,q,1137,a
q100_t1138,q,1138,a
q100_t1139,q,1139,a
q100_t1140,q,1140,a
q100_t1141,q,1141,a
q100_t1142,q,1142,a
q100_t1143,q,1143,a
q101_t1140,q,1140,a
q101_t1141,q,1141,a
q101_t1142,q,1142,a
q101_t1143,q,1143,a
q101_t1144,q,1144,a
q101_t1145,q,1145,a
q101_t1146,q,1146,a
q101_t1147,q,1147,a
q101_t1148,q,1148,a
q101_t1149,q,1149,a
q101_t1150,q,1150,a
q101_t1151,q,1151,a
q101_t1152,q,1152,a
q101_t1153,q,1153,a
q101_t1154,q,1154,a
q101_t1155,q,1155,a
q101_t1156,q,1156,a
q101_t1157,q,1157,a
q101_t1158,q,1158,a
q101_t1159,q,1159,a
q101_t1160,q,1160,a
q101_t1161,q,1161,a
q101_t1162,q,1162,a
q101_t1163,q,1163,a
q102_t1161,q,1161,a
q102_t1162,q,1162,a
q102_t1163,q,1163,a
q102_t1164,q,1164,a
q102_t1165,q,1165,a
q102_t1166,q,1166,a
q102_t1167,q,1167,a
q102_t1168,q,1168,a
q102_t1169,q,1169,a
q102_t1170,q,1170,a
q102_t1171,q,1171,a
q102_t1172,q,1172,a
q102_t1173,q,1173,a
q102_t1174,q,1174,a
q102_t1175,q,1175,a
q102_t1176,q,1176,a
q102_t1177,q,1177,a
q102_t1178,q,1178,a
q102_t1179,q,1179,a
q102_t1180,q,1180,a
q102_t1181,q,1181,a
q102_t1182,q,1182,a
q102_t1183,q,1183,a
q102_t1184,q,1184,a
q103_t1182,q,1182,a
q103_t1183,q,1183,a
q103_t1184,q,1184,a
q103_t1185,q,1185,a
q103_t1186,q,1186,a
q103_t1187,q,1187,a
q103_t1188,q,1188,a
q103_t1189,q,1189,a
q103_t1190,q,1190,a
q103_t1191,q,1191,a
q104_t1185,q,1185,a
q104_t1186,q,1186,a
q104_t1187,q,1187,a
q104_t1188,q,1188,a
q104_t1189,q,1189,a
q104_t1190,q,1190,a
q104_t1191,q,1191,a
q104_t1192,q,1192,a
q104_t1193,q,1193,a
q104_t1194,q,1194,a
q104_t1195,q,1195,a
q104_t1196,q,1196,a
