workload_file,origin,n_qubits,k_partitions,best_method,best_cost
ae_indep_qiskit_100.qasm,MQTBench,100,2,greedy_hdh,2550
ae_indep_qiskit_100.qasm,MQTBench,100,3,greedy_hdh,3400
ae_indep_qiskit_100.qasm,MQTBench,100,4,greedy_hdh,3825
ae_indep_qiskit_101.qasm,MQTBench,101,2,greedy_hdh,2600
ae_indep_qiskit_101.qasm,MQTBench,101,3,greedy_hdh,3467
ae_indep_qiskit_101.qasm,MQTBench,101,4,greedy_hdh,3897
ae_indep_qiskit_102.qasm,MQTBench,102,2,greedy_hdh,2652
ae_indep_qiskit_102.qasm,MQTBench,102,3,greedy_hdh,3536
ae_indep_qiskit_102.qasm,MQTBench,102,4,greedy_hdh,3976
ae_indep_qiskit_103.qasm,MQTBench,103,2,greedy_hdh,2703
ae_indep_qiskit_103.qasm,MQTBench,103,3,greedy_hdh,3603
ae_indep_qiskit_103.qasm,MQTBench,103,4,greedy_hdh,4055
ae_indep_qiskit_104.qasm,MQTBench,104,2,greedy_hdh,2756
ae_indep_qiskit_104.qasm,MQTBench,104,3,greedy_hdh,3674
ae_indep_qiskit_104.qasm,MQTBench,104,4,greedy_hdh,4134
ae_indep_qiskit_105.qasm,MQTBench,105,2,greedy_hdh,2808
ae_indep_qiskit_105.qasm,MQTBench,105,3,greedy_hdh,3745
ae_indep_qiskit_105.qasm,MQTBench,105,4,greedy_hdh,4209
ae_indep_qiskit_106.qasm,MQTBench,106,2,greedy_hdh,2862
ae_indep_qiskit_106.qasm,MQTBench,106,3,greedy_hdh,3814
ae_indep_qiskit_106.qasm,MQTBench,106,4,greedy_hdh,4291
ae_indep_qiskit_107.qasm,MQTBench,107,2,greedy_hdh,2915
ae_indep_qiskit_107.qasm,MQTBench,107,3,greedy_hdh,3887
ae_indep_qiskit_107.qasm,MQTBench,107,4,greedy_hdh,4373
ae_indep_qiskit_108.qasm,MQTBench,108,2,greedy_hdh,2970
ae_indep_qiskit_108.qasm,MQTBench,108,3,greedy_hdh,3960
ae_indep_qiskit_108.qasm,MQTBench,108,4,greedy_hdh,4455
ae_indep_qiskit_109.qasm,MQTBench,109,2,greedy_hdh,3024
ae_indep_qiskit_109.qasm,MQTBench,109,3,greedy_hdh,4031
ae_indep_qiskit_109.qasm,MQTBench,109,4,greedy_hdh,4533
ae_indep_qiskit_110.qasm,MQTBench,110,2,greedy_hdh,3080
ae_indep_qiskit_110.qasm,MQTBench,110,3,greedy_hdh,4106
ae_indep_qiskit_110.qasm,MQTBench,110,4,greedy_hdh,4618
ae_indep_qiskit_111.qasm,MQTBench,111,2,greedy_hdh,3135
ae_indep_qiskit_111.qasm,MQTBench,111,3,greedy_hdh,4181
ae_indep_qiskit_111.qasm,MQTBench,111,4,greedy_hdh,4703
